gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Ftl1-ps1,0.940,132.73,0.72,0.60,0.01,0.02
Cldn4,0.790,6.55,0.42,0.42,0.06,0.15
Mmp7,0.786,16.22,0.26,0.28,0.02,0.03
Cd14,0.773,5.21,0.20,0.34,0.04,0.09
Pdgfb,0.759,20.64,0.11,0.20,0.01,0.04
Reg3g,0.738,4.63,0.50,0.35,0.11,0.16
Serpinb1a,0.738,5.66,0.48,0.31,0.08,0.18
Ctsl,0.731,4.01,0.37,0.38,0.09,0.19
N4bp1,0.729,5.54,0.12,0.24,0.02,0.09
Dst,0.729,4.35,0.16,0.26,0.04,0.12
Atf3,0.728,3.66,0.31,0.30,0.09,0.14
Gm8797,0.727,47.05,0.07,0.19,0.00,0.01
Tcim,0.724,5.04,0.14,0.23,0.03,0.08
Triobp,0.724,12.37,0.07,0.17,0.01,0.04
Rpl29,0.721,6.23,0.12,0.20,0.02,0.07
Nupr1,0.721,3.58,1.54,0.76,0.43,0.41
Cstb,0.720,3.15,0.25,0.34,0.08,0.17
C3,0.717,3.31,0.69,0.57,0.21,0.29
Gadd45g,0.717,15.60,0.08,0.17,0.00,0.03
Lcn2,0.715,3.74,1.10,0.50,0.29,0.24
Ier3,0.712,3.62,0.14,0.23,0.04,0.08
Dlgap1,0.708,9.71,0.17,0.20,0.02,0.05
Atp6v0b,0.707,3.03,0.10,0.27,0.03,0.14
Clic4,0.706,3.54,0.42,0.53,0.12,0.29
Anxa3,0.705,3.22,0.24,0.36,0.08,0.20
Hs6st1,0.701,4.57,0.12,0.22,0.03,0.14
H2-D1,0.700,2.61,0.49,0.50,0.19,0.31
Elf3,0.700,3.62,0.19,0.28,0.05,0.12
Kpna3,0.698,4.49,0.09,0.19,0.02,0.11
Clic1,0.697,2.78,0.40,0.48,0.14,0.32
Ndufa1,0.696,3.64,0.08,0.22,0.02,0.08
Itgb6,0.694,2.36,0.15,0.22,0.06,0.07
Klf6,0.694,2.81,0.25,0.37,0.09,0.24
Oaz1,0.694,2.55,0.21,0.31,0.08,0.14
Abcf1,0.694,2.32,0.15,0.28,0.06,0.16
Ly6a,0.693,3.82,0.20,0.24,0.05,0.12
Uhrf2,0.691,3.83,0.07,0.20,0.02,0.09
Ier2,0.688,3.13,0.29,0.35,0.09,0.26
Hist1h1e,0.688,2.46,0.11,0.28,0.05,0.15
Flnb,0.684,2.90,0.19,0.31,0.06,0.21
Ifitm3,0.684,2.56,0.23,0.38,0.09,0.22
