gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Cpb1,0.879,16.76,0.89,0.67,0.05,0.08
Ftl1,0.871,16.36,0.43,0.51,0.03,0.06
Cela1,0.804,35.77,0.23,0.26,0.01,0.02
2210010C04Rik,0.796,14.86,0.23,0.32,0.02,0.05
Lcorl,0.771,5.54,0.14,0.32,0.03,0.08
Anxa13,0.770,4.54,0.20,0.34,0.04,0.09
Cel,0.769,63.82,0.13,0.21,0.00,0.01
Rbms3,0.765,3.79,0.81,0.48,0.21,0.23
Try4,0.763,4.42,0.30,0.38,0.07,0.15
Tns1,0.760,4.03,0.37,0.43,0.09,0.20
Clps,0.759,6.20,0.56,0.49,0.09,0.22
Sox6,0.757,4.10,0.32,0.39,0.08,0.16
Pnliprp1,0.756,4.98,0.80,0.61,0.16,0.21
Arhgap18,0.753,4.66,0.10,0.31,0.02,0.07
Stxbp6,0.752,4.01,0.22,0.35,0.05,0.14
Zg16,0.750,Inf,0.12,0.20,0.00,0.00
Wnk2,0.750,3.98,0.11,0.28,0.03,0.06
Erbb4,0.749,4.53,0.77,0.42,0.17,0.19
Ncald,0.748,5.54,0.09,0.25,0.02,0.07
Gm43305,0.747,3.93,0.19,0.37,0.05,0.10
Fgf12,0.747,5.31,0.15,0.27,0.03,0.06
Smoc1,0.744,5.06,0.09,0.29,0.02,0.07
Ngef,0.739,5.56,0.08,0.21,0.01,0.07
Abcc3,0.732,6.91,0.06,0.22,0.01,0.05
Rnase1,0.729,4.29,0.56,0.55,0.13,0.19
Clcn3,0.725,4.80,0.13,0.31,0.03,0.09
Erich5,0.722,3.94,0.11,0.26,0.03,0.12
Sgpp2,0.719,5.90,0.07,0.22,0.01,0.06
Meis1,0.718,3.11,0.34,0.44,0.11,0.26
Mir99ahg,0.718,3.29,0.38,0.44,0.12,0.17
Dip2c,0.718,3.33,0.20,0.36,0.06,0.20
Nfix,0.717,3.17,0.33,0.56,0.10,0.27
Ddo,0.717,13.17,0.07,0.19,0.01,0.02
Pdgfd,0.717,3.21,0.67,0.46,0.21,0.22
Ypel2,0.715,2.89,0.24,0.37,0.08,0.15
Cpq,0.715,2.98,0.13,0.31,0.04,0.12
Rnf169,0.715,2.86,0.19,0.37,0.07,0.19
Pld1,0.714,2.88,0.31,0.44,0.11,0.19
Ankrd17,0.714,3.05,0.23,0.47,0.07,0.21
Hmgcs2,0.713,3.46,0.12,0.28,0.03,0.08
Chm,0.713,16.78,0.06,0.18,0.00,0.02
Ppm1l,0.713,9.70,0.08,0.19,0.01,0.03
Zfp618,0.713,4.36,0.06,0.24,0.01,0.06
Atxn7,0.712,3.72,0.08,0.25,0.02,0.12
Tdrd3,0.712,4.70,0.08,0.21,0.02,0.08
Ptprt,0.711,10.05,0.09,0.18,0.01,0.05
Arl15,0.711,2.75,0.17,0.32,0.06,0.14
Pah,0.710,2.77,0.19,0.32,0.07,0.14
Zfp652,0.709,3.55,0.11,0.31,0.03,0.10
Grik1,0.709,Inf,0.11,0.17,0.00,0.00
Man2a1,0.708,2.71,0.22,0.46,0.08,0.21
Ces1d,0.708,8.44,0.09,0.21,0.01,0.02
Cpa1,0.708,3.74,0.54,0.47,0.14,0.22
Auts2,0.707,2.89,0.20,0.36,0.07,0.19
Fam168a,0.707,3.28,0.12,0.34,0.04,0.14
Kcnq1,0.706,3.31,0.22,0.38,0.07,0.16
Sox5,0.706,2.83,0.47,0.42,0.16,0.23
Magi3,0.706,3.01,0.27,0.44,0.09,0.19
Hp1bp3,0.705,4.13,0.12,0.25,0.03,0.08
Stox2,0.704,2.64,0.56,0.45,0.21,0.26
Ireb2,0.704,4.36,0.09,0.26,0.02,0.06
Gstt1,0.703,5.52,0.07,0.20,0.01,0.03
Ccdc171,0.703,3.85,0.06,0.22,0.02,0.05
Marcks,0.702,3.02,0.25,0.43,0.08,0.22
Ppp2r2b,0.701,3.85,0.35,0.33,0.09,0.15
Ogt,0.701,2.22,0.14,0.39,0.06,0.17
Amfr,0.700,3.25,0.12,0.26,0.04,0.08
Retreg1,0.700,3.61,0.08,0.23,0.02,0.07
N4bp2l2,0.699,4.30,0.06,0.21,0.01,0.07
Ank3,0.699,2.62,0.50,0.55,0.19,0.27
Gcn1,0.699,4.34,0.06,0.20,0.01,0.07
Shank2,0.699,3.01,0.67,0.49,0.22,0.24
Fras1,0.698,19.22,0.08,0.17,0.00,0.01
Zkscan3,0.698,6.28,0.05,0.19,0.01,0.03
Cul5,0.698,6.45,0.06,0.19,0.01,0.03
Trf,0.698,3.51,0.19,0.23,0.05,0.13
Nisch,0.698,3.15,0.15,0.31,0.05,0.13
Spred1,0.697,5.03,0.08,0.19,0.02,0.08
Enah,0.696,2.80,0.15,0.36,0.05,0.16
Ctrl,0.696,6.80,0.11,0.18,0.02,0.02
Maged1,0.696,3.22,0.11,0.25,0.03,0.12
Mtss1,0.696,2.92,0.20,0.38,0.07,0.19
Eif3m,0.695,3.29,0.13,0.31,0.04,0.12
Slc28a3,0.694,2.01,0.20,0.37,0.10,0.14
Rif1,0.694,3.63,0.09,0.24,0.03,0.12
9030622O22Rik,0.693,2.28,0.20,0.34,0.09,0.12
Tnfrsf19,0.693,4.03,0.08,0.23,0.02,0.07
Tm4sf4,0.693,2.36,0.28,0.41,0.12,0.20
Phlpp1,0.692,2.81,0.12,0.26,0.04,0.10
Abr,0.692,4.71,0.07,0.23,0.01,0.05
Acnat1,0.691,4.13,0.07,0.23,0.02,0.06
Cyp39a1,0.691,4.73,0.04,0.18,0.01,0.06
Zbtb16,0.690,4.92,0.06,0.20,0.01,0.05
Pou2f1,0.690,2.78,0.08,0.22,0.03,0.08
Map2,0.690,3.38,0.10,0.25,0.03,0.09
Nup160,0.690,18.08,0.07,0.17,0.00,0.02
Nf1,0.689,2.44,0.17,0.36,0.07,0.16
Hacd3,0.689,11.24,0.04,0.16,0.00,0.02
Mark2,0.688,3.70,0.14,0.32,0.04,0.12
Grhl2,0.688,2.90,0.10,0.29,0.03,0.09
Eml1,0.688,3.27,0.09,0.23,0.03,0.09
Pcnx,0.688,5.98,0.06,0.20,0.01,0.06
Tshz2,0.688,2.71,0.98,0.58,0.36,0.36
Mob3b,0.688,3.17,0.26,0.44,0.08,0.19
Tia1,0.688,3.72,0.06,0.22,0.02,0.06
Slc6a6,0.687,2.51,0.16,0.37,0.06,0.12
Copb2,0.687,3.67,0.13,0.24,0.04,0.12
Grip1,0.686,3.75,0.09,0.21,0.02,0.06
Klk1,0.686,21.11,0.10,0.16,0.00,0.01
Cdk5rap2,0.686,11.11,0.05,0.16,0.00,0.02
5730522E02Rik,0.685,7.91,0.08,0.17,0.01,0.03
Ptch1,0.685,8.17,0.06,0.17,0.01,0.03
Yme1l1,0.685,2.71,0.09,0.29,0.03,0.12
Ddhd1,0.683,3.54,0.09,0.23,0.03,0.10
Pias1,0.683,2.36,0.09,0.26,0.04,0.07
Prdx6,0.683,4.47,0.08,0.22,0.02,0.09
Mid1,0.682,4.28,0.08,0.21,0.02,0.09
Rgs2,0.682,8.63,0.07,0.17,0.01,0.03
Gm49797,0.682,7.02,0.06,0.18,0.01,0.03
Plce1,0.681,2.92,0.16,0.35,0.05,0.14
Hnf1aos1,0.680,2.53,0.33,0.34,0.13,0.19
Tcf7l2,0.680,2.41,0.27,0.44,0.11,0.23
Tmem135,0.680,2.90,0.08,0.24,0.03,0.07
Naaladl2,0.680,2.52,0.70,0.51,0.28,0.23
Fstl4,0.680,2.38,0.15,0.25,0.06,0.12
Metap1d,0.680,8.99,0.06,0.17,0.01,0.03
Adgrl3,0.679,5.10,0.08,0.20,0.02,0.03
Pak1,0.679,3.66,0.07,0.19,0.02,0.05
Fmo2,0.679,4.51,0.11,0.23,0.02,0.07
Vezf1,0.679,5.98,0.06,0.18,0.01,0.06
Dmd,0.678,3.83,0.07,0.21,0.02,0.08
Evl,0.678,2.91,0.07,0.19,0.02,0.10
Sim1,0.678,4.96,0.06,0.18,0.01,0.05
Vps53,0.678,3.54,0.04,0.19,0.01,0.03
2210408F21Rik,0.677,2.64,0.11,0.28,0.04,0.14
Sytl5,0.677,6.14,0.08,0.17,0.01,0.05
Nebl,0.677,5.67,0.11,0.18,0.02,0.06
Zranb1,0.677,2.78,0.07,0.23,0.03,0.09
Ahdc1,0.676,2.05,0.08,0.25,0.04,0.12
Macc1,0.675,5.06,0.05,0.19,0.01,0.03
Dapk1,0.675,2.32,0.15,0.29,0.06,0.16
Arl4c,0.675,3.13,0.08,0.18,0.03,0.08
Map3k21,0.675,3.95,0.10,0.23,0.03,0.08
Mcc,0.674,2.40,0.20,0.38,0.08,0.19
Smim22,0.674,4.46,0.10,0.18,0.02,0.06
Scd2,0.674,2.88,0.18,0.33,0.06,0.16
Qk,0.674,2.43,0.13,0.35,0.05,0.15
Sel1l3,0.674,2.67,0.07,0.21,0.03,0.09
Prkn,0.673,3.17,0.12,0.28,0.04,0.12
Celsr1,0.673,4.99,0.05,0.17,0.01,0.06
Crls1,0.672,18.59,0.07,0.16,0.00,0.01
Ttr,0.672,3.35,0.25,0.34,0.08,0.13
Arhgap6,0.672,2.72,0.34,0.32,0.12,0.13
Frmd4b,0.672,2.79,0.12,0.29,0.04,0.12
Scarb2,0.672,2.01,0.12,0.26,0.06,0.10
Tasor,0.672,2.67,0.09,0.29,0.03,0.10
Col27a1,0.672,4.61,0.05,0.17,0.01,0.05
