gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Gcat,0.259,9.35,0.12,0.18,0.01,0.03
Gpc5,0.257,11.40,0.12,0.12,0.01,0.02
Arhgdig,0.243,9.29,0.14,0.25,0.02,0.04
Aqp12,0.239,11.18,0.09,0.16,0.01,0.02
Tff2,0.232,12.24,1.54,0.57,0.13,0.15
Pla2g1b,0.222,9.89,0.94,0.49,0.10,0.12
Gp2,0.221,8.88,0.75,0.44,0.08,0.10
Cabp2,0.205,7.92,0.09,0.15,0.01,0.02
Tmem97,0.204,6.71,0.22,0.31,0.03,0.07
Stard10,0.202,6.95,0.16,0.24,0.02,0.06
1810028F09Rik,0.201,6.53,0.25,0.26,0.04,0.06
Cldn4,0.199,8.50,0.11,0.11,0.01,0.02
Tmed6,0.199,7.84,0.07,0.15,0.01,0.02
Pnliprp2,0.190,7.87,1.08,0.60,0.14,0.16
Klk1,0.189,7.71,0.79,0.53,0.10,0.12
Hamp2,0.188,10.23,0.05,0.08,0.00,0.01
Cuzd1,0.185,6.85,0.36,0.36,0.05,0.08
D130043K22Rik,0.184,7.25,0.15,0.13,0.02,0.03
Pde6a,0.182,7.28,0.08,0.08,0.01,0.02
Spink1,0.177,7.27,1.41,0.71,0.19,0.21
Gm50306,0.177,6.05,0.12,0.12,0.02,0.04
Pcbd1,0.174,6.79,0.06,0.12,0.01,0.02
Ctrc,0.172,7.06,2.20,0.60,0.31,0.21
8430422H06Rik,0.169,5.60,0.07,0.07,0.01,0.02
Asxl3,0.168,9.40,0.12,0.10,0.01,0.03
Smim22,0.168,7.98,0.06,0.12,0.01,0.02
Chchd10,0.168,4.23,0.12,0.21,0.03,0.08
Erp27,0.163,5.59,0.12,0.20,0.02,0.05
Cckar,0.162,4.43,0.17,0.26,0.04,0.07
Rab25,0.162,7.09,0.03,0.09,0.00,0.02
Ctcflos,0.159,7.16,0.05,0.05,0.01,0.01
Cela2a,0.159,7.87,1.49,0.59,0.19,0.18
Fkbp11,0.158,4.85,0.09,0.15,0.02,0.04
Muc1,0.157,5.87,0.09,0.16,0.01,0.04
Tspan1,0.155,9.53,0.04,0.08,0.00,0.01
Cldn7,0.154,5.12,0.08,0.14,0.02,0.04
Bhlha15,0.154,4.86,0.05,0.09,0.01,0.02
Xlr5a,0.153,5.67,0.17,0.14,0.03,0.06
Klhl14,0.153,3.50,0.05,0.06,0.01,0.03
Pdia2,0.153,3.95,0.25,0.27,0.06,0.08
Fuom,0.151,5.57,0.05,0.11,0.01,0.03
Krt18,0.150,4.85,0.47,0.37,0.10,0.12
Galnt13,0.150,7.78,0.07,0.08,0.01,0.02
1700054A03Rik,0.149,5.35,0.21,0.20,0.04,0.07
Cdkn1a,0.148,3.61,0.12,0.18,0.03,0.08
Gamt,0.148,5.50,0.13,0.22,0.02,0.06
Epha6,0.148,8.45,0.05,0.06,0.01,0.01
Phgdh,0.146,4.06,0.09,0.18,0.02,0.06
Urah,0.146,11.41,0.03,0.06,0.00,0.01
Krt8,0.146,4.95,0.52,0.36,0.10,0.12
Mc1r,0.146,4.75,0.06,0.07,0.01,0.02
Amy2a5,0.146,3.63,0.14,0.19,0.04,0.06
4930558K02Rik,0.145,6.20,0.05,0.06,0.01,0.02
Reg3g,0.145,6.64,0.38,0.27,0.06,0.07
Il27,0.145,5.40,0.06,0.07,0.01,0.02
Ptf1a,0.144,5.55,0.03,0.07,0.01,0.01
Gm47371,0.143,5.58,0.04,0.05,0.01,0.02
Ggt1,0.143,3.71,0.10,0.15,0.03,0.05
Pde1c,0.143,7.18,0.33,0.27,0.05,0.09
Nupr1,0.143,5.04,2.55,0.80,0.51,0.33
1700126G02Rik,0.142,5.61,0.04,0.05,0.01,0.02
Try10,0.142,3.91,0.24,0.28,0.06,0.06
Sfn,0.141,4.55,0.04,0.06,0.01,0.02
Sycn,0.141,10.66,5.59,0.76,0.53,0.34
Grik1,0.140,5.25,0.21,0.18,0.04,0.08
Perp,0.140,6.96,0.03,0.07,0.00,0.02
Cpa2,0.140,3.87,1.05,0.53,0.27,0.18
Ctrl,0.140,9.13,3.71,0.64,0.41,0.29
Pmm1,0.139,6.65,0.08,0.13,0.01,0.04
Slc25a39,0.139,4.64,0.10,0.18,0.02,0.08
Asns,0.139,3.79,0.10,0.18,0.03,0.06
Gnaz,0.139,7.25,0.07,0.07,0.01,0.02
Ang,0.138,4.99,0.07,0.13,0.01,0.04
Cldn3,0.138,4.01,0.11,0.17,0.03,0.05
Gm10062,0.137,5.08,0.06,0.07,0.01,0.02
A330008L17Rik,0.136,16.23,0.05,0.05,0.00,0.01
Ggh,0.136,4.24,0.14,0.23,0.03,0.10
Vtn,0.135,5.25,0.06,0.10,0.01,0.03
Cel,0.134,8.58,3.67,0.61,0.43,0.31
Cd24a,0.134,3.29,0.16,0.24,0.05,0.12
Epcam,0.133,4.24,0.17,0.21,0.04,0.06
Zg16,0.132,9.02,3.88,0.59,0.43,0.30
Slc38a5,0.132,8.76,0.02,0.05,0.00,0.01
5830416I19Rik,0.131,4.89,0.11,0.11,0.02,0.04
Lcmt1,0.130,4.58,0.12,0.19,0.03,0.08
Serp1,0.129,3.73,0.37,0.39,0.10,0.25
2200002D01Rik,0.129,4.46,0.06,0.10,0.01,0.03
Igf2bp3,0.129,4.80,0.06,0.07,0.01,0.03
Prss8,0.128,4.84,0.03,0.07,0.01,0.02
Serpini2,0.127,3.15,0.22,0.26,0.07,0.09
Serpinb1a,0.127,3.49,0.14,0.16,0.04,0.09
Eif4ebp1,0.127,3.99,0.10,0.18,0.02,0.08
Fam169a,0.126,7.68,0.04,0.04,0.00,0.01
Crb3,0.126,4.47,0.03,0.07,0.01,0.02
Cela3b,0.126,8.32,6.42,0.78,0.77,0.40
Gnmt,0.125,4.48,0.03,0.06,0.01,0.02
Anxa10,0.125,9.06,0.03,0.05,0.00,0.01
Mcrip2,0.124,6.99,0.03,0.05,0.00,0.01
Mt1,0.124,3.79,0.68,0.56,0.18,0.25
Tmem238,0.123,4.10,0.06,0.15,0.02,0.05
Try5,0.123,8.24,8.94,0.93,1.09,0.53
P2rx1,0.121,3.77,0.04,0.10,0.01,0.03
Acoxl,0.120,5.59,0.04,0.04,0.01,0.01
Serpina10,0.120,7.29,0.04,0.09,0.01,0.02
Tmem147,0.119,3.02,0.08,0.17,0.03,0.09
Gm38973,0.119,9.78,0.03,0.03,0.00,0.01
Cdh23,0.119,4.10,0.07,0.08,0.02,0.05
Try4,0.118,7.56,5.69,0.74,0.75,0.39
Krt19,0.117,4.76,0.13,0.19,0.03,0.06
Gkn3,0.116,5.30,0.07,0.07,0.01,0.02
Ntm,0.116,4.20,0.19,0.18,0.04,0.08
Prss2,0.115,9.56,13.62,0.92,1.43,0.57
Cpa1,0.115,11.75,11.96,0.83,1.02,0.50
Pnlip,0.115,10.67,12.43,0.61,1.17,0.38
Spint2,0.114,3.62,0.16,0.26,0.04,0.11
Lrp1b,0.114,5.45,0.56,0.34,0.10,0.18
Mt2,0.114,3.19,0.17,0.23,0.05,0.09
Cdc34,0.113,2.96,0.06,0.14,0.02,0.07
Pnliprp1,0.113,5.75,6.75,0.83,1.18,0.48
1110038B12Rik,0.113,3.22,0.06,0.12,0.02,0.07
Wdr72,0.112,3.35,0.05,0.06,0.02,0.03
Rnase1,0.112,13.40,10.68,0.78,0.80,0.48
Fyb2,0.112,5.11,0.03,0.04,0.01,0.01
Rab3d,0.112,3.86,0.06,0.11,0.02,0.05
Cpn1,0.112,3.67,0.03,0.07,0.01,0.02
Klkb1,0.112,5.09,0.03,0.04,0.01,0.01
Ptger3,0.112,2.71,0.08,0.15,0.03,0.05
Serpinb6b,0.110,4.51,0.07,0.11,0.01,0.03
Rps27l,0.110,3.68,0.45,0.46,0.12,0.27
Dmbt1,0.110,2.94,1.60,0.74,0.54,0.37
Gm765,0.110,5.26,0.05,0.06,0.01,0.02
Prr15l,0.110,3.27,0.05,0.10,0.01,0.04
Foxa2,0.109,4.08,0.03,0.06,0.01,0.02
2210010C04Rik,0.109,11.65,14.14,0.75,1.21,0.45
Cela1,0.108,8.13,14.24,0.70,1.75,0.43
Dap,0.108,3.07,0.28,0.38,0.09,0.20
Atf5,0.108,3.62,0.08,0.14,0.02,0.05
Gjb2,0.108,7.13,0.02,0.04,0.00,0.01
Ninj2,0.107,6.98,0.03,0.03,0.00,0.01
Pycr1,0.107,3.29,0.03,0.06,0.01,0.02
Sephs2,0.107,2.75,0.05,0.10,0.02,0.05
Gfer,0.106,2.93,0.02,0.06,0.01,0.03
Csmd3,0.106,4.90,0.03,0.04,0.01,0.01
Smim38,0.106,7.89,0.02,0.04,0.00,0.01
Mapk13,0.105,4.31,0.03,0.06,0.01,0.02
Krtcap3,0.105,3.01,0.02,0.05,0.01,0.02
4930467D21Rik,0.105,16.60,0.03,0.04,0.00,0.00
Tcea3,0.105,3.46,0.04,0.08,0.01,0.03
Fetub,0.105,6.03,0.02,0.05,0.00,0.01
St14,0.104,3.03,0.04,0.08,0.01,0.03
Plpp2,0.104,4.56,0.02,0.06,0.01,0.02
Clps,0.103,12.49,25.12,0.86,2.01,0.57
Foxa3,0.103,4.55,0.02,0.05,0.00,0.01
Reg3a,0.102,3.91,0.08,0.11,0.02,0.03
Mat1a,0.101,3.19,0.03,0.05,0.01,0.02
Zmat4,0.101,4.45,0.02,0.03,0.01,0.01
Tnfrsf12a,0.101,4.07,0.04,0.08,0.01,0.03
Grhpr,0.100,2.79,0.02,0.05,0.01,0.02
Tead2,0.100,2.79,0.06,0.12,0.02,0.06
Mthfd2,0.099,2.49,0.05,0.11,0.02,0.06
Mettl26,0.099,2.57,0.07,0.14,0.03,0.08
Nucb2,0.098,2.78,0.11,0.20,0.04,0.11
Tceal9,0.098,2.83,0.23,0.34,0.08,0.19
Cpb1,0.098,11.48,21.16,0.77,1.84,0.56
Msrb1,0.098,2.14,0.07,0.14,0.03,0.10
Kctd16,0.097,4.19,0.05,0.06,0.01,0.02
Kcnk1,0.097,2.87,0.03,0.07,0.01,0.03
Gm14582,0.097,4.89,0.02,0.03,0.00,0.01
Derl3,0.097,2.92,0.02,0.05,0.01,0.02
Slx1b,0.097,3.86,0.06,0.06,0.01,0.04
Amy1,0.097,2.91,0.05,0.09,0.02,0.05
Gsto1,0.096,2.55,0.03,0.07,0.01,0.04
Xbp1,0.096,2.64,0.19,0.29,0.07,0.18
Zfas1,0.096,2.56,0.11,0.17,0.04,0.14
Hsbp1l1,0.096,5.95,0.02,0.04,0.00,0.01
Klc3,0.096,5.24,0.02,0.05,0.00,0.01
Dbt,0.095,2.91,0.07,0.10,0.02,0.07
Reg1,0.094,6.48,13.72,0.98,2.12,0.80
Gria4,0.094,5.78,0.03,0.04,0.01,0.01
P4hb,0.094,3.79,0.46,0.38,0.12,0.29
Srp9,0.094,2.46,0.17,0.28,0.07,0.22
Mkrn2os,0.094,7.46,0.01,0.04,0.00,0.01
Cbs,0.094,2.13,0.07,0.13,0.03,0.05
Lcn2,0.094,4.22,0.12,0.08,0.03,0.04
Klk1b5,0.094,16.68,0.02,0.04,0.00,0.00
Cystm1,0.093,3.43,0.08,0.15,0.02,0.06
Clu,0.093,6.74,5.11,0.67,0.76,0.43
Shisa4,0.093,6.40,0.02,0.05,0.00,0.01
Car9,0.093,5.54,0.01,0.03,0.00,0.01
Lonp1,0.092,2.64,0.05,0.09,0.02,0.06
Psmb10,0.092,2.39,0.14,0.23,0.06,0.18
Klk1b3,0.092,9.79,0.02,0.04,0.00,0.00
Ccng1,0.092,2.93,0.07,0.13,0.02,0.09
Mif,0.092,2.28,0.17,0.24,0.07,0.19
Cntnap2,0.092,3.84,0.11,0.12,0.03,0.04
Serpinb9,0.091,2.95,0.07,0.11,0.02,0.07
Cth,0.091,2.98,0.02,0.04,0.01,0.01
Tmed11,0.091,2.88,0.02,0.04,0.01,0.01
Fxyd3,0.091,3.23,0.05,0.10,0.01,0.03
Nhp2,0.091,2.16,0.06,0.13,0.03,0.09
