gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Cd79a,0.921,500.34,1.08,0.84,0.00,0.00
Pax5,0.897,286.85,0.97,0.88,0.00,0.00
Ighd,0.895,278.39,0.84,0.81,0.00,0.01
Iglc2,0.891,300.54,0.81,0.78,0.00,0.00
Cd79b,0.880,163.73,0.64,0.79,0.00,0.01
Fcer2a,0.862,381.40,0.32,0.54,0.00,0.00
Fcmr,0.855,298.25,0.31,0.58,0.00,0.00
Cr2,0.852,226.29,0.55,0.65,0.00,0.00
Bank1,0.851,148.23,3.13,0.95,0.02,0.03
Gm31243,0.849,326.84,0.29,0.53,0.00,0.00
Igkc,0.848,35.76,3.23,0.86,0.09,0.02
Iglc3,0.824,206.45,0.47,0.68,0.00,0.00
Ms4a1,0.810,89.80,0.70,0.81,0.01,0.01
Cd22,0.807,74.01,0.38,0.66,0.01,0.02
Tnfrsf13c,0.806,314.68,0.17,0.44,0.00,0.00
Blk,0.796,67.57,0.27,0.53,0.00,0.01
Gm30211,0.790,145.68,0.31,0.52,0.00,0.00
Fcrl1,0.779,86.98,0.20,0.46,0.00,0.01
Ly6d,0.766,107.92,0.66,0.70,0.01,0.01
B3gnt5,0.765,92.70,0.17,0.43,0.00,0.01
Pou2af1,0.744,87.47,0.18,0.42,0.00,0.00
Chst3,0.738,152.97,0.32,0.58,0.00,0.00
Hvcn1,0.735,51.96,0.35,0.62,0.01,0.03
Cd19,0.734,111.67,0.14,0.38,0.00,0.00
Mzb1,0.731,115.33,0.17,0.41,0.00,0.00
Vpreb3,0.691,195.89,0.12,0.32,0.00,0.00
Ikzf3,0.657,24.59,0.95,0.86,0.04,0.07
H2-DMb2,0.631,41.62,0.20,0.51,0.00,0.02
Stap1,0.620,26.08,0.31,0.59,0.01,0.04
Siglecg,0.618,52.74,0.19,0.44,0.00,0.01
H2-Ob,0.598,44.59,0.20,0.47,0.00,0.02
Ccr6,0.589,42.93,0.11,0.29,0.00,0.01
Cxcr5,0.576,35.58,0.12,0.30,0.00,0.01
Btla,0.574,32.71,0.65,0.77,0.02,0.05
Gm16341,0.568,91.62,0.09,0.25,0.00,0.00
Ighm,0.563,44.35,1.72,0.88,0.04,0.10
BE692007,0.562,16.50,0.36,0.61,0.02,0.05
Cacna1i,0.548,168.15,0.09,0.22,0.00,0.00
Spib,0.543,42.86,0.09,0.29,0.00,0.01
Gm43388,0.534,213.94,0.09,0.23,0.00,0.00
Gpr174,0.530,14.32,0.16,0.38,0.01,0.03
Cd37,0.527,16.48,0.51,0.75,0.03,0.10
Iglc1,0.518,244.49,0.13,0.20,0.00,0.00
Susd1,0.507,17.53,0.12,0.30,0.01,0.02
Cnr2,0.498,14.51,0.10,0.28,0.01,0.03
2010309G21Rik,0.484,172.71,0.08,0.20,0.00,0.00
Ralgps2,0.477,25.51,1.15,0.89,0.04,0.12
Fcrla,0.475,17.98,0.13,0.37,0.01,0.02
Gm8369,0.471,11.75,0.14,0.32,0.01,0.04
Lax1,0.470,11.61,0.13,0.34,0.01,0.03
Blnk,0.468,12.42,0.53,0.77,0.04,0.11
H2-Eb2,0.468,315.45,0.06,0.19,0.00,0.00
E330020D12Rik,0.462,14.38,0.08,0.22,0.01,0.02
Cd40,0.453,15.98,0.12,0.31,0.01,0.03
P2ry10,0.452,12.79,0.12,0.30,0.01,0.03
Bcl11a,0.441,27.39,0.73,0.75,0.03,0.05
Cd83,0.439,10.17,0.29,0.42,0.03,0.05
Tmem163,0.436,43.66,0.36,0.48,0.01,0.01
Gm11342,0.432,50.46,0.07,0.19,0.00,0.01
Btk,0.432,10.48,0.21,0.46,0.02,0.07
Gimap7,0.432,9.74,0.06,0.20,0.01,0.02
Aff3,0.430,12.76,1.56,0.91,0.12,0.14
Irf4,0.429,18.12,0.07,0.22,0.00,0.02
Ptprcap,0.425,8.50,0.29,0.59,0.03,0.08
Haao,0.422,25.99,0.07,0.23,0.00,0.01
Cd72,0.420,14.30,0.14,0.37,0.01,0.03
Tnfrsf13b,0.411,12.44,0.15,0.40,0.01,0.05
1700027J07Rik,0.408,93.27,0.07,0.16,0.00,0.00
Snn,0.408,11.50,0.10,0.31,0.01,0.03
Wdfy4,0.407,11.22,0.65,0.80,0.06,0.10
Cd180,0.407,12.56,0.25,0.51,0.02,0.06
Pxdc1,0.404,21.83,0.11,0.29,0.00,0.02
Ms4a4c,0.398,11.81,0.19,0.40,0.02,0.05
Cd55,0.393,18.66,0.39,0.62,0.02,0.05
Gm15987,0.392,15.35,0.27,0.49,0.02,0.04
Rhoh,0.389,7.92,0.32,0.57,0.04,0.11
Treml2,0.387,7.38,0.07,0.21,0.01,0.03
Sbk1,0.385,11.66,0.08,0.25,0.01,0.02
Stk17b,0.380,10.10,0.69,0.78,0.07,0.16
Sorl1,0.380,11.33,0.56,0.75,0.05,0.13
Napsa,0.375,15.56,0.33,0.64,0.02,0.05
Tspan32,0.373,6.60,0.13,0.35,0.02,0.06
Plaur,0.370,10.65,0.11,0.26,0.01,0.03
Syk,0.370,8.93,0.52,0.73,0.06,0.14
Slamf1,0.368,13.16,0.06,0.17,0.00,0.01
