gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Svep1,0.703,128.22,0.50,0.53,0.00,0.01
Dpt,0.605,93.06,0.52,0.45,0.01,0.01
Lum,0.604,58.91,0.45,0.52,0.01,0.01
Pdgfra,0.596,85.83,0.33,0.48,0.00,0.01
Col6a3,0.562,57.64,0.68,0.65,0.01,0.02
Dpep1,0.528,137.34,0.21,0.31,0.00,0.00
Scara5,0.516,57.88,0.22,0.29,0.00,0.01
Vcan,0.511,43.27,0.20,0.38,0.00,0.01
Crispld2,0.505,66.24,0.33,0.43,0.01,0.01
Adamtsl3,0.500,180.74,0.19,0.29,0.00,0.00
Serpinf1,0.482,55.22,0.23,0.36,0.00,0.01
Mmp2,0.471,41.46,0.23,0.42,0.01,0.01
Smoc2,0.471,68.66,0.27,0.32,0.00,0.01
Htra3,0.471,45.50,0.21,0.36,0.00,0.02
Lgi2,0.470,42.71,0.14,0.30,0.00,0.01
Mfap5,0.468,42.54,0.50,0.48,0.01,0.02
Loxl1,0.456,44.64,0.28,0.44,0.01,0.01
Col6a2,0.449,39.65,0.48,0.60,0.01,0.02
Bmper,0.444,95.51,0.15,0.24,0.00,0.00
Dnm1,0.435,34.41,0.12,0.30,0.00,0.01
Cilp,0.434,40.36,0.31,0.29,0.01,0.01
Ms4a4d,0.433,65.73,0.11,0.27,0.00,0.00
Col6a1,0.432,40.12,0.72,0.69,0.02,0.03
Col5a1,0.428,55.70,0.62,0.65,0.01,0.03
Cpxm1,0.426,46.81,0.13,0.29,0.00,0.01
Fap,0.424,28.60,0.17,0.32,0.01,0.01
Slit3,0.420,39.07,1.57,0.64,0.04,0.06
Steap3,0.416,21.51,0.10,0.25,0.00,0.02
Clec3b,0.412,65.12,0.34,0.32,0.01,0.01
Adamts2,0.406,46.18,0.33,0.44,0.01,0.02
Islr,0.406,56.57,0.14,0.32,0.00,0.01
Adamts5,0.402,65.83,0.41,0.40,0.01,0.01
Mrc2,0.397,15.57,0.18,0.38,0.01,0.02
Slit2,0.397,36.24,0.35,0.41,0.01,0.02
Mfap4,0.389,36.69,0.14,0.24,0.00,0.01
Lox,0.388,38.83,0.20,0.30,0.01,0.01
Wdr66,0.387,27.76,0.12,0.22,0.00,0.01
Itgbl1,0.386,97.02,0.21,0.22,0.00,0.00
Clmp,0.386,12.18,0.15,0.32,0.01,0.03
Pla1a,0.385,38.72,0.13,0.23,0.00,0.01
Pknox2,0.382,35.37,0.16,0.31,0.00,0.01
Olfml3,0.381,14.51,0.21,0.34,0.01,0.04
Ebf2,0.380,35.59,0.33,0.35,0.01,0.01
Fbn2,0.375,54.29,0.17,0.24,0.00,0.01
Eya2,0.375,13.58,0.16,0.31,0.01,0.03
Epha3,0.373,27.40,0.16,0.26,0.01,0.01
Nova1,0.369,48.31,0.12,0.26,0.00,0.01
Hmcn2,0.367,388.54,0.17,0.20,0.00,0.00
Ogn,0.366,43.58,0.37,0.38,0.01,0.01
C1qtnf7,0.362,29.02,0.21,0.34,0.01,0.01
Igsf10,0.356,38.61,0.08,0.24,0.00,0.01
Tnxb,0.356,48.62,0.48,0.46,0.01,0.02
Ddr2,0.355,27.10,0.35,0.48,0.01,0.02
Nox4,0.355,66.04,0.17,0.24,0.00,0.01
Dclk1,0.355,29.72,0.25,0.31,0.01,0.02
Bnc2,0.354,37.07,0.40,0.51,0.01,0.02
Lpar1,0.349,39.08,0.22,0.39,0.01,0.01
Fbn1,0.347,50.07,1.14,0.68,0.02,0.05
Pcolce,0.345,29.03,0.31,0.46,0.01,0.02
Penk,0.345,62.18,0.10,0.19,0.00,0.00
Medag,0.345,27.97,0.21,0.38,0.01,0.01
Adam12,0.342,10.43,0.24,0.29,0.02,0.05
Lama2,0.340,79.84,1.19,0.60,0.01,0.02
Kcnk2,0.338,35.47,0.09,0.19,0.00,0.01
Lpl,0.338,19.06,0.46,0.46,0.02,0.05
Prrx1,0.337,19.60,0.27,0.45,0.01,0.02
Gfpt2,0.331,32.42,0.11,0.21,0.00,0.01
Gpc3,0.326,27.86,0.26,0.37,0.01,0.02
Spon1,0.323,20.51,0.47,0.51,0.02,0.04
Plau,0.323,13.59,0.09,0.18,0.01,0.02
Ccdc80,0.320,28.48,0.47,0.54,0.02,0.03
Col5a3,0.319,59.89,0.28,0.41,0.00,0.01
Oaf,0.319,21.10,0.09,0.20,0.00,0.01
Dcn,0.318,34.32,3.41,0.77,0.10,0.05
Cd248,0.316,37.53,0.20,0.27,0.01,0.01
Acss3,0.315,21.28,0.09,0.22,0.00,0.01
Cygb,0.313,16.61,0.27,0.42,0.02,0.02
Mfap2,0.312,11.40,0.08,0.18,0.01,0.02
Gli2,0.309,41.31,0.11,0.25,0.00,0.01
Gli3,0.308,34.23,0.20,0.35,0.01,0.01
Col5a2,0.308,33.49,0.89,0.73,0.03,0.05
Plod2,0.306,19.97,0.16,0.33,0.01,0.03
Robo1,0.302,44.11,0.18,0.32,0.00,0.01
Col6a6,0.300,32.05,0.18,0.29,0.01,0.01
Egfr,0.299,15.59,0.49,0.54,0.03,0.06
Gpx3,0.295,19.45,0.46,0.50,0.02,0.05
Bgn,0.294,19.52,0.96,0.66,0.05,0.07
Sh3rf3,0.293,101.38,0.08,0.18,0.00,0.00
Gpc6,0.293,19.43,0.60,0.44,0.03,0.03
Dnm3os,0.293,36.03,0.06,0.17,0.00,0.00
Col15a1,0.292,5.46,0.52,0.56,0.10,0.13
Cdh11,0.292,23.43,0.23,0.38,0.01,0.02
Efemp2,0.291,15.79,0.09,0.22,0.01,0.02
Ccl11,0.285,21.34,0.13,0.22,0.01,0.01
Srpx2,0.283,27.83,0.06,0.18,0.00,0.00
Rcn3,0.281,20.43,0.15,0.33,0.01,0.02
Dpysl3,0.279,14.15,0.29,0.48,0.02,0.04
Cxcl14,0.278,14.72,0.44,0.27,0.03,0.04
Enox1,0.278,27.14,0.13,0.25,0.00,0.01
Timp1,0.277,22.82,0.35,0.23,0.02,0.03
Naalad2,0.275,17.80,0.08,0.24,0.00,0.01
Lrrc17,0.272,44.97,0.06,0.16,0.00,0.00
Pdzrn3,0.272,18.10,0.52,0.52,0.03,0.05
Cyp1b1,0.269,39.56,0.09,0.21,0.00,0.01
Dchs2,0.268,146.10,0.09,0.16,0.00,0.00
Emilin1,0.267,10.72,0.12,0.27,0.01,0.04
Rspo3,0.264,30.30,0.08,0.18,0.00,0.00
Boc,0.263,18.17,0.11,0.22,0.01,0.02
Itm2a,0.262,18.87,0.15,0.25,0.01,0.02
Col1a2,0.261,41.74,3.14,0.84,0.08,0.11
Sdc2,0.261,18.83,0.25,0.40,0.01,0.03
Abca8a,0.259,83.13,0.68,0.44,0.01,0.01
Tnc,0.259,35.53,0.30,0.20,0.01,0.01
Kcnt2,0.259,17.73,0.12,0.23,0.01,0.01
C1qtnf6,0.257,13.96,0.07,0.19,0.01,0.01
Nav3,0.257,15.64,0.21,0.30,0.01,0.03
Magi2,0.256,27.85,0.52,0.50,0.02,0.03
Ror1,0.255,13.63,0.57,0.58,0.04,0.06
Serpine2,0.254,10.42,0.19,0.31,0.02,0.03
Gxylt2,0.254,40.20,0.09,0.21,0.00,0.01
Mmp14,0.254,14.90,0.49,0.55,0.03,0.08
Col12a1,0.254,38.19,0.11,0.16,0.00,0.01
Pcdh7,0.253,29.87,0.47,0.53,0.02,0.02
Asap3,0.253,9.11,0.07,0.19,0.01,0.02
Col1a1,0.253,50.80,4.55,0.83,0.09,0.14
P3h3,0.251,19.35,0.08,0.22,0.00,0.02
Colec12,0.251,8.95,0.30,0.46,0.03,0.06
Bmp1,0.251,11.13,0.14,0.33,0.01,0.04
Mmp19,0.250,14.68,0.05,0.13,0.00,0.01
Fstl1,0.247,18.99,0.68,0.67,0.04,0.08
Antxr1,0.247,33.45,0.26,0.43,0.01,0.02
Sfrp1,0.247,45.94,0.20,0.27,0.00,0.01
Aldh1a2,0.247,15.45,0.18,0.27,0.01,0.02
Podn,0.247,26.23,0.10,0.23,0.00,0.01
Arhgap20,0.247,36.55,0.06,0.14,0.00,0.01
Ltbp1,0.246,16.13,0.20,0.33,0.01,0.03
Itih5,0.246,10.23,0.32,0.41,0.03,0.06
Col14a1,0.245,18.36,0.52,0.46,0.03,0.06
Mmp23,0.245,27.99,0.08,0.20,0.00,0.01
Aox1,0.245,14.92,0.04,0.13,0.00,0.01
Postn,0.244,31.05,0.66,0.40,0.02,0.04
Mir100hg,0.241,32.44,0.40,0.48,0.01,0.03
Pla2r1,0.240,14.68,0.13,0.29,0.01,0.02
Fbln1,0.239,30.48,0.19,0.26,0.01,0.01
C1s1,0.237,17.38,0.25,0.43,0.01,0.02
Fkbp10,0.237,14.28,0.07,0.18,0.00,0.01
Col3a1,0.237,45.96,5.83,0.91,0.13,0.17
Angptl2,0.236,15.17,0.12,0.29,0.01,0.02
Ggt5,0.236,6.89,0.06,0.15,0.01,0.03
Cped1,0.235,8.49,0.30,0.44,0.04,0.08
Serpinh1,0.234,11.24,0.58,0.58,0.05,0.12
Mxra8,0.233,13.01,0.10,0.27,0.01,0.02
Vegfd,0.233,23.15,0.06,0.14,0.00,0.01
Dact1,0.232,19.10,0.06,0.14,0.00,0.01
Aebp1,0.232,15.89,0.41,0.51,0.03,0.04
Fzd1,0.232,27.83,0.08,0.17,0.00,0.01
Kif26b,0.229,29.60,0.13,0.17,0.00,0.01
Numbl,0.229,17.24,0.06,0.16,0.00,0.01
Ank2,0.229,22.58,0.27,0.42,0.01,0.03
Adcyap1r1,0.228,28.16,0.05,0.15,0.00,0.00
Csf1,0.228,8.40,0.12,0.29,0.01,0.03
Adamts12,0.227,21.51,0.30,0.40,0.01,0.02
Srpx,0.227,19.92,0.04,0.15,0.00,0.00
Sned1,0.227,15.60,0.24,0.30,0.02,0.04
Opcml,0.225,26.06,0.20,0.14,0.01,0.01
Axl,0.225,12.09,0.18,0.34,0.01,0.04
Pla2g4a,0.224,5.79,0.07,0.22,0.01,0.05
Serping1,0.224,18.38,0.61,0.55,0.03,0.04
Itga11,0.224,16.76,0.04,0.14,0.00,0.01
Abi3bp,0.224,21.35,0.25,0.40,0.01,0.02
Thsd7a,0.223,15.60,0.37,0.38,0.02,0.04
Gdf10,0.222,78.45,0.07,0.13,0.00,0.00
Tgfb3,0.222,11.66,0.10,0.19,0.01,0.02
Sod3,0.222,26.92,0.05,0.15,0.00,0.01
Rbp1,0.221,9.24,0.43,0.43,0.05,0.05
Fhl2,0.220,9.78,0.05,0.15,0.01,0.01
Nid1,0.220,9.59,0.49,0.51,0.05,0.11
Cthrc1,0.219,36.75,0.07,0.13,0.00,0.00
Mest,0.219,14.68,0.06,0.10,0.00,0.01
Zfhx4,0.219,25.16,0.23,0.39,0.01,0.02
Emilin2,0.218,4.82,0.06,0.14,0.01,0.05
Il11ra1,0.218,8.13,0.10,0.25,0.01,0.04
Plekha6,0.216,10.47,0.13,0.23,0.01,0.03
Lhfp,0.215,12.82,0.36,0.47,0.03,0.04
Plxdc2,0.215,11.59,0.94,0.63,0.08,0.11
Pi16,0.214,61.97,0.12,0.10,0.00,0.01
Ror2,0.213,9.85,0.17,0.30,0.02,0.03
Col4a3,0.213,12.68,0.06,0.10,0.00,0.01
Thbs2,0.212,28.29,0.06,0.13,0.00,0.01
Ifi205,0.212,15.75,0.08,0.20,0.01,0.01
Loxl2,0.211,18.70,0.11,0.25,0.01,0.01
Ctsk,0.211,20.67,0.05,0.13,0.00,0.01
Ckap4,0.211,7.13,0.13,0.29,0.02,0.06
Pcdh19,0.211,8.52,0.10,0.20,0.01,0.02
Adamts15,0.210,18.07,0.05,0.13,0.00,0.01
Lrp1,0.209,6.18,0.49,0.58,0.08,0.15
Wnt5a,0.209,23.24,0.07,0.16,0.00,0.01
B3galt1,0.209,9.51,0.15,0.26,0.02,0.02
Prdm5,0.208,9.11,0.10,0.26,0.01,0.03
Prr16,0.208,79.61,0.08,0.14,0.00,0.00
