gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Dcdc2a,0.776,230.52,0.96,0.65,0.00,0.01
Erbb4,0.771,365.06,1.14,0.67,0.00,0.01
Shank2,0.745,105.20,1.17,0.71,0.01,0.02
Slc28a3,0.730,236.91,0.39,0.51,0.00,0.00
Onecut1,0.668,50.32,0.51,0.64,0.01,0.02
Pkhd1,0.653,96.97,2.53,0.76,0.03,0.04
Fstl4,0.643,78.12,0.30,0.42,0.00,0.01
Hnf1b,0.622,66.34,0.30,0.49,0.00,0.01
Ces1d,0.601,125.09,0.28,0.39,0.00,0.00
Hs6st2,0.601,205.31,0.40,0.36,0.00,0.00
Ambp,0.592,51.72,0.22,0.39,0.00,0.01
Anxa13,0.590,59.60,0.17,0.37,0.00,0.01
Dab1,0.565,81.84,0.26,0.40,0.00,0.01
Clmn,0.557,43.27,0.51,0.61,0.01,0.03
Cftr,0.556,88.22,0.31,0.33,0.00,0.01
Ehf,0.542,38.54,0.34,0.53,0.01,0.02
Sox9,0.536,28.14,0.36,0.49,0.01,0.03
Apoc1,0.536,37.74,0.25,0.31,0.01,0.02
Pamr1,0.525,36.30,0.16,0.35,0.00,0.01
Dsg2,0.524,27.23,0.55,0.67,0.02,0.04
Tstd1,0.522,62.74,0.18,0.33,0.00,0.01
Tm4sf4,0.503,52.88,0.41,0.55,0.01,0.02
Pigr,0.499,30.07,0.23,0.35,0.01,0.01
Ngef,0.497,63.23,0.12,0.29,0.00,0.01
Scara3,0.496,30.12,0.32,0.51,0.01,0.03
Adamts16,0.487,60.13,0.19,0.28,0.00,0.00
Fgfr3,0.479,44.07,0.22,0.41,0.00,0.01
Slc5a1,0.477,144.12,0.12,0.27,0.00,0.00
Lurap1l,0.467,23.09,0.63,0.63,0.03,0.07
Atp1b1,0.465,32.95,0.65,0.65,0.02,0.05
Mtcl1,0.465,46.67,0.16,0.34,0.00,0.01
Wwc1,0.464,22.74,0.56,0.67,0.02,0.05
Cdh6,0.457,48.41,0.16,0.29,0.00,0.01
Gm609,0.456,281.71,0.22,0.37,0.00,0.00
Epcam,0.456,19.15,0.55,0.61,0.03,0.05
Kifc3,0.453,29.48,0.59,0.61,0.02,0.06
Tnfrsf19,0.448,39.33,0.11,0.26,0.00,0.01
Map3k21,0.448,46.00,0.13,0.30,0.00,0.01
Cldn3,0.447,16.50,0.33,0.52,0.02,0.04
Veph1,0.443,312.74,0.11,0.26,0.00,0.00
A230001M10Rik,0.441,301.58,0.15,0.26,0.00,0.00
ccdc198,0.434,75.56,0.10,0.27,0.00,0.00
Cldn7,0.428,13.61,0.20,0.39,0.01,0.03
Ngf,0.423,34.33,0.20,0.33,0.01,0.01
2610035D17Rik,0.421,22.84,0.29,0.42,0.01,0.03
2610307P16Rik,0.420,30.75,0.58,0.62,0.02,0.04
Mme,0.407,97.89,0.12,0.25,0.00,0.00
Grhl2,0.406,15.09,0.13,0.33,0.01,0.02
Vtcn1,0.398,30.52,0.09,0.22,0.00,0.01
Osgin1,0.397,22.40,0.08,0.21,0.00,0.01
Krt23,0.396,21.15,0.09,0.22,0.00,0.01
9130008F23Rik,0.389,43.60,0.07,0.21,0.00,0.01
Nudt19,0.384,12.72,0.09,0.21,0.01,0.03
Bche,0.379,33.36,0.10,0.25,0.00,0.01
