gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Cxcl14,0.421,21.40,0.70,0.34,0.03,0.05
Rbp1,0.396,27.20,1.07,0.52,0.04,0.06
Tagln,0.345,15.29,0.73,0.37,0.05,0.03
Cygb,0.302,13.54,0.29,0.26,0.02,0.04
Tpm2,0.276,10.17,0.39,0.30,0.04,0.04
Pdlim2,0.268,13.29,0.16,0.16,0.01,0.04
Fhl2,0.256,14.82,0.08,0.10,0.01,0.02
Nt5dc2,0.250,12.00,0.09,0.13,0.01,0.03
Timp1,0.250,9.28,0.25,0.20,0.03,0.03
Cilp,0.243,7.78,0.15,0.12,0.02,0.02
Aldh1a2,0.240,14.73,0.22,0.17,0.01,0.03
Mfap5,0.231,6.97,0.22,0.21,0.03,0.04
Phlda3,0.229,15.21,0.16,0.20,0.01,0.03
Nkd2,0.228,25.95,0.10,0.10,0.00,0.01
Ak1,0.224,17.76,0.07,0.10,0.00,0.01
Snhg18,0.222,9.91,0.30,0.29,0.03,0.07
Acta2,0.214,5.72,0.31,0.23,0.05,0.03
Serf1,0.212,10.79,0.15,0.14,0.01,0.04
Medag,0.210,8.73,0.13,0.15,0.01,0.03
Bgn,0.204,8.00,0.65,0.40,0.08,0.09
Bhlhe41,0.201,11.94,0.06,0.06,0.01,0.02
Olfml3,0.200,6.57,0.14,0.14,0.02,0.06
Nrep,0.197,8.96,0.15,0.14,0.02,0.05
Palld,0.196,10.44,0.45,0.33,0.04,0.08
Tgfb3,0.194,9.38,0.10,0.12,0.01,0.03
Csrp2,0.191,12.19,0.66,0.39,0.05,0.12
H19,0.188,39.74,0.17,0.08,0.00,0.01
Tubb6,0.180,6.81,0.08,0.11,0.01,0.04
Maged2,0.177,8.17,0.11,0.13,0.01,0.03
Prrx1,0.176,7.02,0.16,0.15,0.02,0.04
Lgals1,0.174,10.07,1.86,0.67,0.18,0.25
1110065P20Rik,0.170,7.33,0.08,0.11,0.01,0.04
Rasl11b,0.169,49.39,0.06,0.07,0.00,0.00
Srpx2,0.165,10.93,0.05,0.06,0.00,0.01
Akr1b8,0.165,12.56,0.05,0.07,0.00,0.01
Copz2,0.164,6.63,0.14,0.15,0.02,0.06
Hddc3,0.161,11.25,0.04,0.05,0.00,0.01
Ercc1,0.158,5.58,0.05,0.06,0.01,0.03
Lox,0.158,6.47,0.09,0.09,0.01,0.02
C1qtnf6,0.157,7.64,0.05,0.07,0.01,0.02
Lum,0.156,3.91,0.11,0.10,0.03,0.04
Ost4,0.154,6.18,0.44,0.38,0.07,0.21
Plac8,0.153,5.39,0.18,0.15,0.03,0.07
1810058I24Rik,0.150,5.83,0.28,0.26,0.05,0.15
