gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Rgs5,0.762,455.74,7.91,0.86,0.02,0.02
Notch3,0.753,257.86,0.95,0.62,0.00,0.01
Abcc9,0.724,228.98,1.14,0.60,0.00,0.01
Myh11,0.684,518.56,1.55,0.53,0.00,0.01
Ndufa4l2,0.666,185.42,0.52,0.52,0.00,0.01
Pdgfrb,0.627,70.58,0.68,0.56,0.01,0.02
Carmn,0.624,118.51,0.33,0.44,0.00,0.01
Ednra,0.606,70.34,0.31,0.42,0.00,0.01
Myl9,0.598,144.49,0.81,0.51,0.01,0.01
Des,0.581,67.34,0.53,0.50,0.01,0.01
Pde5a,0.567,63.83,0.46,0.55,0.01,0.02
Trpc6,0.559,1289.64,0.55,0.44,0.00,0.00
Gucy1b1,0.548,106.84,0.46,0.54,0.00,0.01
Aspn,0.546,43.75,0.35,0.44,0.01,0.01
Sgip1,0.541,57.03,0.46,0.44,0.01,0.02
Agtr1a,0.537,135.36,0.30,0.36,0.00,0.01
Gucy1a2,0.535,56.15,0.84,0.54,0.01,0.03
Mrvi1,0.509,37.02,0.25,0.44,0.01,0.02
Pcdh19,0.493,28.55,0.27,0.35,0.01,0.02
Pde3a,0.491,58.23,0.68,0.52,0.01,0.02
Gucy1a1,0.485,67.21,0.55,0.56,0.01,0.02
Gm13889,0.485,14.56,0.24,0.36,0.02,0.04
Higd1b,0.485,352.21,0.31,0.36,0.00,0.00
Lin7a,0.484,195.81,0.38,0.32,0.00,0.00
Ace2,0.477,883.11,0.38,0.36,0.00,0.00
Lmod1,0.473,611.28,0.27,0.37,0.00,0.00
Cacna1c,0.471,91.81,1.03,0.58,0.01,0.02
Tbx2,0.469,50.00,0.22,0.39,0.00,0.01
Ifitm1,0.468,33.62,0.49,0.41,0.01,0.02
Aoc3,0.467,41.77,0.17,0.33,0.00,0.01
Mylk,0.466,41.17,0.85,0.67,0.02,0.04
Pakap,0.465,85.91,0.18,0.36,0.00,0.00
Rasl12,0.461,90.54,0.14,0.35,0.00,0.00
Atp1b2,0.460,119.92,0.19,0.37,0.00,0.00
