gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Flt3,0.743,86.99,0.35,0.76,0.00,0.01
Plbd1,0.664,35.91,0.61,0.73,0.02,0.04
Itgax,0.616,54.50,0.13,0.50,0.00,0.01
Slamf7,0.611,21.60,0.21,0.60,0.01,0.03
Kmo,0.607,22.08,0.21,0.55,0.01,0.03
Cd244a,0.576,27.75,0.14,0.47,0.01,0.01
Rnase6,0.553,16.93,0.19,0.55,0.01,0.03
Fgr,0.509,14.19,0.35,0.65,0.02,0.07
H2-DMb1,0.496,10.57,0.24,0.65,0.02,0.07
Cd209a,0.490,74.88,0.16,0.36,0.00,0.00
Jaml,0.478,20.95,0.14,0.47,0.01,0.02
Batf3,0.477,26.10,0.08,0.35,0.00,0.01
Ptpro,0.468,10.54,0.15,0.46,0.01,0.05
Clec10a,0.466,13.87,0.10,0.29,0.01,0.02
Ciita,0.458,10.58,0.57,0.73,0.05,0.09
H2-Aa,0.458,13.61,3.25,0.84,0.24,0.15
Napsa,0.458,9.71,0.44,0.73,0.05,0.10
Pmaip1,0.448,20.86,0.10,0.32,0.00,0.02
Ppfia4,0.443,13.21,0.08,0.37,0.01,0.03
H2-Ab1,0.440,15.20,3.79,0.82,0.25,0.15
H2-Oa,0.439,11.24,0.10,0.39,0.01,0.03
Klra17,0.433,44.01,0.13,0.30,0.00,0.01
Pkib,0.429,9.67,0.18,0.54,0.02,0.05
Klrd1,0.425,13.14,0.12,0.35,0.01,0.02
Kynu,0.424,10.14,0.21,0.54,0.02,0.05
Gpr35,0.423,22.21,0.06,0.32,0.00,0.01
Olfm1,0.417,18.69,0.20,0.54,0.01,0.03
Dna2,0.414,11.06,0.09,0.38,0.01,0.03
H2-Eb1,0.413,11.63,1.50,0.60,0.13,0.10
Tifab,0.409,9.12,0.06,0.33,0.01,0.03
Slamf9,0.403,9.19,0.06,0.30,0.01,0.03
Alox5ap,0.403,8.02,0.23,0.62,0.03,0.08
Hck,0.402,7.03,0.20,0.59,0.03,0.09
H2-DMa,0.401,8.33,0.32,0.68,0.04,0.11
I830077J02Rik,0.399,23.32,0.05,0.22,0.00,0.01
Sirpb1b,0.392,9.23,0.10,0.30,0.01,0.03
Rasgrp4,0.392,7.75,0.07,0.27,0.01,0.03
Cd7,0.389,18.58,0.07,0.21,0.00,0.01
Gm15987,0.387,6.24,0.25,0.56,0.04,0.08
Pak1,0.383,11.81,0.17,0.54,0.01,0.05
Cd86,0.381,7.80,0.13,0.33,0.02,0.04
Phf11a,0.380,21.53,0.05,0.25,0.00,0.01
Havcr2,0.379,7.57,0.07,0.24,0.01,0.03
Rgs18,0.378,9.29,0.05,0.27,0.01,0.02
Slc46a3,0.378,11.53,0.09,0.32,0.01,0.03
Cd74,0.377,11.63,9.12,0.88,0.78,0.20
F630028O10Rik,0.374,6.49,0.11,0.37,0.02,0.05
Cd300a,0.373,6.83,0.12,0.44,0.02,0.06
Rtn1,0.371,22.72,0.21,0.49,0.01,0.02
Spi1,0.370,6.47,0.35,0.74,0.05,0.13
Naaa,0.368,26.87,0.34,0.38,0.01,0.04
Clec4b1,0.368,18.80,0.06,0.25,0.00,0.01
Fgd2,0.368,7.76,0.21,0.59,0.03,0.08
Traf1,0.365,11.03,0.15,0.40,0.01,0.04
Phf11b,0.362,7.94,0.07,0.29,0.01,0.04
Grk3,0.360,14.69,0.26,0.64,0.02,0.05
Nfam1,0.357,6.36,0.15,0.53,0.02,0.08
Themis2,0.356,6.53,0.08,0.36,0.01,0.05
Gm46224,0.355,7.68,0.05,0.26,0.01,0.03
Ccr9,0.355,16.35,0.12,0.17,0.01,0.02
Evi2a,0.353,6.58,0.08,0.37,0.01,0.05
Amz1,0.351,13.50,0.05,0.24,0.00,0.01
Ifi30,0.349,8.54,0.70,0.81,0.08,0.17
Tbc1d9,0.346,7.80,0.22,0.56,0.03,0.08
P2ry14,0.345,23.42,0.13,0.23,0.01,0.02
Pld4,0.344,5.81,0.23,0.67,0.04,0.11
Spns3,0.343,23.76,0.08,0.20,0.00,0.01
Snx20,0.342,6.18,0.14,0.54,0.02,0.08
Ccr2,0.342,5.49,0.43,0.65,0.08,0.09
Rogdi,0.342,9.75,0.08,0.27,0.01,0.03
Ccl9,0.341,5.54,0.10,0.29,0.02,0.05
Apobr,0.339,8.60,0.05,0.22,0.01,0.03
Gm2a,0.338,11.71,0.47,0.73,0.04,0.13
Plcb2,0.337,6.09,0.09,0.40,0.01,0.05
Cyth4,0.336,5.70,0.35,0.78,0.06,0.15
St8sia1,0.333,6.25,0.12,0.38,0.02,0.04
Siglech,0.332,65.17,0.31,0.21,0.00,0.01
Htr7,0.331,77.70,0.09,0.26,0.00,0.00
Plxnc1,0.329,7.67,0.26,0.50,0.03,0.10
Ccdc88b,0.329,6.94,0.08,0.34,0.01,0.04
Abhd15,0.327,8.83,0.04,0.20,0.00,0.02
Selplg,0.327,6.11,0.27,0.70,0.04,0.13
Wfdc17,0.326,6.06,0.30,0.48,0.05,0.09
Gna15,0.325,6.11,0.05,0.24,0.01,0.04
Adgrg5,0.325,11.88,0.05,0.27,0.00,0.01
Cyp27a1,0.321,6.81,0.11,0.44,0.02,0.06
Irf5,0.320,5.61,0.12,0.51,0.02,0.08
Cfp,0.319,6.67,0.16,0.43,0.02,0.07
Nlrp1b,0.319,6.35,0.07,0.25,0.01,0.04
BC035044,0.319,7.14,0.06,0.24,0.01,0.03
Gpr132,0.318,6.69,0.11,0.40,0.02,0.05
Sirpb1a,0.317,16.55,0.05,0.18,0.00,0.01
Tyrobp,0.317,5.66,0.68,0.77,0.12,0.14
Scimp,0.315,13.08,0.04,0.19,0.00,0.01
Lsp1,0.314,8.02,0.79,0.87,0.10,0.20
Wdfy4,0.314,9.13,0.94,0.75,0.10,0.16
Aim2,0.313,5.25,0.17,0.53,0.03,0.10
Siglece,0.312,26.53,0.04,0.21,0.00,0.01
Tiam1,0.311,6.97,0.14,0.43,0.02,0.06
Tbc1d8,0.308,11.70,0.44,0.66,0.04,0.10
Clec12a,0.307,4.78,0.12,0.42,0.02,0.07
Plac8,0.306,9.08,0.30,0.49,0.03,0.07
Clec9a,0.303,107.27,0.12,0.21,0.00,0.00
Cysltr1,0.301,3.97,0.09,0.36,0.02,0.07
Srgap3,0.301,15.98,0.28,0.62,0.02,0.04
Syngr2,0.298,6.96,0.21,0.66,0.03,0.10
Rassf4,0.297,6.72,0.32,0.72,0.05,0.11
Sh2d1b1,0.296,16.86,0.03,0.16,0.00,0.01
Hcls1,0.295,4.26,0.15,0.57,0.04,0.13
