gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Csmd1,0.717,262.40,13.58,0.95,0.05,0.02
Plp1,0.714,385.49,1.30,0.90,0.00,0.01
Grik2,0.713,549.38,1.66,0.85,0.00,0.01
Cadm2,0.710,1523.06,6.20,0.95,0.00,0.01
Nkain2,0.690,144.37,3.54,0.95,0.02,0.04
Vwa1,0.683,39.99,0.57,0.70,0.01,0.04
Matn2,0.682,175.37,1.65,0.80,0.01,0.02
Galnt17,0.678,104.25,0.70,0.80,0.01,0.01
Scn7a,0.674,178.32,3.37,0.90,0.02,0.03
Aspa,0.651,298.78,0.68,0.80,0.00,0.01
Gas2l3,0.650,34.50,0.31,0.65,0.01,0.03
Lgi4,0.648,562.84,0.75,0.80,0.00,0.01
L1cam,0.645,64.78,0.42,0.60,0.01,0.02
Chl1,0.641,113.00,1.72,0.95,0.02,0.03
Itga2,0.634,32.09,0.41,0.70,0.01,0.03
Abca8b,0.629,138.37,0.88,0.70,0.01,0.01
Dlgap1,0.623,117.98,1.14,0.85,0.01,0.02
Slc35f1,0.622,2381.88,3.22,0.95,0.00,0.00
Cadm4,0.611,247.39,0.63,0.70,0.00,0.01
Gpm6b,0.609,76.23,1.70,0.85,0.02,0.04
Zfp536,0.607,886.11,1.13,0.90,0.00,0.00
Kcna2,0.601,1072.42,0.98,0.85,0.00,0.00
Adam23,0.599,91.17,1.10,0.85,0.01,0.01
Sema3b,0.590,196.98,0.39,0.65,0.00,0.01
Atp1a2,0.586,60.31,0.43,0.60,0.01,0.02
Sostdc1,0.584,96.46,0.46,0.60,0.00,0.01
Abca8a,0.577,41.39,1.63,0.80,0.04,0.03
Entpd2,0.576,59.36,0.63,0.70,0.01,0.03
Mal,0.574,155.37,0.80,0.60,0.01,0.01
Shpk,0.572,75.76,0.20,0.45,0.00,0.01
Erbb3,0.568,59.14,0.30,0.60,0.01,0.01
Sgcd,0.568,132.13,1.56,0.90,0.01,0.02
Col16a1,0.567,67.36,0.51,0.70,0.01,0.02
Ncam1,0.552,90.05,1.04,0.85,0.01,0.02
Ntrk3,0.546,41.43,0.47,0.40,0.01,0.03
Pcdh9,0.543,159.50,1.17,0.70,0.01,0.01
Aatk,0.542,84.96,0.33,0.50,0.00,0.02
Epb41l4b,0.541,53.02,0.76,0.75,0.01,0.04
Tmod2,0.538,115.26,0.53,0.80,0.00,0.02
