gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Sema3g,0.768,73.94,0.75,0.91,0.01,0.02
Sox17,0.671,26.04,0.32,0.72,0.01,0.03
Jag2,0.654,23.12,0.34,0.72,0.01,0.04
Ace,0.642,26.65,0.65,0.83,0.02,0.05
Fbln5,0.642,85.30,1.27,0.94,0.01,0.03
Edn1,0.636,64.57,0.43,0.66,0.01,0.01
Gja4,0.636,54.38,0.76,0.84,0.01,0.03
Nebl,0.636,65.46,0.83,0.65,0.01,0.03
Vegfc,0.635,39.56,0.63,0.73,0.02,0.03
Stmn2,0.616,55.09,0.62,0.81,0.01,0.02
Syt15,0.595,21.06,0.17,0.49,0.01,0.02
Lrrc3b,0.590,20.94,0.33,0.51,0.02,0.03
Alpl,0.584,25.03,0.25,0.52,0.01,0.02
Tmem44,0.566,17.02,0.16,0.44,0.01,0.03
Alox12,0.555,21.28,0.17,0.44,0.01,0.02
Vwf,0.537,22.35,0.31,0.51,0.01,0.02
Dll4,0.537,15.14,0.28,0.65,0.02,0.04
Nos3,0.536,17.43,0.18,0.48,0.01,0.03
Crispld1,0.530,15.27,0.15,0.40,0.01,0.03
Lama3,0.527,10.25,0.67,0.85,0.07,0.10
Pcsk5,0.524,34.43,0.62,0.78,0.02,0.03
Samd12,0.522,12.82,0.80,0.83,0.06,0.10
Efnb2,0.519,17.91,0.84,0.86,0.05,0.08
Notch4,0.515,10.65,0.22,0.57,0.02,0.05
Hey1,0.514,22.46,0.16,0.44,0.01,0.02
Bmx,0.511,96.36,0.23,0.52,0.00,0.01
Ptprb,0.484,10.06,3.63,1.00,0.36,0.17
Smad6,0.481,14.61,0.31,0.56,0.02,0.06
Sox13,0.480,12.63,0.28,0.61,0.02,0.06
St8sia6,0.476,17.09,0.45,0.68,0.03,0.06
Kif26a,0.467,12.44,0.14,0.48,0.01,0.03
She,0.462,12.65,0.30,0.68,0.02,0.06
Ssu2,0.462,14.53,0.12,0.34,0.01,0.02
Tmem255b,0.461,11.26,0.11,0.43,0.01,0.03
Adcy4,0.460,10.63,0.19,0.55,0.02,0.05
Pik3r3,0.458,10.26,0.36,0.67,0.04,0.07
Cdh13,0.458,10.49,0.74,0.84,0.07,0.09
Tm4sf1,0.457,16.27,1.56,0.98,0.10,0.13
Gja5,0.456,454.56,0.28,0.52,0.00,0.00
Gata2,0.455,12.73,0.16,0.47,0.01,0.04
Efna1,0.450,13.33,0.31,0.57,0.02,0.06
Rbp7,0.447,7.78,0.56,0.55,0.07,0.07
Id1,0.438,8.03,0.63,0.82,0.08,0.11
Eogt,0.435,12.47,0.27,0.64,0.02,0.06
Dkk2,0.430,36.28,0.25,0.30,0.01,0.01
Podxl,0.427,7.86,0.98,0.94,0.12,0.14
Dipk2b,0.424,8.76,0.17,0.40,0.02,0.05
Rasgrf2,0.422,11.11,0.49,0.78,0.04,0.09
Mmrn2,0.418,8.55,0.50,0.80,0.06,0.10
Fbln2,0.417,14.07,1.00,0.94,0.07,0.11
AU021092,0.414,13.30,0.08,0.30,0.01,0.02
Tmem100,0.414,53.78,0.22,0.39,0.00,0.01
Ptprr,0.413,33.10,0.16,0.48,0.00,0.01
Jam2,0.411,6.66,0.38,0.68,0.06,0.10
Acer2,0.408,8.61,0.19,0.51,0.02,0.06
Depp1,0.407,19.83,0.10,0.30,0.01,0.01
St6galnac2,0.403,11.80,0.13,0.42,0.01,0.03
Epha4,0.402,10.06,0.24,0.59,0.02,0.06
Myrip,0.397,14.88,0.14,0.32,0.01,0.02
Cd36,0.396,9.17,1.07,0.75,0.12,0.14
Dnm3,0.394,9.06,0.63,0.81,0.07,0.10
Rflnb,0.394,8.18,0.77,0.86,0.09,0.15
Adarb1,0.391,8.36,0.30,0.70,0.04,0.09
Jcad,0.391,9.66,0.26,0.64,0.03,0.06
Ly6c1,0.391,6.37,1.04,0.89,0.16,0.15
Slc26a10,0.391,11.33,0.09,0.22,0.01,0.02
Nuak1,0.390,12.24,0.37,0.59,0.03,0.08
Fam13c,0.389,8.56,0.29,0.57,0.03,0.08
Icam2,0.385,6.19,0.15,0.44,0.02,0.07
Epas1,0.383,10.56,2.02,0.98,0.19,0.19
Rnf152,0.381,10.47,0.14,0.36,0.01,0.04
Trpv4,0.380,14.97,0.07,0.24,0.00,0.02
Ccm2l,0.378,9.31,0.14,0.47,0.01,0.04
Slc9a3r2,0.376,8.29,0.62,0.82,0.07,0.12
Cdh5,0.376,6.58,0.87,0.90,0.13,0.14
