gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Lyve1,0.677,467.69,1.60,0.64,0.00,0.01
Klhl4,0.606,46.29,0.29,0.49,0.01,0.02
Pard6g,0.581,107.50,0.49,0.58,0.00,0.01
Flt4,0.575,35.10,0.69,0.64,0.02,0.05
Cldn5,0.553,135.02,0.57,0.66,0.00,0.01
Ccl21a,0.549,185.43,3.85,0.54,0.02,0.00
Prox1,0.526,35.62,0.66,0.70,0.02,0.03
Adgrg3,0.509,59.37,0.16,0.34,0.00,0.01
F8,0.502,62.72,0.45,0.36,0.01,0.02
Sema3d,0.498,100.76,0.47,0.63,0.00,0.01
Pgm5,0.483,136.19,0.28,0.45,0.00,0.01
Myzap,0.472,19.33,0.25,0.48,0.01,0.04
Sema3a,0.469,142.37,0.45,0.51,0.00,0.01
Sh3gl3,0.462,258.61,0.25,0.54,0.00,0.00
Lbp,0.445,19.81,0.14,0.36,0.01,0.02
Fxyd6,0.444,26.90,0.28,0.45,0.01,0.02
Mmrn1,0.442,4410.80,1.56,0.57,0.00,0.00
Clca3a1,0.441,29.25,0.13,0.31,0.00,0.01
Slfn3,0.439,14.64,0.14,0.28,0.01,0.03
Reln,0.432,632.36,1.05,0.61,0.00,0.00
D5Ertd615e,0.422,145.86,0.27,0.34,0.00,0.01
Tll1,0.417,16.17,0.34,0.40,0.02,0.04
Reep1,0.411,132.63,0.17,0.39,0.00,0.00
Zfp521,0.406,12.37,0.74,0.66,0.06,0.10
Lrg1,0.404,13.67,0.22,0.33,0.02,0.03
Slc45a3,0.388,156.07,0.16,0.40,0.00,0.00
Dapk2,0.378,11.83,0.15,0.39,0.01,0.03
Stab2,0.378,227.57,0.59,0.22,0.00,0.01
Col23a1,0.377,42.74,0.17,0.34,0.00,0.01
Ston2,0.376,23.76,0.31,0.46,0.01,0.04
Pald1,0.373,11.63,0.18,0.42,0.02,0.05
Wipf3,0.373,98.46,0.14,0.34,0.00,0.00
Galnt18,0.371,15.91,1.04,0.69,0.07,0.11
Fgl2,0.361,46.32,0.75,0.54,0.02,0.04
Itga9,0.356,13.96,0.43,0.55,0.03,0.08
Hyal2,0.351,9.83,0.09,0.31,0.01,0.03
Palm,0.349,11.47,0.20,0.46,0.02,0.05
Gpr182,0.345,32.55,0.09,0.25,0.00,0.01
Sncaip,0.345,14.70,0.30,0.45,0.02,0.05
Ankrd6,0.344,20.20,0.10,0.27,0.01,0.02
Ecscr,0.339,8.25,0.28,0.58,0.03,0.08
Gm15675,0.333,7.76,0.13,0.25,0.02,0.04
Htr2b,0.331,16.13,0.05,0.19,0.00,0.01
Prelp,0.326,16.69,0.21,0.42,0.01,0.03
Pcsk6,0.311,14.66,0.20,0.36,0.01,0.03
Kcnn3,0.310,33.55,0.18,0.27,0.01,0.01
Pdpn,0.307,13.17,0.12,0.37,0.01,0.02
Dtx1,0.307,6.25,0.18,0.39,0.03,0.07
Zfpm2,0.305,13.66,0.78,0.75,0.06,0.08
Prkcz,0.303,7.84,0.11,0.36,0.01,0.05
Slc16a12,0.303,21.84,0.12,0.34,0.01,0.01
Fam189a2,0.299,10.22,0.11,0.27,0.01,0.03
Hmcn1,0.296,4.15,0.35,0.54,0.08,0.11
Sema6a,0.295,7.24,0.74,0.67,0.10,0.15
Emid1,0.293,9.64,0.11,0.31,0.01,0.03
Il33,0.292,23.23,0.20,0.24,0.01,0.02
Nectin2,0.291,10.20,0.18,0.48,0.02,0.05
Tgfa,0.287,23.56,0.20,0.19,0.01,0.02
Abi3bp,0.285,17.51,0.38,0.42,0.02,0.04
Trp53i11,0.285,4.71,0.10,0.28,0.02,0.06
Tspan18,0.284,10.88,0.29,0.43,0.03,0.07
Slc10a6,0.283,19.26,0.08,0.21,0.00,0.01
Nova2,0.282,4.87,0.13,0.37,0.03,0.07
Bok,0.281,7.81,0.12,0.36,0.02,0.04
Trpc3,0.280,20.02,0.08,0.19,0.00,0.01
Sned1,0.277,6.87,0.18,0.45,0.03,0.05
Afap1l1,0.276,7.62,0.24,0.52,0.03,0.08
Scn1b,0.275,7.91,0.14,0.36,0.02,0.05
Ugcg,0.274,6.88,0.35,0.55,0.05,0.14
Hsd3b7,0.273,7.36,0.07,0.19,0.01,0.03
Ackr2,0.273,248.18,0.11,0.33,0.00,0.00
Csf2rb2,0.273,11.83,0.08,0.16,0.01,0.03
Stab1,0.272,3.91,0.58,0.72,0.15,0.17
Enpp3,0.272,15.88,0.07,0.22,0.00,0.02
Slco2b1,0.271,3.49,0.17,0.43,0.05,0.11
Stxbp6,0.271,12.06,0.58,0.61,0.05,0.10
Homer3,0.269,5.56,0.06,0.25,0.01,0.03
Msr1,0.268,6.29,0.12,0.15,0.02,0.06
Kank3,0.267,5.06,0.16,0.37,0.03,0.08
Mall,0.266,7.63,0.07,0.18,0.01,0.03
Maf,0.265,5.26,0.66,0.72,0.13,0.18
Ablim2,0.265,19.87,0.08,0.25,0.00,0.01
Gypc,0.264,9.66,0.08,0.25,0.01,0.03
Arrb1,0.264,5.50,0.17,0.49,0.03,0.10
Nrp2,0.263,8.96,0.66,0.63,0.07,0.16
Cd55,0.259,7.53,0.42,0.39,0.06,0.10
Calcrl,0.259,4.21,0.38,0.57,0.09,0.18
Fmo1,0.255,4.06,0.10,0.22,0.02,0.06
Serpina3g,0.254,17.68,0.05,0.15,0.00,0.01
Pld5,0.254,187.80,0.23,0.27,0.00,0.00
Tpmt,0.252,13.43,0.05,0.15,0.00,0.01
Nr2f2,0.252,13.32,0.53,0.67,0.04,0.07
N4bp3,0.252,6.33,0.05,0.16,0.01,0.03
Cped1,0.252,6.45,0.30,0.54,0.05,0.10
Meox1,0.251,4.07,0.10,0.24,0.02,0.06
Thsd1,0.251,5.77,0.12,0.31,0.02,0.06
Tnfrsf11a,0.250,4.05,0.15,0.42,0.04,0.09
Cyp4b1,0.250,14.39,0.17,0.25,0.01,0.03
Cyp1b1,0.249,12.95,0.09,0.18,0.01,0.02
Bik,0.249,5.62,0.05,0.21,0.01,0.03
Wdr17,0.248,26.90,0.10,0.30,0.00,0.01
Myo7a,0.248,6.45,0.03,0.13,0.00,0.02
Smad1,0.247,6.73,0.34,0.60,0.05,0.15
Syne3,0.247,4.29,0.06,0.25,0.01,0.05
Erg,0.247,5.18,0.29,0.49,0.06,0.10
Nsg1,0.246,13.62,0.05,0.18,0.00,0.01
Megf6,0.246,30.11,0.08,0.25,0.00,0.01
Ctnnal1,0.246,22.28,0.15,0.33,0.01,0.02
