gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Ftl1-ps1,0.968,107.55,1.02,0.68,0.01,0.03
Gm8797,0.911,35.34,0.05,0.17,0.00,0.01
Cxcl14,0.770,10.40,0.13,0.13,0.01,0.02
Gm10260,0.763,7.10,0.04,0.13,0.01,0.02
Ifi202b,0.748,135.47,0.01,0.06,0.00,0.00
Cd14,0.748,7.03,0.07,0.16,0.01,0.03
Ccr1,0.742,7.23,0.03,0.10,0.00,0.02
Fcrls,0.740,6.82,0.15,0.19,0.02,0.04
Nxpe5,0.734,7.69,0.03,0.09,0.00,0.01
Gm11361,0.732,5.59,0.10,0.28,0.02,0.06
Klra2,0.730,12.92,0.03,0.07,0.00,0.01
Timp1,0.717,11.33,0.08,0.09,0.01,0.02
Arg1,0.709,11.85,0.03,0.06,0.00,0.01
Chil3,0.694,6.54,0.05,0.09,0.01,0.02
Pilra,0.694,6.21,0.02,0.07,0.00,0.01
Cldn4,0.690,8.45,0.05,0.07,0.01,0.01
Fcgr3,0.685,4.69,0.07,0.18,0.02,0.05
C5ar1,0.684,4.96,0.03,0.11,0.01,0.02
Lcn2,0.682,8.21,0.09,0.08,0.01,0.02
Msr1,0.681,4.70,0.04,0.12,0.01,0.03
Ccl2,0.678,12.52,0.03,0.05,0.00,0.01
Tgfbi,0.670,5.08,0.18,0.23,0.03,0.07
Ccr5,0.669,4.57,0.09,0.18,0.02,0.05
Fn1,0.666,4.64,0.29,0.23,0.06,0.07
Pmm1,0.664,5.55,0.04,0.08,0.01,0.03
Trem2,0.660,4.31,0.12,0.19,0.03,0.05
P2ry12,0.656,4.40,0.03,0.10,0.01,0.02
AA465934,0.655,8.65,0.02,0.06,0.00,0.01
Slfn9,0.652,4.18,0.02,0.08,0.01,0.02
Nlrp3,0.651,5.80,0.02,0.06,0.00,0.01
Hist1h1b,0.648,5.94,0.05,0.08,0.01,0.02
Itgam,0.645,4.03,0.09,0.18,0.02,0.06
Nlrp1a,0.644,5.40,0.01,0.06,0.00,0.01
Lilr4b,0.640,3.90,0.04,0.11,0.01,0.03
Reg3g,0.639,4.70,0.19,0.18,0.04,0.05
Cfp,0.638,3.71,0.05,0.15,0.01,0.04
Cx3cr1,0.637,3.91,0.08,0.15,0.02,0.05
C1qa,0.637,3.91,0.31,0.23,0.08,0.07
Folr2,0.636,4.03,0.02,0.08,0.01,0.02
Slamf9,0.632,5.59,0.02,0.07,0.00,0.02
Pf4,0.631,3.44,0.03,0.08,0.01,0.02
Fcgr2b,0.631,3.74,0.09,0.21,0.02,0.07
Reg3a,0.628,5.78,0.06,0.08,0.01,0.02
Cxcl16,0.628,3.45,0.06,0.16,0.02,0.05
C1qb,0.627,3.83,0.26,0.22,0.07,0.07
S100a4,0.623,3.78,0.17,0.19,0.05,0.06
Ccl12,0.619,13.58,0.01,0.04,0.00,0.00
Kcnk13,0.616,3.62,0.05,0.12,0.01,0.04
Fcgr1,0.615,3.64,0.04,0.13,0.01,0.04
C1qc,0.615,3.31,0.13,0.18,0.04,0.06
Fcer1g,0.614,3.61,0.27,0.27,0.08,0.09
Lgmn,0.613,3.64,0.28,0.32,0.08,0.13
Cstb,0.612,4.01,0.13,0.25,0.03,0.09
Adgre1,0.611,3.33,0.14,0.21,0.04,0.07
Apoc2,0.610,4.04,0.03,0.08,0.01,0.02
Alox5ap,0.610,3.31,0.06,0.16,0.02,0.05
Ms4a14,0.607,3.64,0.03,0.08,0.01,0.02
Prune2,0.606,3.34,0.03,0.11,0.01,0.03
Cpne4,0.603,5.80,0.02,0.05,0.00,0.01
Pla2g7,0.600,3.30,0.07,0.16,0.02,0.05
Slc15a3,0.598,3.18,0.04,0.13,0.01,0.04
C3ar1,0.598,3.21,0.07,0.16,0.02,0.05
Csf1r,0.597,3.17,0.15,0.24,0.05,0.08
Socs3,0.597,3.26,0.04,0.12,0.01,0.04
Ms4a6d,0.597,3.07,0.07,0.18,0.02,0.06
Ms4a7,0.596,3.04,0.20,0.22,0.07,0.07
Pirb,0.596,3.15,0.05,0.15,0.02,0.05
Mrc1,0.596,3.14,0.25,0.21,0.08,0.07
Cd300lf,0.595,3.40,0.02,0.07,0.01,0.02
Lilrb4a,0.593,3.14,0.07,0.17,0.02,0.05
Cd68,0.588,2.93,0.07,0.17,0.03,0.06
Tyrobp,0.588,3.06,0.24,0.27,0.08,0.10
Ccl7,0.586,13.24,0.02,0.04,0.00,0.00
Arhgap22,0.586,3.15,0.10,0.18,0.03,0.07
Cd300ld,0.586,3.58,0.02,0.07,0.01,0.02
Aoah,0.585,2.82,0.07,0.15,0.03,0.05
Cbr2,0.585,4.75,0.01,0.04,0.00,0.01
Gm5150,0.584,3.83,0.02,0.05,0.00,0.01
Dok3,0.584,2.95,0.04,0.14,0.01,0.05
Cxcl2,0.582,9.81,0.05,0.04,0.01,0.00
Ms4a4a,0.581,3.19,0.03,0.09,0.01,0.02
Tnfrsf11a,0.581,2.84,0.07,0.17,0.02,0.06
Tspan1,0.581,8.34,0.02,0.04,0.00,0.01
Arrb2,0.581,2.80,0.08,0.22,0.03,0.09
Fcgr4,0.580,4.49,0.01,0.05,0.00,0.01
Rpl29,0.580,3.37,0.12,0.26,0.03,0.12
Ctss,0.580,3.40,0.53,0.41,0.16,0.19
Gm8369,0.579,3.13,0.04,0.11,0.01,0.04
Gm44751,0.576,10.83,0.01,0.04,0.00,0.00
Tmem119,0.576,3.56,0.02,0.05,0.00,0.02
Rab3il1,0.574,2.90,0.05,0.15,0.02,0.06
Apobr,0.573,3.57,0.01,0.06,0.00,0.02
Ccl6,0.573,3.07,0.04,0.10,0.01,0.04
Lst1,0.572,2.87,0.08,0.18,0.03,0.07
Tlr13,0.572,3.64,0.02,0.07,0.00,0.02
Aif1,0.572,2.62,0.06,0.14,0.02,0.05
Metrnl,0.570,3.00,0.03,0.11,0.01,0.04
2200002D01Rik,0.569,3.81,0.03,0.07,0.01,0.03
Tmem273,0.569,2.46,0.02,0.07,0.01,0.02
Ntpcr,0.568,2.70,0.03,0.11,0.01,0.04
Cebpb,0.567,2.88,0.09,0.19,0.03,0.08
Sirpb1c,0.567,3.21,0.02,0.07,0.01,0.02
P2ry6,0.567,2.68,0.05,0.15,0.02,0.05
Cd300c2,0.565,2.70,0.07,0.17,0.03,0.06
Gm2245,0.565,2.96,0.02,0.06,0.01,0.02
Bcl2a1b,0.564,3.06,0.03,0.08,0.01,0.03
Tnc,0.564,3.43,0.04,0.04,0.01,0.01
Basp1,0.564,2.42,0.07,0.17,0.03,0.07
Lyz2,0.563,2.82,1.42,0.40,0.50,0.17
Emilin1,0.562,2.85,0.03,0.09,0.01,0.03
Fam20c,0.562,2.58,0.05,0.12,0.02,0.05
Reg3b,0.561,2.86,1.73,0.62,0.61,0.26
Havcr2,0.559,2.57,0.02,0.07,0.01,0.02
Nt5dc2,0.559,3.17,0.02,0.05,0.01,0.02
Ccr2,0.558,2.50,0.14,0.19,0.06,0.07
Hist1h1d,0.558,2.75,0.04,0.12,0.02,0.05
Pla2g15,0.558,3.00,0.03,0.11,0.01,0.04
Sirpa,0.558,2.61,0.17,0.26,0.07,0.11
Gdf3,0.557,6.14,0.01,0.03,0.00,0.01
