Leiden clusters,Chrm2_mean,Chrm2_perc,Car4_mean,Car4_perc,Fam167b_mean,Fam167b_perc,Fabp4_mean,Fabp4_perc,Sema3g_mean,Sema3g_perc,Sox17_mean,Sox17_perc,Cd3d_mean,Cd3d_perc,Cd3e_mean,Cd3e_perc,Gm2682_mean,Gm2682_perc,Lck_mean,Lck_perc,Adgre1_mean,Adgre1_perc,Fcrls_mean,Fcrls_perc,Ms4a7_mean,Ms4a7_perc,Trem2_mean,Trem2_perc,Lyve1_mean,Lyve1_perc,Pard6g_mean,Pard6g_perc,Rbpjl_mean,Rbpjl_perc,Amy2a1_mean,Amy2a1_perc,Gm20629_mean,Gm20629_perc,Lrrc7_mean,Lrrc7_perc,Gm2663_mean,Gm2663_perc,Reg3a_mean,Reg3a_perc,Arhgdig_mean,Arhgdig_perc,Aqp12_mean,Aqp12_perc,Cd79a_mean,Cd79a_perc,Pax5_mean,Pax5_perc,Svep1_mean,Svep1_perc,Dpt_mean,Dpt_perc,Dcdc2a_mean,Dcdc2a_perc,Erbb4_mean,Erbb4_perc,Cxcl14_mean,Cxcl14_perc,Rbp1_mean,Rbp1_perc,Rgs5_mean,Rgs5_perc,Notch3_mean,Notch3_perc,Flt3_mean,Flt3_perc,Plbd1_mean,Plbd1_perc,Fgf1_mean,Fgf1_perc,Wt1_mean,Wt1_perc,Kcnmb2_mean,Kcnmb2_perc,Pcsk2_mean,Pcsk2_perc,Csmd1_mean,Csmd1_perc,Plp1_mean,Plp1_perc
Endothelial (Emcn),0.020818798913334637,41.59695817490494,0.01578581943827689,37.870722433460074,0.006515375257404627,26.539923954372625,0.35945206436448207,95.13307984790875,0.003461755774132956,11.55893536121673,0.0056157017508918165,18.555133079847906,0.000032207425543396946,0.22813688212927757,0.000024076776087284615,0.1520912547528517,0.00018916151812020863,0.6083650190114068,0.00016322098862961464,1.064638783269962,0.00004651135585919922,0.38022813688212925,0.0002048261826972847,0.6844106463878328,0.00017700340276682048,0.988593155893536,0.00008868709085638738,0.6083650190114068,0.00006236379069706312,0.1520912547528517,0.00012579139360382,0.6083650190114068,0.000822814311688931,3.041825095057034,0.0003254718372860698,1.2927756653992395,0.00004697314179059384,0.1520912547528517,0.00038895659331186067,1.4448669201520912,0.00014092992276459524,0.8365019011406843,0.0001447585025607248,0.7604562737642585,0.00048527497378581316,2.0532319391634983,0.00021235881121037134,0.988593155893536,0.000011297531868160666,0.07604562737642585,0.000020949527485303912,0.1520912547528517,0.00007294216988150641,0.38022813688212925,0.00005446517769995088,0.3041825095057034,0.00006625764128910148,0.38022813688212925,0.00010332502208410083,0.532319391634981,0.00008250390909182881,0.45627376425855515,0.0014586949725585564,4.258555133079848,0.0015599040766192422,2.5095057034220534,0.00003453378803623448,0.07604562737642585,0.000015713175086620248,0.1520912547528517,0.00006314912676859866,0.22813688212927757,0.0014141962938398764,5.779467680608365,0.000033845984708615225,0.3041825095057034,0.00002342739331566414,0.1520912547528517,0.00012084160048730097,0.6083650190114068,0.0001450777801934461,0.6844106463878328,0.00007466814557677244,0.45627376425855515
Endothelial (Fam167b),0.0014967048612261908,2.8503562945368173,0.005569945954992244,6.175771971496437,0.004888896971872436,7.1258907363420425,0.17694351373200554,68.40855106888361,0.00526158657205163,7.1258907363420425,0.0023991467211136154,3.5629453681710213,0.0004884137301772712,0.23752969121140144,0.00026175466377763935,0.23752969121140144,0.00030087674371752674,0.4750593824228029,0.0002071707528477051,0.23752969121140144,0,0,0.00043290394524757287,0.4750593824228029,0.0011590963792084967,1.66270783847981,0,0,0,0,0,0,0.0014669873618088176,2.6128266033254155,0.0010315203140525905,1.66270783847981,0.00007041970012221631,0.23752969121140144,0.0007747178140311831,1.187648456057007,0.0010146201784388582,1.4251781472684086,0.0005546059797714058,0.7125890736342043,0.0007399697370222346,1.187648456057007,0.00004216351950891322,0.23752969121140144,0.00019690553536426026,0.23752969121140144,0.0001315820194066613,0.4750593824228029,0.0009683991427533346,1.187648456057007,0,0,0.001079186868732744,1.187648456057007,0.00024012645916429685,0.4750593824228029,0.00019047071394712758,0.23752969121140144,0.003575306916257232,4.038004750593824,0.0010719372515365477,1.4251781472684086,0.00023532480868022028,0.4750593824228029,0,0,0.00015244299512071763,0.23752969121140144,0.00035998660249927976,0.4750593824228029,0,0,0,0,0.00023501628414443964,0.23752969121140144,0.00009856376291063309,0.23752969121140144,0,0
Endothelial (Sema3g),0.0011075095546402107,3.4090909090909087,0,0,0.00012290749570041467,1.1363636363636365,0.2036593628759836,90.9090909090909,0.05500953233834592,90.9090909090909,0.023861412923648934,71.5909090909091,0,0,0,0,0,0,0,0,0,0,0.00010500984380329179,1.1363636363636365,0,0,0.00010245051019436894,1.1363636363636365,0,0,0,0,0.0003813734064902647,3.4090909090909087,0.0008163737508318842,4.545454545454546,0,0,0,0,0.0002243575989376936,2.272727272727273,0,0,0.00011934775513440183,1.1363636363636365,0.00026222834349122964,1.1363636363636365,0,0,0,0,0.00021570614124214086,1.1363636363636365,0,0,0,0,0.0001048518946774909,1.1363636363636365,0.00024665123692028213,2.272727272727273,0.0015081481716432044,4.545454545454546,0.0097446527704188,3.4090909090909087,0.0003149253388594513,2.272727272727273,0,0,0,0,0.00012528207514408003,1.1363636363636365,0,0,0,0,0,0,0.00012487063975772836,1.1363636363636365,0.00014309073139531686,1.1363636363636365
T cell (Cd3d-Cd3e),0.00001363789875332236,0.08726003490401396,0,0,0.000044714053176434094,0.34904013961605584,0.0008151439360595338,1.7452006980802792,0,0,0,0,0.0214850105203049,60.20942408376963,0.019579967100856584,58.90052356020943,0.11317088350323375,82.98429319371728,0.024855087014977743,65.70680628272252,0.00035333674672384063,1.1343804537521813,0.00037152396024048507,1.5706806282722512,0.000539000690544398,2.7923211169284468,0.00023907694520944033,1.4834205933682374,0.0000644333076547437,0.2617801047120419,0.0005680892534064609,2.8795811518324608,0.0006592088874277242,2.7050610820244327,0.00034495715043739763,1.1343804537521813,0.00003331647145174886,0.2617801047120419,0.00028095978254440883,1.3089005235602094,0.00018192214650263766,1.1343804537521813,0.00027368484760639165,1.832460732984293,0.0005089970244643408,1.7452006980802792,0.0002527551003030485,0.6108202443280977,0.00008561547149970663,0.6108202443280977,0.000043020662157493073,0.17452006980802792,0.00013053964544222567,0.6980802792321117,0.00007678896052670647,0.5235602094240838,0.00010320771260995865,0.2617801047120419,0.00007632310493780292,0.34904013961605584,0.00017010414485271093,0.9598603839441536,0.00031916728913029753,1.9197207678883073,0.000599924219509943,1.1343804537521813,0.00007501787957069758,0.17452006980802792,0.00000995112364494939,0.08726003490401396,0.0002096900037432527,0.4363001745200698,0.000009064987740353982,0.08726003490401396,0.0000774931997512299,0.2617801047120419,0.00010445011180024939,0.34904013961605584,0.00013839932551674484,0.5235602094240838,0.0002463417487839145,0.4363001745200698,0.00011514843689696633,0.7853403141361256
T cell (Gm2682),0,0,0,0,0,0,0.002144832194757361,2.631578947368421,0,0,0,0,0.007601391669566596,13.815789473684212,0.010167096005297176,16.447368421052634,0.09250733129979692,64.47368421052632,0.026062368226635716,34.21052631578947,0.00007268412816344182,0.6578947368421052,0,0,0.0018867359965157487,1.9736842105263157,0.00044308723325984714,0.6578947368421052,0,0,0.0011141971241585792,1.3157894736842104,0.0029526530662992998,4.605263157894736,0.0006132891888961457,1.3157894736842104,0,0,0.000980308828567567,1.3157894736842104,0.0025690585225986934,3.9473684210526314,0.00169881019598122,2.631578947368421,0.0015824288747720485,2.631578947368421,0.0007678101434478412,1.3157894736842104,0.0003522140697840094,0.6578947368421052,0.00014536825632688365,0.6578947368421052,0.0002322754656848983,0.6578947368421052,0.0003635843438085683,0.6578947368421052,0,0,0,0,0,0,0.0012399526156380615,1.9736842105263157,0.0011587807727123942,1.3157894736842104,0,0,0,0,0,0,0,0,0,0,0,0,0.00028639523711000177,0.6578947368421052,0.0006283984511114744,1.3157894736842104,0.0004647738444846573,0.6578947368421052
Macrophage (Adgre-Fcrls),0.00006789730159997625,0.36900369003690037,0,0,0.00034857554987991043,3.044280442804428,0.0006837353990180912,2.7675276752767526,0.000029132746578230035,0.09225092250922509,0.00002256843877495986,0.09225092250922509,0.000027892714512803446,0.18450184501845018,0.00004812659379394857,0.36900369003690037,0.00016434504739112516,0.8302583025830259,0.000013114799589388609,0.09225092250922509,0.04169397475111788,85.33210332103322,0.034175124438910257,66.23616236162361,0.060132802596855724,84.2250922509225,0.028265329386646977,67.619926199262,0.0013141952390112344,3.5977859778597785,0.00005445532424781583,0.46125461254612543,0.00026884242713817513,1.6605166051660518,0.00004254973586588386,0.18450184501845018,0.000019800516559517542,0.18450184501845018,0.00009880691899193672,0.8302583025830259,0.0001350471700306408,1.014760147601476,0.0003744278126296596,3.044280442804428,0.00020698247576495432,1.3837638376383763,0.00012490049736993983,0.46125461254612543,0.00001201706463879919,0.09225092250922509,0.000053180115368965455,0.27675276752767525,0.00013830720474231818,0.46125461254612543,0.00015131003483319824,0.9225092250922509,0.0000354267362180692,0.27675276752767525,0.00005938012031805175,0.46125461254612543,0.0031179199812732187,17.15867158671587,0.0007339950553908247,4.612546125461255,0.00017568009737985098,1.014760147601476,0.00005129773563572579,0.27675276752767525,0.000997480913745728,4.981549815498155,0.005282041858708705,19.74169741697417,0.0002295096687743558,1.014760147601476,0.00006381275961969545,0.5535055350553505,0.000049098663490824975,0.46125461254612543,0.000042391802580572064,0.46125461254612543,0.00006909383770058728,0.6457564575645757,0.00012313209473700885,0.5535055350553505
Macrophage(Cd300ld),0,0,0,0,0.00045156706658314036,0.4357298474945534,0.0020224681871961587,3.2679738562091507,0,0,0.00009667048893519072,0.2178649237472767,0.0007644428194059054,1.3071895424836601,0.0003559935212163518,0.4357298474945534,0.0015219491487989492,2.178649237472767,0.0005510953710854833,0.8714596949891068,0.012518693903566098,18.51851851851852,0.010375988561338765,13.28976034858388,0.01939856677207815,23.965141612200437,0.012381186572537293,16.55773420479303,0.0009307942997793117,1.3071895424836601,0.000039854955552555025,0.2178649237472767,0.0015795663918355188,1.9607843137254901,0.0003659367626990593,0.8714596949891068,0,0,0.0008437267195899776,1.7429193899782136,0.0013764310447094803,2.6143790849673203,0.0019786572992423527,4.357298474945534,0.0009408950046556103,1.7429193899782136,0.0004062080401293718,1.0893246187363834,0.0009611345478596707,1.5250544662309369,0.002969520490255072,2.832244008714597,0,0,0.0001146364125400153,0.2178649237472767,0,0,0.00012779015550953778,0.4357298474945534,0.0020289431421414163,3.9215686274509802,0.0020412317173819847,3.2679738562091507,0.0006814591024258352,1.0893246187363834,0,0,0.002225121466059193,4.139433551198257,0.007497395724077664,9.586056644880173,0,0,0,0,0.000015546368858422006,0.2178649237472767,0.000011078774602340521,0.2178649237472767,0.000813758905565495,1.0893246187363834,0,0
Macrophage (Lyve1),0,0,0,0,0.0005563025927440618,1.4925373134328357,0.00817502564576892,10.44776119402985,0,0,0.000851043857993433,1.4925373134328357,0.0003004779490413023,1.4925373134328357,0.0003004779490413023,1.4925373134328357,0.001051672821644558,1.4925373134328357,0.0003600742725858769,2.9850746268656714,0,0,0.0010010585568443586,2.9850746268656714,0,0,0.0006084096303434951,2.9850746268656714,0.11763873195114555,64.17910447761194,0.035851137144704164,58.2089552238806,0,0,0,0,0,0,0.0004054234762618162,1.4925373134328357,0.00016549143254549208,1.4925373134328357,0,0,0,0,0.0010687720045423365,1.4925373134328357,0,0,0,0,0,0,0.0008664807733986766,1.4925373134328357,0,0,0,0,0,0,0.001177059180753849,2.9850746268656714,0,0,0,0,0,0,0,0,0.0004489978016630658,1.4925373134328357,0,0,0,0,0.0012745912072732273,1.4925373134328357,0.00369697218005991,5.970149253731343,0,0
Acinar cells,0,0,0,0,0,0,0.0060528508937250656,4.945054945054945,0,0,0,0,0,0,0.00025881788504850416,0.5494505494505495,0.000023128179758068944,0.27472527472527475,0,0,0.0000680460308898233,0.27472527472527475,0.00039860851278061886,0.8241758241758242,0.0003892643039414139,0.5494505494505495,0.0005159525280877204,1.098901098901099,0.00010198325960895355,0.27472527472527475,0.00038577461594961,1.098901098901099,0.060365094233138974,57.96703296703297,0.0381383371067781,41.75824175824176,0.013673984570354661,19.505494505494507,0.016553861101700592,25.549450549450547,0.00033376655740201776,2.197802197802198,0.0014080565504731649,4.670329670329671,0.005203365998233794,12.087912087912088,0.003920955472036148,11.813186813186812,0.0002787695394020091,0.5494505494505495,0.00013200574660871727,0.27472527472527475,0.00006736602391890568,0.27472527472527475,0.000178418183728284,0.5494505494505495,0.0006871421280990233,1.098901098901099,0.0002160606878253791,0.27472527472527475,0.00013313548637561217,0.27472527472527475,0.00016491092691435033,0.8241758241758242,0.0004583904473002506,0.8241758241758242,0.0002582021553951266,0.5494505494505495,0.0003493592907200637,0.5494505494505495,0,0,0,0,0,0,0.0021328344589963094,4.670329670329671,0.0003064946566111689,0.8241758241758242,0.000770063435564227,1.098901098901099,0.0005549376290580007,1.6483516483516485
Acinar cells (Amy2a1-Gm20629),0.000030207831906448247,0.2136752136752137,0.00009062349571934471,0.2136752136752137,0,0,0.0008370752100419213,2.1367521367521367,0,0,0,0,0.00018983360674185208,0.4273504273504274,0,0,0.0006464463602717062,1.4957264957264957,0.000060613557124037,0.2136752136752137,0.00006617744377980452,0.4273504273504274,0.00008057744628965654,0.641025641025641,0.00016721149560853895,1.282051282051282,0.0004686697717336451,1.4957264957264957,0.000051638929985842413,0.2136752136752137,0.00025939382032276676,0.8547008547008548,0.14746320414087416,87.3931623931624,0.09572268648925814,79.7008547008547,0.04912601570584883,58.119658119658126,0.0636923984969276,70.2991452991453,0.0010394765834780219,3.8461538461538463,0.0008761068262500803,3.8461538461538463,0.0033272717218335197,12.179487179487179,0.0017572006919675059,7.051282051282051,0.00008782366316966834,0.2136752136752137,0,0,0.00013154679687125176,0.641025641025641,0.00008213565063576693,0.4273504273504274,0.0004381891028649948,1.282051282051282,0.0009220561901855459,0.4273504273504274,0.00014393382442454136,0.4273504273504274,0.0002756284220186868,1.282051282051282,0.0016118689364060933,1.7094017094017095,0.00022012271979015197,0.8547008547008548,0,0,0,0,0,0,0.00016582989770128583,0.4273504273504274,0.005344594735894152,13.675213675213676,0.00010074941263424347,0.4273504273504274,0.0002524437492854238,0.4273504273504274,0.0009234609149429035,2.3504273504273505
