gene,score,fold_change
Gm20629,0.661,69.45
Lrrc7,0.630,50.55
Amy2a1,0.618,42.64
Myo16,0.609,39.85
Nphs1,0.571,40.50
Gata4,0.560,29.69
Rbpjl,0.544,36.41
Fat3,0.539,31.60
Bmpr1b,0.531,35.16
Galnt6os,0.509,32.00
Mkx,0.497,38.77
Fgf14,0.496,39.95
Aldh1l2,0.495,22.85
1810053B23Rik,0.494,30.04
Edaradd,0.477,16.92
Myo5c,0.476,20.69
Gm41821,0.469,38.28
Col7a1,0.464,24.59
Homer2,0.452,18.05
Gm20275,0.451,35.55
Rgs11,0.441,21.29
5430419D17Rik,0.441,33.64
Ranbp3l,0.434,27.98
Amy2a5,0.426,14.06
Slc38a3,0.418,24.30
Arfgef3,0.418,20.47
Slc6a9,0.417,21.13
Slc12a8,0.415,18.09
Pik3c2g,0.412,25.88
Kcnd3,0.403,29.86
Tinag,0.395,23.42
Slc7a8,0.393,14.90
Gm11963,0.390,36.50
5330417C22Rik,0.390,20.70
Rnf212,0.386,56.98
Ptger3,0.382,13.38
Fam13a,0.382,17.21
Arsg,0.380,9.86
Tc2n,0.376,17.67
Gm13381,0.375,116.91
Ntn1,0.372,26.69
Pah,0.367,12.33
Erc2,0.366,22.23
Gabra4,0.364,17.79
Arhgef26,0.364,16.20
Rims1,0.364,16.74
Sel1l3,0.363,14.25
Celsr1,0.363,16.19
Rap1gap,0.363,13.56
Lrp4,0.359,18.81
Vipr2,0.354,23.24
Foxp2,0.352,21.58
Thrb,0.352,17.06
Cbs,0.352,11.37
Hnf1aos1,0.351,12.57
5730522E02Rik,0.349,14.86
Celsr2,0.346,16.96
2010300C02Rik,0.344,15.64
Rap1gap2,0.343,16.51
Ccdc141,0.343,16.30
Gls2,0.339,17.85
Tent5c,0.338,10.42
Gm26839,0.338,23.49
Pdia2,0.338,11.05
Ggt1,0.337,9.59
Sugp1,0.336,11.38
Nr5a2,0.336,11.56
Gna14,0.334,11.69
A1cf,0.334,23.91
Plppr1,0.333,15.29
Tle6,0.332,14.18
1700110K17Rik,0.328,14.03
9030622O22Rik,0.323,16.34
D030028A08Rik,0.322,12.47
Nipal2,0.321,15.31
Hnf4a,0.317,14.46
Grhl2,0.316,11.64
Pclo,0.316,17.65
Ptprn2,0.314,31.48
Chrm3,0.314,18.43
Unc79,0.310,34.16
Slc39a5,0.310,15.22
Serpini2,0.307,9.50
Pnmal2,0.306,22.06
Pkd2l2,0.305,21.18
Hsd17b13,0.305,11.65
Ero1lb,0.304,17.62
Cckar,0.304,8.58
Smoc1,0.304,10.53
Pbld1,0.303,11.34
Pde8b,0.303,15.02
Aass,0.300,16.37
Baiap2l1,0.299,14.10
Mknk1,0.299,9.71
Ccbe1,0.298,15.77
Aldh18a1,0.296,9.73
Slc7a5,0.295,10.46
Gm49417,0.295,9.10
Chka,0.293,9.24
Eef1akmt3,0.292,24.37
Cth,0.292,16.53
1810010K12Rik,0.291,22.22
Bcat2,0.290,8.54
Nckap5,0.290,11.17
Tob1,0.290,11.02
Igsf5,0.285,10.83
Eif2ak3,0.281,9.03
Parm1,0.281,12.33
Ifrd1,0.280,14.42
Slc7a11,0.279,9.35
Bhlha15,0.279,8.37
Eda,0.278,19.73
Wnk2,0.278,13.39
Cpa2,0.277,11.04
Derl3,0.276,11.35
Rnf43,0.276,7.89
Slc39a11,0.275,9.52
Ppara,0.275,32.16
Slc1a3,0.271,12.56
Tbccd1,0.270,6.56
Tenm2,0.270,27.26
Taco1,0.270,10.03
Gm12082,0.269,58.53
Ica1,0.268,9.26
Rab27b,0.268,8.03
Syn2,0.266,17.43
Bckdhb,0.266,7.08
Asns,0.264,6.97
Insig1,0.263,7.67
Ankrd24,0.263,13.51
Arfgap3,0.263,9.43
Hook1,0.262,8.70
Mecom,0.262,10.55
Kcnq5,0.261,4.84
Slc24a3,0.259,8.85
Nexmif,0.259,10.64
Klf15,0.257,10.55
Rhobtb1,0.256,10.93
Ell2,0.256,7.21
Herpud1,0.254,9.15
Txndc11,0.254,7.42
Whrn,0.254,9.69
Arhgef38,0.253,8.22
Ccser1,0.252,12.97
Slc41a1,0.252,7.38
Sel1l,0.252,18.29
Qsox2,0.251,9.86
Appl2,0.251,8.48
Qtrt1,0.250,9.43
Zbtb18,0.250,5.65
Kcnq1,0.250,5.09
Tbc1d30,0.250,6.08
Shank1,0.249,13.31
Gm41804,0.249,13.26
P2rx1,0.249,7.73
Acacb,0.249,8.13
Sybu,0.248,6.59
Cachd1,0.248,8.13
Esrp1,0.247,9.22
Dixdc1,0.247,10.87
Entpd7,0.247,5.86
Tmed11,0.246,12.86
Sgsm3,0.246,8.62
Shroom3,0.246,7.24
Map3k13,0.245,7.58
Slc1a4,0.245,17.51
Mbnl3,0.245,5.10
Larp1b,0.244,8.42
Myrip,0.242,11.00
Pycr1,0.240,8.43
Gm45083,0.239,48.93
Echdc2,0.239,8.30
Slc7a1,0.238,6.71
Serpini1,0.238,6.53
Unc13b,0.238,13.41
Pde4a,0.238,7.46
Tead2,0.237,6.25
Ttn,0.237,13.89
Mccc2,0.237,8.78
Ghr,0.235,14.56
Rasef,0.235,8.32
Ddx55,0.234,5.65
Tmem116,0.234,10.81
Rcan2,0.233,9.49
Adk,0.232,12.91
Tmem191c,0.231,9.61
Cpn1,0.231,7.75
Rev1,0.231,6.30
Pxylp1,0.230,8.28
Plk2,0.230,5.76
Mat1a,0.229,8.79
Mettl1,0.228,6.59
Gnmt,0.228,7.79
Hid1,0.227,8.99
Pbld2,0.227,20.66
Prdm16,0.226,10.57
Gm43525,0.226,41.69
Nfasc,0.225,16.57
Cars,0.225,5.69
Map7,0.225,10.23
