gene,score,fold_change
Rbpjl,0.285,6.57
Amy2a1,0.268,6.78
Galnt6os,0.266,7.79
Ggt1,0.251,6.31
Col7a1,0.240,7.72
Hnf1aos1,0.219,6.90
Myo16,0.218,5.17
Myo5c,0.215,5.81
Slc38a3,0.214,8.09
Fat3,0.209,4.80
Serpini2,0.202,5.21
Pdia2,0.200,4.54
Gm20629,0.199,5.09
Gm20275,0.193,3.55
Lrrc7,0.192,4.28
Chka,0.192,5.86
1810028F09Rik,0.189,4.14
Pycr1,0.189,7.16
D130043K22Rik,0.186,4.11
Cabp2,0.183,4.93
Pah,0.182,4.63
Slc39a5,0.182,6.24
Ctrc,0.181,4.45
Ranbp3l,0.181,5.49
Amy2a5,0.181,4.50
Taco1,0.181,6.59
Cpa2,0.178,4.44
P2rx1,0.177,5.36
Gp2,0.176,3.85
Tle6,0.176,5.50
Aldh1l2,0.174,4.59
Edaradd,0.173,4.20
1810053B23Rik,0.172,4.50
Slc7a11,0.172,4.71
Bhlha15,0.171,4.59
A1cf,0.171,8.83
Gcat,0.167,3.28
Mkx,0.167,5.45
Tff2,0.166,3.12
Cbs,0.166,4.61
Slc17a9,0.164,4.55
Slc6a9,0.163,5.73
Fam13a,0.162,4.82
Pla2g1b,0.161,3.11
Ifrd1,0.161,4.16
Fgf14,0.161,3.94
Tmem97,0.158,3.71
Herpud1,0.154,4.49
Sel1l,0.154,4.43
Bcat2,0.154,4.50
Homer2,0.153,4.04
Tent5c,0.152,3.94
Slc1a3,0.152,5.72
Echdc2,0.152,5.41
Arhgef26,0.150,4.46
Slc7a8,0.150,3.37
Arfgef3,0.148,4.35
Cel,0.148,3.26
Cela2a,0.146,3.40
Nphs1,0.146,4.22
Gls2,0.146,6.05
5330417C22Rik,0.145,4.24
Gm41821,0.145,3.63
Cckar,0.144,3.12
Thrb,0.142,4.23
Cpn1,0.142,4.82
Rap1gap,0.142,3.77
Aqp12,0.141,3.46
Pnliprp2,0.141,3.25
Gnmt,0.140,4.17
Derl3,0.140,4.24
1810044K17Rik,0.140,12.20
Tepsin,0.140,6.98
Ptger3,0.140,3.40
5430419D17Rik,0.140,4.80
Tob1,0.139,4.15
Gm26839,0.138,5.41
Pnlip,0.137,3.40
Gata4,0.137,3.37
Pabpc4,0.137,3.56
Ocln,0.137,5.82
Ctrl,0.136,3.41
Tmed11,0.136,6.99
Nupr1,0.135,3.00
Zg16,0.135,3.32
Tead2,0.135,3.54
