gene,score,fold_change
Gcat,0.259,9.35
Gpc5,0.257,11.40
Arhgdig,0.243,9.29
Aqp12,0.239,11.18
Tff2,0.232,12.24
Pla2g1b,0.222,9.89
Gp2,0.221,8.88
Cabp2,0.205,7.92
Tmem97,0.204,6.71
Stard10,0.202,6.95
1810028F09Rik,0.201,6.53
Cldn4,0.199,8.50
Tmed6,0.199,7.84
Pnliprp2,0.190,7.87
Klk1,0.189,7.71
Hamp2,0.188,10.23
Cuzd1,0.185,6.85
D130043K22Rik,0.184,7.25
Pde6a,0.182,7.28
Spink1,0.177,7.27
Gm50306,0.177,6.05
Pcbd1,0.174,6.79
Ctrc,0.172,7.06
8430422H06Rik,0.169,5.60
Asxl3,0.168,9.40
Smim22,0.168,7.98
Chchd10,0.168,4.23
Erp27,0.163,5.59
Cckar,0.162,4.43
Rab25,0.162,7.09
Ctcflos,0.159,7.16
Cela2a,0.159,7.87
Fkbp11,0.158,4.85
Muc1,0.157,5.87
Tspan1,0.155,9.53
Cldn7,0.154,5.12
Bhlha15,0.154,4.86
Xlr5a,0.153,5.67
Klhl14,0.153,3.50
Pdia2,0.153,3.95
Fuom,0.151,5.57
Krt18,0.150,4.85
Galnt13,0.150,7.78
1700054A03Rik,0.149,5.35
Cdkn1a,0.148,3.61
Gamt,0.148,5.50
Epha6,0.148,8.45
Phgdh,0.146,4.06
Urah,0.146,11.41
Krt8,0.146,4.95
Mc1r,0.146,4.75
Amy2a5,0.146,3.63
4930558K02Rik,0.145,6.20
Reg3g,0.145,6.64
Il27,0.145,5.40
Ptf1a,0.144,5.55
Gm47371,0.143,5.58
Ggt1,0.143,3.71
Pde1c,0.143,7.18
Nupr1,0.143,5.04
1700126G02Rik,0.142,5.61
Try10,0.142,3.91
Sfn,0.141,4.55
Sycn,0.141,10.66
Grik1,0.140,5.25
Perp,0.140,6.96
Cpa2,0.140,3.87
Ctrl,0.140,9.13
Pmm1,0.139,6.65
Slc25a39,0.139,4.64
Asns,0.139,3.79
Gnaz,0.139,7.25
Ang,0.138,4.99
Cldn3,0.138,4.01
Gm10062,0.137,5.08
A330008L17Rik,0.136,16.23
Ggh,0.136,4.24
Vtn,0.135,5.25
Cel,0.134,8.58
Cd24a,0.134,3.29
Epcam,0.133,4.24
Zg16,0.132,9.02
Slc38a5,0.132,8.76
5830416I19Rik,0.131,4.89
Lcmt1,0.130,4.58
Serp1,0.129,3.73
2200002D01Rik,0.129,4.46
Igf2bp3,0.129,4.80
Prss8,0.128,4.84
Serpini2,0.127,3.15
Serpinb1a,0.127,3.49
Eif4ebp1,0.127,3.99
Fam169a,0.126,7.68
Crb3,0.126,4.47
Cela3b,0.126,8.32
Gnmt,0.125,4.48
Anxa10,0.125,9.06
Mcrip2,0.124,6.99
Mt1,0.124,3.79
Tmem238,0.123,4.10
Try5,0.123,8.24
P2rx1,0.121,3.77
Acoxl,0.120,5.59
Serpina10,0.120,7.29
Tmem147,0.119,3.02
Gm38973,0.119,9.78
Cdh23,0.119,4.10
Try4,0.118,7.56
Krt19,0.117,4.76
Gkn3,0.116,5.30
Ntm,0.116,4.20
Prss2,0.115,9.56
Cpa1,0.115,11.75
Pnlip,0.115,10.67
Spint2,0.114,3.62
Lrp1b,0.114,5.45
Mt2,0.114,3.19
Cdc34,0.113,2.96
Pnliprp1,0.113,5.75
1110038B12Rik,0.113,3.22
Wdr72,0.112,3.35
Rnase1,0.112,13.40
Fyb2,0.112,5.11
Rab3d,0.112,3.86
Cpn1,0.112,3.67
Klkb1,0.112,5.09
Ptger3,0.112,2.71
Serpinb6b,0.110,4.51
Rps27l,0.110,3.68
Dmbt1,0.110,2.94
Gm765,0.110,5.26
Prr15l,0.110,3.27
Foxa2,0.109,4.08
2210010C04Rik,0.109,11.65
Cela1,0.108,8.13
Dap,0.108,3.07
Atf5,0.108,3.62
Gjb2,0.108,7.13
Ninj2,0.107,6.98
Pycr1,0.107,3.29
Sephs2,0.107,2.75
Gfer,0.106,2.93
Csmd3,0.106,4.90
Smim38,0.106,7.89
Mapk13,0.105,4.31
Krtcap3,0.105,3.01
4930467D21Rik,0.105,16.60
Tcea3,0.105,3.46
Fetub,0.105,6.03
St14,0.104,3.03
Plpp2,0.104,4.56
Clps,0.103,12.49
Foxa3,0.103,4.55
Reg3a,0.102,3.91
Mat1a,0.101,3.19
Zmat4,0.101,4.45
Tnfrsf12a,0.101,4.07
Grhpr,0.100,2.79
Tead2,0.100,2.79
Mthfd2,0.099,2.49
Mettl26,0.099,2.57
Nucb2,0.098,2.78
Tceal9,0.098,2.83
