gene,score,fold_change
Cd79a,0.921,500.34
Pax5,0.897,286.85
Ighd,0.895,278.39
Iglc2,0.891,300.54
Cd79b,0.880,163.73
Fcer2a,0.862,381.40
Fcmr,0.855,298.25
Cr2,0.852,226.29
Bank1,0.851,148.23
Gm31243,0.849,326.84
Igkc,0.848,35.76
Iglc3,0.824,206.45
Ms4a1,0.810,89.80
Cd22,0.807,74.01
Tnfrsf13c,0.806,314.68
Blk,0.796,67.57
Gm30211,0.790,145.68
Fcrl1,0.779,86.98
Ly6d,0.766,107.92
B3gnt5,0.765,92.70
Pou2af1,0.744,87.47
Chst3,0.738,152.97
Hvcn1,0.735,51.96
Cd19,0.734,111.67
Mzb1,0.731,115.33
Vpreb3,0.691,195.89
Ikzf3,0.657,24.59
H2-DMb2,0.631,41.62
Stap1,0.620,26.08
Siglecg,0.618,52.74
H2-Ob,0.598,44.59
Ccr6,0.589,42.93
Cxcr5,0.576,35.58
Btla,0.574,32.71
Gm16341,0.568,91.62
Ighm,0.563,44.35
BE692007,0.562,16.50
Cacna1i,0.548,168.15
Spib,0.543,42.86
Gm43388,0.534,213.94
Gpr174,0.530,14.32
Cd37,0.527,16.48
Iglc1,0.518,244.49
Susd1,0.507,17.53
Cnr2,0.498,14.51
2010309G21Rik,0.484,172.71
Ralgps2,0.477,25.51
Fcrla,0.475,17.98
Gm8369,0.471,11.75
Lax1,0.470,11.61
Blnk,0.468,12.42
H2-Eb2,0.468,315.45
E330020D12Rik,0.462,14.38
Cd40,0.453,15.98
P2ry10,0.452,12.79
Bcl11a,0.441,27.39
Cd83,0.439,10.17
Tmem163,0.436,43.66
Gm11342,0.432,50.46
Btk,0.432,10.48
Gimap7,0.432,9.74
Aff3,0.430,12.76
Irf4,0.429,18.12
Ptprcap,0.425,8.50
Haao,0.422,25.99
Cd72,0.420,14.30
Tnfrsf13b,0.411,12.44
1700027J07Rik,0.408,93.27
Snn,0.408,11.50
Wdfy4,0.407,11.22
Cd180,0.407,12.56
Pxdc1,0.404,21.83
Ms4a4c,0.398,11.81
Cd55,0.393,18.66
Gm15987,0.392,15.35
Rhoh,0.389,7.92
Treml2,0.387,7.38
Sbk1,0.385,11.66
Stk17b,0.380,10.10
Sorl1,0.380,11.33
Napsa,0.375,15.56
Tspan32,0.373,6.60
Plaur,0.370,10.65
Syk,0.370,8.93
Slamf1,0.368,13.16
A330040F15Rik,0.366,10.85
H2-Eb1,0.365,9.78
Icosl,0.362,12.82
Trim7,0.359,16.45
A630001G21Rik,0.357,7.09
Zc3h12d,0.357,6.81
H2-Oa,0.355,17.36
Lamb3,0.354,7.55
March1,0.353,9.61
Gm30054,0.353,7.81
Pou2f2,0.351,7.75
Zfp831,0.347,6.49
Map4k1,0.346,9.07
Gpr18,0.340,6.54
Ifi209,0.334,6.34
Gpr183,0.331,7.62
Ptpn6,0.331,7.70
Scd1,0.329,15.29
Srpk3,0.329,112.01
Gm15675,0.328,15.80
Ltb,0.326,6.57
Ciita,0.319,10.86
Dusp2,0.318,8.44
Cd74,0.318,9.49
Bend5,0.316,14.70
BC035044,0.315,13.48
Slc9a7,0.314,11.38
Prkcb,0.314,9.05
Gga2,0.313,8.70
Pml,0.312,10.51
Cacna1e,0.311,23.26
H2-Aa,0.311,8.21
Nrm,0.309,9.50
Rhof,0.308,6.82
Ripor2,0.308,6.15
Traf3ip3,0.308,5.20
Card11,0.307,7.49
Grap,0.307,6.06
Ifi214,0.307,5.93
Pgap1,0.307,8.93
Cyp4f18,0.307,5.03
Rel,0.305,7.92
Malt1,0.304,7.95
Acap1,0.304,5.95
Gm12064,0.303,34.72
H2-Ab1,0.301,7.46
Lat2,0.299,5.62
Arhgap4,0.299,4.78
Gimap1,0.297,5.03
Rubcnl,0.297,8.34
Slamf6,0.297,5.14
Kynu,0.296,11.07
Tbc1d10c,0.295,4.76
Bfsp2,0.294,74.05
Clec2i,0.294,6.16
Tespa1,0.293,4.88
Fam169b,0.292,5.02
Zfp318,0.292,8.41
Tmem243,0.291,6.20
Jhy,0.289,57.70
Sash3,0.289,4.38
Ppp3cc,0.288,6.93
Gm20513,0.285,35.78
Plcg2,0.284,7.79
Clec2g,0.284,15.70
Txndc16,0.283,8.44
