gene,score,fold_change
Chrm2,0.690,162.84
Car4,0.655,47.44
Exoc3l2,0.652,57.00
Gm12002,0.635,82.94
Aplnr,0.621,33.24
Ccdc85a,0.605,72.00
Adgrl4,0.598,55.11
Emcn,0.582,52.38
Thrsp,0.580,36.80
Rgcc,0.572,34.69
Gpihbp1,0.570,47.53
Ramp3,0.555,40.63
Colgalt2,0.537,34.29
Cd300lg,0.531,37.46
Aqp1,0.518,40.65
Bdkrb2,0.491,43.76
Btnl9,0.488,35.28
Plvap,0.486,34.53
Fam167b,0.483,17.42
Plpp1,0.481,39.76
Hecw2,0.478,30.27
Clec14a,0.477,40.30
Tnfsf10,0.474,28.52
Mcf2l,0.472,28.16
Rsad2,0.471,26.85
Kctd12b,0.469,26.92
Flt1,0.461,33.49
Col13a1,0.460,29.86
Gm32688,0.451,49.63
Scarb1,0.449,21.43
Dysf,0.445,38.26
Rapgef3,0.442,25.96
Cyyr1,0.441,34.34
Pcdh12,0.440,32.98
Robo4,0.436,32.04
Ushbp1,0.436,37.62
Grrp1,0.425,23.72
Pcdh17,0.423,27.17
Kdr,0.420,29.03
Rhbdl2,0.414,39.06
Ephb1,0.413,41.37
Plscr2,0.409,27.22
Inhbb,0.408,28.35
Tmem204,0.407,22.39
Arhgef15,0.406,28.70
Ctla2a,0.404,15.14
Jam3,0.403,36.78
Ces2e,0.403,32.57
Hlx,0.398,15.40
Nostrin,0.398,18.71
Tmem88,0.397,29.27
Clic5,0.395,24.96
Ripply3,0.394,28.27
Fabp4,0.393,27.15
Meox1,0.393,21.90
2610203C22Rik,0.387,10.95
Shank3,0.386,34.49
Ly6c1,0.382,24.03
Myct1,0.382,31.96
Tcf15,0.378,24.81
Dok4,0.377,17.53
Prdm1,0.377,9.64
Kank3,0.374,27.17
Zfp366,0.371,24.49
Tmem252,0.371,27.74
Tnfrsf10b,0.370,15.86
Egfl7,0.365,25.22
Unc45b,0.362,15.38
Nova2,0.361,33.85
Esm1,0.361,23.26
Adgrl2,0.360,19.00
Arap3,0.359,18.79
Adgrf5,0.357,23.72
Chst15,0.357,11.44
Tek,0.356,22.32
Hmcn1,0.356,21.79
Jam2,0.354,25.95
9530082P21Rik,0.350,24.89
Lama3,0.348,30.31
Proser2,0.348,9.88
Tie1,0.346,26.07
Cdh5,0.344,27.80
Esam,0.343,20.68
Dipk2b,0.342,38.48
Igfbp3,0.341,23.89
Rasip1,0.341,20.71
Rbp7,0.339,24.67
Eng,0.338,20.23
Slc43a3,0.337,20.46
Ets2,0.337,10.70
Tspan12,0.336,18.73
Cd34,0.335,15.40
Pde2a,0.335,7.49
Ebf3,0.334,14.38
Plpp3,0.333,18.34
Abcg2,0.333,16.73
Fam43a,0.332,8.96
Col4a2,0.331,16.28
BC028528,0.329,8.37
Thbd,0.329,21.35
Lhx6,0.328,30.59
Tspan9,0.328,20.65
Iigp1,0.320,15.03
Podxl,0.320,24.41
Rai14,0.317,11.05
Ptprb,0.316,22.84
Rasgrp3,0.313,8.93
Sox18,0.312,18.43
Erg,0.311,17.05
Ntf3,0.311,12.59
B4galt4,0.310,11.87
Col15a1,0.309,9.97
Clec1a,0.309,22.22
Trib2,0.308,6.47
Ephb4,0.307,18.38
Ldb2,0.307,28.57
Foxf1,0.306,24.55
Fzd4,0.306,16.14
Id1,0.306,19.86
Dcbld1,0.305,9.94
Lmcd1,0.303,16.38
Bvht,0.302,14.56
Fgd5,0.302,19.76
6430548M08Rik,0.301,8.61
Fat4,0.301,19.56
C130074G19Rik,0.300,9.41
Vamp5,0.299,10.62
Rasal2,0.297,15.16
Mgll,0.297,17.23
Mmrn2,0.296,20.84
Arhgap27,0.296,6.92
Cd93,0.295,9.66
Lipe,0.295,7.79
Ramp2,0.294,22.76
Pecam1,0.293,12.75
Csgalnact1,0.293,17.82
Zfp423,0.292,17.07
Tead4,0.291,26.84
Adgrg1,0.291,10.11
Cmtm8,0.289,9.58
Col4a1,0.289,14.33
Lepr,0.288,12.30
Fmo1,0.287,11.73
Stc1,0.286,26.53
Calcrl,0.284,11.03
Rgl1,0.283,8.60
Cdh13,0.283,23.60
Tcim,0.282,7.80
Snai2,0.281,15.49
Lims2,0.281,20.52
Notch4,0.280,18.06
Pdgfb,0.279,12.06
Ifi44,0.279,17.20
Mapk12,0.279,12.58
Upp1,0.278,15.20
Dchs1,0.276,14.20
Id3,0.275,12.53
Caskin2,0.273,15.44
Thsd1,0.273,19.76
Plcb1,0.272,16.59
Rtl8a,0.272,9.99
Cd36,0.271,14.31
Ly6a,0.271,10.72
Piezo2,0.271,18.79
Ptprm,0.271,18.29
Gja1,0.269,12.88
Arhgap31,0.268,13.91
Gpr4,0.268,15.94
Fendrr,0.268,15.98
Snrk,0.267,11.25
Adcy4,0.267,19.57
Acer2,0.267,15.25
Icam2,0.266,9.18
Tinagl1,0.266,12.23
Ptprg,0.266,16.15
Hspa12b,0.266,15.85
Slco2a1,0.265,13.86
Galnt15,0.265,12.75
C1qtnf9,0.264,21.09
Samd12,0.263,18.20
Grasp,0.262,10.03
Acvrl1,0.261,12.79
Cdc42ep2,0.261,12.33
Fam57b,0.260,14.91
Myo6,0.259,11.03
Irx3,0.259,27.34
AW112010,0.258,5.01
Sema6b,0.258,13.35
Thbs1,0.258,5.60
Ptgs1,0.258,7.20
Chst2,0.257,6.01
Chst7,0.257,13.59
Slco2b1,0.254,6.13
Rnf220,0.254,10.65
Ccm2l,0.254,21.85
Dnm3,0.253,21.47
Pik3r3,0.252,15.13
Nxpe2,0.252,22.90
Sox7,0.252,17.41
Lpar6,0.251,5.03
