gene,score,fold_change
C130074G19Rik,0.261,7.98
Fam167b,0.243,4.62
Fabp4,0.236,3.15
Aplnr,0.219,2.70
Unc45b,0.206,4.78
Car4,0.195,2.38
Ctla2a,0.194,3.18
Kdr,0.194,3.04
Btnl9,0.193,2.58
Rgcc,0.192,2.18
Rflnb,0.190,7.25
Esm1,0.184,4.33
Plvap,0.183,2.43
Gpihbp1,0.180,2.06
Erg,0.178,4.23
Igfbp3,0.177,2.59
Cd300lg,0.170,2.15
Aqp1,0.168,2.10
Adgrf5,0.166,2.96
Thrsp,0.164,2.67
Sox18,0.162,3.86
Ly6c1,0.161,2.56
Arhgef15,0.156,2.90
Flt1,0.155,2.25
Grrp1,0.154,3.37
Egfl7,0.153,2.57
Cyyr1,0.152,2.16
Clic5,0.150,2.95
Zfp979,0.149,5.26
Rsad2,0.147,2.34
Bvht,0.147,4.69
Exoc3l2,0.141,1.59
Cd34,0.141,2.53
Rbp7,0.140,2.66
Mgll,0.138,2.73
Prdm1,0.138,2.68
Rasip1,0.137,2.91
Tmem252,0.137,3.44
Ptprb,0.136,2.63
Emcn,0.136,1.45
Meox1,0.134,3.13
Ripply3,0.134,2.81
Adgrl4,0.134,1.42
Eng,0.133,2.34
Pcdh17,0.132,2.25
Ces2e,0.128,3.76
Col4a1,0.128,2.15
Tcf15,0.127,2.83
Iigp1,0.126,2.51
Slco2a1,0.126,2.64
Epas1,0.125,2.95
Robo4,0.125,2.55
Clec14a,0.125,1.69
Chst15,0.124,2.46
Col15a1,0.124,2.10
Mmrn2,0.123,2.94
Col4a2,0.122,1.86
Cxcl12,0.122,2.81
Tie1,0.122,2.48
Cdh5,0.120,2.16
Jcad,0.119,4.94
Plscr2,0.119,1.94
Pcdh12,0.118,2.23
Plpp3,0.117,1.61
Chst2,0.117,2.50
Pecam1,0.117,1.69
Slc9a3r2,0.117,3.11
Slfn5,0.117,2.86
Fam43a,0.116,3.09
Ly6a,0.115,2.13
Id1,0.114,2.24
Igfbp7,0.113,2.00
Sparcl1,0.113,2.21
Col13a1,0.113,1.66
Notch4,0.112,3.18
Kif26a,0.112,5.03
Inhbb,0.111,2.13
Dysf,0.110,1.61
Ifit3,0.110,5.48
Kctd10,0.110,4.98
Gpc5,0.110,2.03
Podxl,0.110,2.04
Lhx6,0.109,3.72
Rab13,0.108,3.91
Hoxd8,0.108,4.85
Ehd4,0.108,1.92
Kctd12b,0.108,1.88
Cd36,0.106,2.11
Thbs1,0.106,1.82
Ccdc85b,0.104,3.23
1700054A03Rik,0.104,2.59
Tnfaip1,0.104,3.58
Jam2,0.104,2.03
Esam,0.104,2.06
Fgd5,0.104,2.30
Cavin2,0.103,2.30
Clec1a,0.103,2.50
Pde2a,0.103,1.61
Timeless,0.101,2.95
AW112010,0.101,1.60
Crip2,0.101,3.10
Id3,0.100,2.02
Ifi44,0.100,3.28
Mcf2l,0.100,1.31
Tek,0.099,1.70
Shank3,0.098,1.67
Tmem88,0.098,2.44
Lrg1,0.097,4.09
Uaca,0.097,3.33
Gng11,0.097,2.74
Ebf3,0.097,1.92
Dok4,0.097,2.08
1700126G02Rik,0.097,2.86
C1qtnf9,0.097,2.96
Tnfsf10,0.097,1.29
Ccdc85a,0.097,0.97
Fabp5,0.096,2.03
Cd93,0.095,1.67
AU021092,0.095,4.38
Hecw2,0.095,1.24
Gbp9,0.095,2.62
Lepr,0.094,2.24
Myo10,0.093,2.12
Hspb1,0.093,2.66
Myct1,0.093,1.93
Gm32688,0.093,1.64
Tcim,0.093,1.96
Rtl8a,0.092,2.67
Pdgfb,0.092,2.00
8430422H06Rik,0.092,2.05
Mc1r,0.091,2.16
She,0.090,3.13
Ets2,0.090,1.79
Stard4,0.090,3.03
Gbp4,0.089,2.19
Ssu2,0.089,3.21
Magix,0.088,4.18
Sptbn1,0.088,2.87
Adam15,0.088,2.20
Scarb1,0.088,1.16
Tgtp2,0.087,2.77
Gpr4,0.087,3.07
Serpine1,0.087,3.93
Sparc,0.087,2.22
Tinagl1,0.086,2.28
Fzd4,0.086,1.92
Vwf,0.086,5.01
Mall,0.085,3.92
Plpp1,0.085,0.97
Dnaja4,0.085,2.90
Xlr5a,0.084,1.66
Gbp3,0.084,2.61
Cyp26b1,0.084,2.54
Fscn1,0.084,2.23
Hoxb7,0.084,3.32
Ramp3,0.084,1.22
6430548M08Rik,0.084,2.01
Ackr1,0.083,10.98
Rapgef3,0.083,1.62
Kitl,0.083,1.74
Arhgap29,0.083,1.94
Upp1,0.083,2.48
Fut4,0.083,2.97
Lpar4,0.082,3.34
Jup,0.082,2.84
Hoxd3os1,0.082,4.71
Tbx3,0.082,3.35
Lipe,0.082,1.84
Neurl1b,0.082,2.37
Jag2,0.081,3.83
Ece1,0.081,2.23
Ccnd1,0.081,2.71
Gimap4,0.081,1.27
Pkp4,0.081,2.01
Itga1,0.080,1.69
Sncg,0.080,2.68
Grik1,0.079,1.76
Hlx,0.079,1.45
Klhl14,0.079,1.40
Snrk,0.079,1.58
Tns2,0.079,2.43
Ushbp1,0.079,1.31
Cdc42ep2,0.079,2.43
Hoxb8,0.079,4.90
Vamp5,0.079,1.73
Sema3g,0.079,4.95
Tmem255b,0.078,2.63
Tmem204,0.078,1.43
Nrarp,0.078,2.65
