gene,score,fold_change
Sema3g,0.768,73.94
Sox17,0.671,26.04
Jag2,0.654,23.12
Ace,0.642,26.65
Fbln5,0.642,85.30
Edn1,0.636,64.57
Gja4,0.636,54.38
Nebl,0.636,65.46
Vegfc,0.635,39.56
Stmn2,0.616,55.09
Syt15,0.595,21.06
Lrrc3b,0.590,20.94
Alpl,0.584,25.03
Tmem44,0.566,17.02
Alox12,0.555,21.28
Vwf,0.537,22.35
Dll4,0.537,15.14
Nos3,0.536,17.43
Crispld1,0.530,15.27
Lama3,0.527,10.25
Pcsk5,0.524,34.43
Samd12,0.522,12.82
Efnb2,0.519,17.91
Notch4,0.515,10.65
Hey1,0.514,22.46
Bmx,0.511,96.36
Ptprb,0.484,10.06
Smad6,0.481,14.61
Sox13,0.480,12.63
St8sia6,0.476,17.09
Kif26a,0.467,12.44
She,0.462,12.65
Ssu2,0.462,14.53
Tmem255b,0.461,11.26
Adcy4,0.460,10.63
Pik3r3,0.458,10.26
Cdh13,0.458,10.49
Tm4sf1,0.457,16.27
Gja5,0.456,454.56
Gata2,0.455,12.73
Efna1,0.450,13.33
Rbp7,0.447,7.78
Id1,0.438,8.03
Eogt,0.435,12.47
Dkk2,0.430,36.28
Podxl,0.427,7.86
Dipk2b,0.424,8.76
Rasgrf2,0.422,11.11
Mmrn2,0.418,8.55
Fbln2,0.417,14.07
AU021092,0.414,13.30
Tmem100,0.414,53.78
Ptprr,0.413,33.10
Jam2,0.411,6.66
Acer2,0.408,8.61
Depp1,0.407,19.83
St6galnac2,0.403,11.80
Epha4,0.402,10.06
Myrip,0.397,14.88
Cd36,0.396,9.17
Dnm3,0.394,9.06
Rflnb,0.394,8.18
Adarb1,0.391,8.36
Jcad,0.391,9.66
Ly6c1,0.391,6.37
Slc26a10,0.391,11.33
Nuak1,0.390,12.24
Fam13c,0.389,8.56
Icam2,0.385,6.19
Epas1,0.383,10.56
Rnf152,0.381,10.47
Trpv4,0.380,14.97
Ccm2l,0.378,9.31
Slc9a3r2,0.376,8.29
Cdh5,0.376,6.58
Sox7,0.376,7.99
Hspa12b,0.374,8.18
Tspan7,0.373,16.17
Bmp6,0.373,9.69
Sncaip,0.372,12.92
Sncg,0.371,9.75
Adgrf5,0.369,6.36
Tox2,0.369,38.83
Abcb1a,0.366,6.96
Cd93,0.366,5.14
Acvrl1,0.365,7.31
Parvb,0.362,7.00
Nrarp,0.361,8.46
Col8a1,0.361,15.96
Stc1,0.360,7.16
Cyyr1,0.358,4.86
Ldb2,0.355,7.55
Kitl,0.354,10.12
Eps8l2,0.351,12.00
Sema7a,0.349,7.06
Tek,0.348,5.79
Flt1,0.348,4.77
Sox18,0.346,7.14
Tal1,0.345,9.01
Lmo7,0.345,10.80
Ceacam1,0.345,5.72
Clec14a,0.344,4.72
Esam,0.344,5.99
Ly6a,0.342,5.77
S1pr1,0.341,6.60
Ushbp1,0.340,5.30
Klf4,0.340,9.39
Fgd5,0.339,6.72
Trim47,0.339,8.02
Tmem88,0.335,5.19
Rassf9,0.335,8.00
Ramp2,0.335,6.58
Lims2,0.334,6.34
Ccnyl1,0.334,6.53
Mannr,0.333,162.64
Kank4,0.330,38.81
Prex2,0.329,9.36
C430049B03Rik,0.328,7.66
Fzd6,0.327,11.41
Gm16070,0.327,18.79
Entpd1,0.326,7.55
Lamb2,0.325,10.10
Ltbp4,0.325,13.16
Car7,0.325,47.69
Arhgef28,0.325,10.19
Npnt,0.323,22.32
Palmd,0.323,6.02
Filip1,0.322,7.92
Pkn3,0.319,8.83
Pik3c2b,0.319,5.04
Fat4,0.315,5.78
Tead4,0.314,7.12
Mecom,0.310,10.96
Ankrd33b,0.309,6.52
Rgs3,0.308,7.46
Epb41l4a,0.308,10.99
Gbp4,0.307,4.76
Pdgfb,0.305,5.30
Mall,0.304,10.03
Tpgs2,0.303,7.40
Rnf125,0.302,5.08
Bdkrb2,0.302,3.91
Smad7,0.302,5.62
Myct1,0.300,4.74
Pdgfd,0.299,6.17
Egfl7,0.299,4.91
Synpo,0.298,9.21
Unc5b,0.296,9.18
Eva1a,0.296,15.08
Ptprg,0.295,6.08
Card10,0.295,7.23
Arhgef15,0.294,4.49
Ptprm,0.292,6.40
Eln,0.292,14.46
Heg1,0.292,10.38
Atp2b4,0.291,7.81
Magix,0.291,7.65
Nkx2-3,0.290,6.51
Fbxl7,0.289,8.02
Uaca,0.289,7.29
Rasip1,0.288,4.75
Cyb561,0.287,6.30
Eng,0.287,4.58
Arap3,0.286,4.16
Pcdh1,0.286,5.95
Slc12a7,0.285,5.41
Fgfr3,0.285,8.82
Id3,0.285,4.67
Fabp4,0.284,3.38
Ehd2,0.283,7.10
Tie1,0.283,4.85
Klf2,0.283,5.82
Zfp366,0.282,4.48
Col13a1,0.282,3.31
Cx3cl1,0.281,12.94
St6galnac3,0.281,5.31
Gpr4,0.280,5.41
Cxcl12,0.279,4.80
Nod2,0.279,7.79
Dchs1,0.279,5.53
Plvap,0.279,3.43
Mpzl1,0.278,5.76
Hs3st1,0.278,14.98
Adamts1,0.278,8.87
Lmcd1,0.278,4.87
Ttc39c,0.277,5.70
Mn1,0.277,10.57
Glul,0.276,9.19
Igfbp3,0.275,4.09
C130074G19Rik,0.275,4.19
Thsd1,0.273,5.63
Chst11,0.273,4.99
Tnfrsf22,0.273,8.38
Ablim3,0.273,7.01
Clec1a,0.272,4.87
Rapgef3,0.272,3.71
Prom1,0.271,9.12
Ebf3,0.270,4.34
Lmo2,0.268,5.36
Pls3,0.268,6.19
