gene,score,fold_change
Kcnmb2,0.675,187.74
Pcsk2,0.672,1117.66
Fam155a,0.663,458.52
Map3k15,0.637,107.57
Robo2,0.636,119.93
A230057D06Rik,0.616,480.00
Gnao1,0.613,133.09
Kcnma1,0.607,81.19
Peg3,0.604,65.45
Ksr2,0.598,58.69
Rims2,0.573,151.87
Agbl4,0.569,133.82
Hs6st3,0.566,462.32
Nell1,0.556,94.55
Fgf12,0.547,64.47
Ctnna2,0.538,52.90
Ptprt,0.527,58.62
Chic1,0.520,50.30
Nrg1,0.519,239.99
Iapp,0.512,178.93
Scg5,0.512,53.84
Cadps,0.511,972.43
Phactr1,0.506,158.50
Ddc,0.505,69.55
Nrxn1,0.504,74.76
Slc16a10,0.502,21.48
Ptprn2,0.492,47.07
Trpm3,0.487,107.08
Abcc8,0.487,671.05
Gck,0.484,36.43
Tmem178b,0.472,69.18
Cerkl,0.466,58.10
Klhl32,0.465,166.88
Kcnip1,0.463,46.70
Dpp10,0.459,151.33
Nalcn,0.457,110.53
Negr1,0.447,56.06
Cxxc4,0.442,15.78
Camk2b,0.441,25.44
Kcnip4,0.440,13.70
Chga,0.440,1519.45
Sphkap,0.438,577.02
Tenm2,0.434,18.64
Sdk2,0.430,69.22
Cntnap2,0.427,80.16
Esrrg,0.427,82.04
Unc5c,0.424,39.54
Scg3,0.423,557.63
Slc7a2,0.421,43.07
Hepacam2,0.417,67.57
Jade3,0.415,18.28
Rgs7,0.415,165.78
Tox3,0.415,17.97
Ctnnd2,0.414,24.70
Pacrg,0.411,24.50
Unc79,0.408,18.13
Slc7a14,0.404,369.43
St18,0.404,10.03
Gcg,0.394,151.40
Dach1,0.394,18.87
Glp1r,0.389,39.67
Scg2,0.388,340.54
A330076H08Rik,0.386,870.89
Nol4,0.384,711.42
Myt1l,0.380,490.02
Rimbp2,0.380,541.57
Unc80,0.379,1055.18
Sgcz,0.377,233.47
Meg3,0.376,48.69
Mdm1,0.374,14.29
Gstz1,0.374,17.66
Plag1,0.369,15.15
Xkr6,0.368,16.25
Wnt4,0.365,21.28
Aff2,0.362,23.62
Grip1,0.362,19.35
Rian,0.361,24.70
Zdhhc2,0.360,26.44
Cep70,0.360,11.43
Sobp,0.357,15.18
Osbpl6,0.354,15.71
Slc24a2,0.353,600.34
Eml5,0.351,10.38
Epb41l3,0.351,33.74
Spock2,0.350,42.91
Jazf1,0.349,14.59
Slc30a8,0.349,2739.72
Abat,0.348,18.65
Pclo,0.345,17.17
Fmn2,0.345,469.75
Bace2,0.343,12.45
Cacna1a,0.343,11.58
Dlg2,0.342,16.84
Kcnc3,0.340,29.34
Usp35,0.340,18.56
Rph3al,0.338,10.24
Etv1,0.336,13.74
Cux2,0.335,25.68
Castor2,0.332,9.93
Mlxipl,0.330,51.13
Cacna1d,0.330,9.84
Isl1,0.325,95.37
Cacna2d1,0.325,20.43
Ttr,0.323,14.29
Cpe,0.322,39.14
Gm10800,0.321,34.35
Abcb9,0.321,21.43
Lrp11,0.319,95.90
Cacna1c,0.319,17.38
Plch1,0.318,14.84
Ahi1,0.318,10.61
Pak3,0.315,36.08
Sgsm1,0.314,26.64
St6galnac5,0.311,39.78
Asic2,0.310,76.00
Papss2,0.308,9.37
Cacnb2,0.308,25.12
Tmem108,0.307,11.17
Prlr,0.307,54.07
Runx1t1,0.307,13.56
Zcchc18,0.303,35.96
Kcnip3,0.303,16.99
Stxbp5l,0.301,68.85
Kif21a,0.301,12.45
Otud7a,0.300,146.44
Pde10a,0.299,15.45
Tmem163,0.297,4.69
Entpd3,0.297,64.15
Vdr,0.297,24.72
Med12l,0.295,10.40
Cplx2,0.293,16.90
Mpped2,0.292,10.49
Rragb,0.291,10.57
Syt7,0.287,13.41
Nav3,0.287,10.82
Auts2,0.286,21.07
Il1r1,0.286,9.23
Tent5d,0.285,68.12
Syt13,0.284,532.64
Adgrv1,0.284,11.17
Gm609,0.284,11.43
Maob,0.284,34.06
Sntg1,0.284,17.60
Slc38a4,0.283,22.37
Zdbf2,0.283,99.64
Hap1,0.282,81.65
Adgrb3,0.282,212.91
