gene,score,fold_change
Adgre1,0.687,41.30
Fcrls,0.666,40.58
Ms4a7,0.666,39.52
Aoah,0.639,30.77
C3ar1,0.633,28.93
Ms4a6d,0.628,37.97
Hpgds,0.615,27.13
Ms4a4a,0.607,35.94
Ms4a14,0.607,36.85
Gm21188,0.604,43.37
Fcgr3,0.593,28.37
Fcgr1,0.586,37.34
Csf3r,0.583,13.64
F13a1,0.562,35.82
Tlr8,0.558,37.24
Tlr7,0.558,26.02
Apobec1,0.550,28.23
Lilr4b,0.543,20.25
Cx3cr1,0.539,32.35
C1qb,0.536,33.40
Trem2,0.535,26.83
Apoc2,0.532,26.83
Lilrb4a,0.529,21.43
Tlr13,0.528,32.34
Ptafr,0.524,28.12
Siglec1,0.520,37.52
Csf1r,0.518,31.17
C5ar1,0.513,19.79
Cd300c2,0.512,26.02
Folr2,0.509,24.95
P2ry12,0.506,28.04
Chil3,0.504,32.52
Tbxas1,0.502,26.79
Pstpip2,0.502,21.40
Pla2g7,0.490,26.78
Mrc1,0.489,34.53
Cd68,0.488,20.49
C1qc,0.485,21.58
Rnf180,0.478,24.02
Arhgap19,0.476,17.01
Cd300lb,0.473,21.51
Clec4a2,0.472,24.15
Aif1,0.471,16.80
Ccl6,0.470,23.11
C1qa,0.469,26.50
P2ry6,0.467,25.80
Arhgap22,0.463,21.43
Clec4a3,0.460,24.53
Ccr1,0.459,20.71
Clec12a,0.457,22.77
Gm5086,0.454,18.70
Ccr5,0.446,16.82
Msr1,0.444,25.06
Igsf6,0.441,15.45
Gpr160,0.440,19.34
Syngr1,0.436,14.86
Nxpe5,0.435,30.22
Lst1,0.435,16.95
Gpr34,0.434,16.22
Lrrc25,0.432,21.82
Rab3il1,0.429,12.06
Lacc1,0.426,20.15
Cd33,0.422,19.31
Lair1,0.419,15.04
Arl11,0.412,13.54
Slc37a2,0.412,19.24
Mpeg1,0.410,17.22
Pirb,0.405,15.18
Itgam,0.403,19.01
Slc11a1,0.401,18.57
Gm13710,0.398,24.03
Sh3bp2,0.398,9.21
Clec4a1,0.397,20.87
Pla2g15,0.396,11.64
