gene,score,fold_change
Lyve1,0.677,467.69
Klhl4,0.606,46.29
Pard6g,0.581,107.50
Flt4,0.575,35.10
Cldn5,0.553,135.02
Ccl21a,0.549,185.43
Prox1,0.526,35.62
Adgrg3,0.509,59.37
F8,0.502,62.72
Sema3d,0.498,100.76
Pgm5,0.483,136.19
Myzap,0.472,19.33
Sema3a,0.469,142.37
Sh3gl3,0.462,258.61
Lbp,0.445,19.81
Fxyd6,0.444,26.90
Mmrn1,0.442,4410.80
Clca3a1,0.441,29.25
Slfn3,0.439,14.64
Reln,0.432,632.36
D5Ertd615e,0.422,145.86
Tll1,0.417,16.17
Reep1,0.411,132.63
Zfp521,0.406,12.37
Lrg1,0.404,13.67
Slc45a3,0.388,156.07
Dapk2,0.378,11.83
Stab2,0.378,227.57
Col23a1,0.377,42.74
Ston2,0.376,23.76
Pald1,0.373,11.63
Wipf3,0.373,98.46
Galnt18,0.371,15.91
Fgl2,0.361,46.32
Itga9,0.356,13.96
Hyal2,0.351,9.83
Palm,0.349,11.47
Gpr182,0.345,32.55
Sncaip,0.345,14.70
Ankrd6,0.344,20.20
Ecscr,0.339,8.25
Gm15675,0.333,7.76
Htr2b,0.331,16.13
Prelp,0.326,16.69
Pcsk6,0.311,14.66
Kcnn3,0.310,33.55
Pdpn,0.307,13.17
Dtx1,0.307,6.25
Zfpm2,0.305,13.66
Prkcz,0.303,7.84
Slc16a12,0.303,21.84
Fam189a2,0.299,10.22
Hmcn1,0.296,4.15
Sema6a,0.295,7.24
Emid1,0.293,9.64
Il33,0.292,23.23
Nectin2,0.291,10.20
Tgfa,0.287,23.56
Abi3bp,0.285,17.51
Trp53i11,0.285,4.71
Tspan18,0.284,10.88
Slc10a6,0.283,19.26
Nova2,0.282,4.87
Bok,0.281,7.81
Trpc3,0.280,20.02
Sned1,0.277,6.87
Afap1l1,0.276,7.62
Scn1b,0.275,7.91
Ugcg,0.274,6.88
Hsd3b7,0.273,7.36
Ackr2,0.273,248.18
Csf2rb2,0.273,11.83
Stab1,0.272,3.91
Enpp3,0.272,15.88
Slco2b1,0.271,3.49
Stxbp6,0.271,12.06
Homer3,0.269,5.56
Msr1,0.268,6.29
Kank3,0.267,5.06
Mall,0.266,7.63
Maf,0.265,5.26
Ablim2,0.265,19.87
Gypc,0.264,9.66
Arrb1,0.264,5.50
Nrp2,0.263,8.96
Cd55,0.259,7.53
Calcrl,0.259,4.21
Fmo1,0.255,4.06
Serpina3g,0.254,17.68
Pld5,0.254,187.80
Tpmt,0.252,13.43
Nr2f2,0.252,13.32
N4bp3,0.252,6.33
Cped1,0.252,6.45
Meox1,0.251,4.07
Thsd1,0.251,5.77
Tnfrsf11a,0.250,4.05
Cyp4b1,0.250,14.39
Cyp1b1,0.249,12.95
Bik,0.249,5.62
Wdr17,0.248,26.90
Myo7a,0.248,6.45
Smad1,0.247,6.73
Syne3,0.247,4.29
Erg,0.247,5.18
Nsg1,0.246,13.62
Megf6,0.246,30.11
Ctnnal1,0.246,22.28
Ptgfrn,0.245,7.58
Thy1,0.245,6.18
Clec1a,0.244,5.60
Fgd6,0.244,5.62
Ecm2,0.242,11.73
Thsd7a,0.242,7.83
Gm46565,0.241,10.91
Csf1,0.241,9.69
Nxn,0.240,7.70
Ntn1,0.239,6.89
Tnxb,0.239,8.00
Zfp423,0.238,4.06
Pde7b,0.238,5.52
Psen2,0.237,5.60
Gm16083,0.237,5.35
Gpm6a,0.236,18.95
Cemip2,0.232,8.63
Lrrc32,0.231,5.63
Pkhd1l1,0.231,36.19
Ralgds,0.230,5.55
Ccm2l,0.230,5.33
Comp,0.229,147.67
Il7,0.228,28.95
Kctd17,0.227,6.57
Fzd6,0.227,7.53
Shank3,0.227,3.63
Ephb1,0.227,3.47
Ehd3,0.225,7.35
Chst1,0.224,7.29
Ipo11,0.223,4.86
Ramp2,0.223,4.13
Unc5b,0.223,7.01
Spns2,0.221,4.47
Gprc5b,0.221,11.26
Gm28875,0.219,7.13
Igfbp5,0.218,18.61
Ptpn14,0.218,8.08
Klhl29,0.218,15.51
Otud1,0.217,6.97
Sord,0.217,4.68
Tie1,0.217,3.66
