gene,score,fold_change
Csmd1,0.717,262.40
Plp1,0.714,385.49
Grik2,0.713,549.38
Cadm2,0.710,1523.06
Nkain2,0.690,144.37
Vwa1,0.683,39.99
Matn2,0.682,175.37
Galnt17,0.678,104.25
Scn7a,0.674,178.32
Aspa,0.651,298.78
Gas2l3,0.650,34.50
Lgi4,0.648,562.84
L1cam,0.645,64.78
Chl1,0.641,113.00
Itga2,0.634,32.09
Abca8b,0.629,138.37
Dlgap1,0.623,117.98
Slc35f1,0.622,2381.88
Cadm4,0.611,247.39
Gpm6b,0.609,76.23
Zfp536,0.607,886.11
Kcna2,0.601,1072.42
Adam23,0.599,91.17
Sema3b,0.590,196.98
Atp1a2,0.586,60.31
Sostdc1,0.584,96.46
Abca8a,0.577,41.39
Entpd2,0.576,59.36
Mal,0.574,155.37
Shpk,0.572,75.76
Erbb3,0.568,59.14
Sgcd,0.568,132.13
Col16a1,0.567,67.36
Ncam1,0.552,90.05
Ntrk3,0.546,41.43
Pcdh9,0.543,159.50
Aatk,0.542,84.96
Epb41l4b,0.541,53.02
Tmod2,0.538,115.26
Fam78b,0.537,24.92
Art3,0.533,70.96
Xkr4,0.531,138.64
Pappa,0.528,77.37
Grb14,0.522,54.21
Col20a1,0.517,79.52
Vgll3,0.517,49.44
Cyp2j9,0.516,82.27
Plekha4,0.515,56.46
Fign,0.514,38.21
Prnp,0.512,73.27
S1pr3,0.509,51.63
Gm10863,0.508,307.02
Tenm3,0.494,78.48
C4b,0.494,32.20
Fxyd1,0.493,39.49
Zfyve28,0.492,33.97
Ptn,0.492,38.01
Itgb8,0.489,27.95
Tafa5,0.488,136.68
Kcnh8,0.483,370.02
Il1rapl1,0.482,55.88
Edil3,0.482,133.40
Syt11,0.481,20.49
Cyp2j6,0.478,21.90
Hmgcs2,0.475,20.83
Cdh19,0.470,4671.70
Cnksr2,0.470,310.87
Adgrl3,0.467,71.10
Ttyh1,0.463,39.71
Cryab,0.462,33.22
Mboat2,0.458,136.78
Frmd5,0.457,43.00
Mtss2,0.456,20.84
Gm29683,0.453,48.65
Lrrc4c,0.451,36.48
Lrrc8b,0.451,19.10
2310002F09Rik,0.450,33.00
Abca6,0.449,40.86
Dtna,0.445,21.34
Gfra2,0.442,52.63
Lama2,0.440,14.92
Col28a1,0.437,212.31
Grik3,0.436,37.66
Igsf11,0.436,25.81
Sorcs2,0.427,28.86
Kcna6,0.427,6685.56
Gpt2,0.426,13.80
Nid2,0.425,15.60
Col5a3,0.425,21.33
Acot1,0.420,44.87
Grid2,0.420,46.81
Cdh2,0.417,63.65
Npr3,0.417,26.68
Tenm1,0.414,52.49
Plekhb1,0.413,34.86
Aldh1a1,0.409,22.71
Sema3e,0.409,71.70
Sorcs1,0.408,200.07
Crppa,0.406,21.89
Amph,0.406,56.89
Scamp5,0.405,12.87
Pmp22,0.400,20.55
Adam11,0.397,262.56
Fbxo7,0.396,15.73
Cnp,0.395,12.00
Dok6,0.394,53.18
Col27a1,0.394,16.60
Insc,0.392,213.75
Afap1l2,0.391,40.14
Angptl4,0.390,20.60
Anln,0.390,22.64
Sfrp1,0.386,17.44
Gulp1,0.384,31.57
Sema6d,0.383,12.48
Ncam2,0.383,35.88
2900052L18Rik,0.381,18.10
Mir100hg,0.381,16.38
Dmd,0.380,28.38
Metrn,0.379,15.95
Adgb,0.378,39.27
Ank3,0.378,38.61
Lpar1,0.377,11.61
Il1rap,0.376,12.03
Kirrel,0.374,22.17
Olfml2b,0.373,23.43
Plppr3,0.372,77.44
Rarres2,0.371,21.32
Gas7,0.369,14.74
Adgrg6,0.368,13.70
Ephb2,0.365,16.81
Fads6,0.362,13.46
Sema4f,0.360,23.99
Reck,0.359,19.28
Pdzd2,0.359,13.39
Itgb4,0.358,14.83
Itih5,0.358,13.58
Plce1,0.357,24.77
Gask1b,0.357,11.65
Pcbp4,0.357,17.50
Matn4,0.356,17.93
Col14a1,0.355,11.73
Prrg3,0.355,30.15
Klk8,0.353,14.58
Megf9,0.353,20.29
Fads1,0.353,14.24
Slc22a23,0.353,17.33
Macrod2,0.352,25.48
Dhrs1,0.351,12.29
Nrn1,0.350,376.37
Nr4a2,0.349,10.86
Olfml2a,0.348,26.16
Adamts12,0.345,15.18
Postn,0.345,13.96
Ntrk2,0.344,19.90
Fgf2,0.344,17.16
Phldb1,0.344,12.46
Itgb3,0.343,11.65
Mgat3,0.339,72.12
Kcnk13,0.339,5.89
Kcna1,0.337,3044.66
Slc2a13,0.334,11.35
Pex5l,0.334,416.71
Ndst3,0.332,203.54
Pdlim4,0.330,14.75
Ntng1,0.326,444.54
Apod,0.324,418.17
Pkia,0.324,27.05
Ctnnal1,0.323,22.36
Rnd3,0.322,16.64
Col18a1,0.322,28.22
Ttyh2,0.321,11.98
Tspan15,0.320,7.80
Zfhx4,0.320,14.56
Gfra3,0.319,1149.33
Hbegf,0.319,10.69
Mbp,0.319,16.25
Eda,0.319,13.33
P2rx7,0.318,5.68
Zfp219,0.318,11.46
Sorbs1,0.316,12.58
Fads2,0.316,12.55
Sox6,0.316,15.65
Lrrn2,0.314,38.00
Cd59a,0.314,18.36
Rabggta,0.313,9.10
Cadm1,0.312,9.97
Gfra1,0.310,42.37
