gene,score,fold_change
Dcdc2a,0.776,230.52
Erbb4,0.771,365.06
Shank2,0.745,105.20
Slc28a3,0.730,236.91
Onecut1,0.668,50.32
Pkhd1,0.653,96.97
Fstl4,0.643,78.12
Hnf1b,0.622,66.34
Ces1d,0.601,125.09
Hs6st2,0.601,205.31
Ambp,0.592,51.72
Anxa13,0.590,59.60
Dab1,0.565,81.84
Clmn,0.557,43.27
Cftr,0.556,88.22
Ehf,0.542,38.54
Sox9,0.536,28.14
Apoc1,0.536,37.74
Pamr1,0.525,36.30
Dsg2,0.524,27.23
Tstd1,0.522,62.74
Tm4sf4,0.503,52.88
Pigr,0.499,30.07
Ngef,0.497,63.23
Scara3,0.496,30.12
Adamts16,0.487,60.13
Fgfr3,0.479,44.07
Slc5a1,0.477,144.12
Lurap1l,0.467,23.09
Atp1b1,0.465,32.95
Mtcl1,0.465,46.67
Wwc1,0.464,22.74
Cdh6,0.457,48.41
Gm609,0.456,281.71
Epcam,0.456,19.15
Kifc3,0.453,29.48
Tnfrsf19,0.448,39.33
Map3k21,0.448,46.00
Cldn3,0.447,16.50
Veph1,0.443,312.74
A230001M10Rik,0.441,301.58
ccdc198,0.434,75.56
Cldn7,0.428,13.61
Ngf,0.423,34.33
2610035D17Rik,0.421,22.84
2610307P16Rik,0.420,30.75
Mme,0.407,97.89
Grhl2,0.406,15.09
Vtcn1,0.398,30.52
Osgin1,0.397,22.40
Krt23,0.396,21.15
9130008F23Rik,0.389,43.60
Nudt19,0.384,12.72
Bche,0.379,33.36
Zfp385b,0.379,25.32
Slc44a3,0.379,15.99
Kcnk1,0.376,12.59
Macc1,0.374,31.52
Cobl,0.369,28.89
Angpt1,0.368,18.90
Plet1,0.366,42.10
Rab27b,0.363,11.87
Wfdc2,0.361,37.99
Fermt1,0.360,12.64
Elovl7,0.360,23.69
Nkx2-2os,0.359,26.53
Plcd3,0.358,28.00
Dsp,0.355,11.74
Kcne3,0.349,45.65
Myh14,0.346,64.35
Arhgef38,0.346,13.13
Cdh1,0.343,12.68
Mal2,0.342,14.62
Chdh,0.339,14.02
Gna14,0.336,11.07
St14,0.335,9.93
Gmnn,0.334,9.72
Tmem229a,0.334,117.10
Pdzk1ip1,0.332,25.65
Glis3,0.332,29.87
Sytl5,0.332,20.61
Tenm4,0.331,9.13
Krt8,0.331,11.27
Pak6,0.331,34.47
Cxadr,0.330,14.85
Ppp2r2b,0.328,54.13
Prr15l,0.321,9.30
Pdgfc,0.321,6.37
Vsig10,0.321,12.98
Igsf5,0.318,11.84
Epb41l5,0.318,12.20
Erich5,0.317,17.85
Unc5cl,0.317,14.24
Cys1,0.316,36.02
