gene,score,fold_change
Svep1,0.703,128.22
Dpt,0.605,93.06
Lum,0.604,58.91
Pdgfra,0.596,85.83
Col6a3,0.562,57.64
Dpep1,0.528,137.34
Scara5,0.516,57.88
Vcan,0.511,43.27
Crispld2,0.505,66.24
Adamtsl3,0.500,180.74
Serpinf1,0.482,55.22
Mmp2,0.471,41.46
Smoc2,0.471,68.66
Htra3,0.471,45.50
Lgi2,0.470,42.71
Mfap5,0.468,42.54
Loxl1,0.456,44.64
Col6a2,0.449,39.65
Bmper,0.444,95.51
Dnm1,0.435,34.41
Cilp,0.434,40.36
Ms4a4d,0.433,65.73
Col6a1,0.432,40.12
Col5a1,0.428,55.70
Cpxm1,0.426,46.81
Fap,0.424,28.60
Slit3,0.420,39.07
Steap3,0.416,21.51
Clec3b,0.412,65.12
Adamts2,0.406,46.18
Islr,0.406,56.57
Adamts5,0.402,65.83
Mrc2,0.397,15.57
Slit2,0.397,36.24
Mfap4,0.389,36.69
Lox,0.388,38.83
Wdr66,0.387,27.76
Itgbl1,0.386,97.02
Clmp,0.386,12.18
Pla1a,0.385,38.72
Pknox2,0.382,35.37
Olfml3,0.381,14.51
Ebf2,0.380,35.59
Fbn2,0.375,54.29
Eya2,0.375,13.58
Epha3,0.373,27.40
Nova1,0.369,48.31
Hmcn2,0.367,388.54
Ogn,0.366,43.58
C1qtnf7,0.362,29.02
Igsf10,0.356,38.61
Tnxb,0.356,48.62
Ddr2,0.355,27.10
Nox4,0.355,66.04
Dclk1,0.355,29.72
Bnc2,0.354,37.07
Lpar1,0.349,39.08
Fbn1,0.347,50.07
Pcolce,0.345,29.03
Penk,0.345,62.18
Medag,0.345,27.97
Adam12,0.342,10.43
Lama2,0.340,79.84
Kcnk2,0.338,35.47
Lpl,0.338,19.06
Prrx1,0.337,19.60
Gfpt2,0.331,32.42
Gpc3,0.326,27.86
Spon1,0.323,20.51
Plau,0.323,13.59
Ccdc80,0.320,28.48
Col5a3,0.319,59.89
Oaf,0.319,21.10
Dcn,0.318,34.32
Cd248,0.316,37.53
Acss3,0.315,21.28
Cygb,0.313,16.61
Mfap2,0.312,11.40
Gli2,0.309,41.31
Gli3,0.308,34.23
Col5a2,0.308,33.49
Plod2,0.306,19.97
Robo1,0.302,44.11
Col6a6,0.300,32.05
Egfr,0.299,15.59
Gpx3,0.295,19.45
Bgn,0.294,19.52
Sh3rf3,0.293,101.38
Gpc6,0.293,19.43
Dnm3os,0.293,36.03
Col15a1,0.292,5.46
Cdh11,0.292,23.43
Efemp2,0.291,15.79
Ccl11,0.285,21.34
Srpx2,0.283,27.83
Rcn3,0.281,20.43
Dpysl3,0.279,14.15
Cxcl14,0.278,14.72
Enox1,0.278,27.14
Timp1,0.277,22.82
Naalad2,0.275,17.80
Lrrc17,0.272,44.97
Pdzrn3,0.272,18.10
Cyp1b1,0.269,39.56
Dchs2,0.268,146.10
Emilin1,0.267,10.72
Rspo3,0.264,30.30
Boc,0.263,18.17
Itm2a,0.262,18.87
Col1a2,0.261,41.74
Sdc2,0.261,18.83
Abca8a,0.259,83.13
Tnc,0.259,35.53
Kcnt2,0.259,17.73
C1qtnf6,0.257,13.96
Nav3,0.257,15.64
Magi2,0.256,27.85
Ror1,0.255,13.63
Serpine2,0.254,10.42
Gxylt2,0.254,40.20
Mmp14,0.254,14.90
Col12a1,0.254,38.19
Pcdh7,0.253,29.87
Asap3,0.253,9.11
Col1a1,0.253,50.80
P3h3,0.251,19.35
Colec12,0.251,8.95
Bmp1,0.251,11.13
Mmp19,0.250,14.68
Fstl1,0.247,18.99
Antxr1,0.247,33.45
Sfrp1,0.247,45.94
Aldh1a2,0.247,15.45
Podn,0.247,26.23
Arhgap20,0.247,36.55
Ltbp1,0.246,16.13
Itih5,0.246,10.23
Col14a1,0.245,18.36
Mmp23,0.245,27.99
Aox1,0.245,14.92
Postn,0.244,31.05
Mir100hg,0.241,32.44
Pla2r1,0.240,14.68
Fbln1,0.239,30.48
C1s1,0.237,17.38
Fkbp10,0.237,14.28
Col3a1,0.237,45.96
Angptl2,0.236,15.17
Ggt5,0.236,6.89
Cped1,0.235,8.49
Serpinh1,0.234,11.24
Mxra8,0.233,13.01
Vegfd,0.233,23.15
Dact1,0.232,19.10
Aebp1,0.232,15.89
Fzd1,0.232,27.83
Kif26b,0.229,29.60
Numbl,0.229,17.24
Ank2,0.229,22.58
Adcyap1r1,0.228,28.16
Csf1,0.228,8.40
Adamts12,0.227,21.51
Srpx,0.227,19.92
Sned1,0.227,15.60
Opcml,0.225,26.06
Axl,0.225,12.09
Pla2g4a,0.224,5.79
Serping1,0.224,18.38
Itga11,0.224,16.76
Abi3bp,0.224,21.35
Thsd7a,0.223,15.60
Gdf10,0.222,78.45
Tgfb3,0.222,11.66
Sod3,0.222,26.92
Rbp1,0.221,9.24
Fhl2,0.220,9.78
Nid1,0.220,9.59
Cthrc1,0.219,36.75
Mest,0.219,14.68
Zfhx4,0.219,25.16
Emilin2,0.218,4.82
Il11ra1,0.218,8.13
Plekha6,0.216,10.47
Lhfp,0.215,12.82
Plxdc2,0.215,11.59
Pi16,0.214,61.97
Ror2,0.213,9.85
Col4a3,0.213,12.68
Thbs2,0.212,28.29
Ifi205,0.212,15.75
Loxl2,0.211,18.70
Ctsk,0.211,20.67
Ckap4,0.211,7.13
Pcdh19,0.211,8.52
Adamts15,0.210,18.07
Lrp1,0.209,6.18
Wnt5a,0.209,23.24
B3galt1,0.209,9.51
Prdm5,0.208,9.11
Prr16,0.208,79.61
