gene,score,fold_change
Cd3d,0.650,80.00
Cd3e,0.611,68.13
Trbc2,0.605,60.68
Ms4a4b,0.596,53.66
Cd3g,0.590,58.55
Itk,0.583,62.01
Cd226,0.582,61.19
Cd28,0.566,42.55
Trac,0.561,54.03
Txk,0.552,52.09
Themis,0.542,52.51
Cd247,0.537,60.25
Cd5,0.528,47.51
Hcst,0.527,19.23
Il7r,0.524,43.08
Tcf7,0.521,38.76
Gm2682,0.520,53.47
Lat,0.520,46.95
Zap70,0.517,41.43
Trbc1,0.517,60.65
Il2rb,0.516,116.11
Bcl11b,0.513,51.72
Lef1,0.512,44.64
Cd27,0.509,31.51
Camk4,0.503,37.25
Lck,0.500,32.98
Gimap3,0.495,15.72
Slfn1,0.485,22.48
Cd6,0.485,51.31
Skap1,0.482,44.35
Cd96,0.482,54.10
Spn,0.481,25.24
Sidt1,0.481,25.68
Nsg2,0.470,53.43
Ctsw,0.464,54.94
Sh2d1a,0.464,91.00
Ubash3a,0.462,41.89
Prkcq,0.460,43.23
Nkg7,0.457,146.81
Fam78a,0.445,17.06
Rinl,0.445,16.70
Il27ra,0.443,15.09
Icos,0.438,63.99
Dapl1,0.436,88.84
Grap2,0.432,17.39
Cd2,0.429,13.41
Rasgrp1,0.425,11.26
Ipcef1,0.424,21.83
2010016I18Rik,0.421,29.61
Tmem71,0.413,11.56
Cd4,0.404,30.54
Il18r1,0.402,45.66
Nlrc3,0.388,11.81
Trat1,0.380,38.21
Runx3,0.376,11.25
Rasal3,0.372,8.34
Dnah8,0.366,11.51
Cd8b1,0.365,35.63
Pglyrp2,0.365,17.75
Oprm1,0.363,26.30
Satb1,0.361,11.30
Cd40lg,0.360,55.55
Ptpn22,0.359,10.80
Art2b,0.357,109.76
Gata3,0.352,67.42
Sept1,0.352,8.96
Gm44174,0.350,65.61
Kbtbd11,0.347,18.61
Itgal,0.345,9.96
Tespa1,0.344,8.06
Fam169b,0.344,8.69
Tbc1d10c,0.344,7.58
Sh2d2a,0.343,20.12
Ptpn7,0.342,7.80
Tnfsf8,0.340,22.20
Stat4,0.340,8.29
A630023P12Rik,0.338,38.94
Bicdl1,0.338,28.21
Fam189b,0.337,13.81
Dgka,0.336,12.48
Jakmip1,0.335,8.60
Sla2,0.335,28.82
Ccr7,0.334,8.29
Ptprcap,0.334,5.84
Ifi206,0.331,7.55
Scml4,0.330,11.24
Mgst2,0.319,13.95
1700097N02Rik,0.319,20.14
Kcnab2,0.317,7.23
Ms4a6b,0.317,6.63
St8sia1,0.313,18.57
Hsd11b1,0.312,9.70
A630014C17Rik,0.312,37.16
Lcp2,0.310,6.60
Tspan32,0.307,5.31
Cd8a,0.307,24.46
Slamf6,0.305,7.34
Traf3ip3,0.301,5.96
Itgb7,0.300,10.04
Sell,0.297,6.37
Acp5,0.297,6.11
Ifi208,0.296,25.37
Zfp831,0.294,6.24
Tnik,0.293,15.55
Fgf13,0.292,13.36
Ripor2,0.291,5.55
Galnt6,0.291,9.27
Bin2,0.290,6.21
Faah,0.290,11.19
Gpr132,0.288,8.91
Zdhhc15,0.285,17.34
Emb,0.283,9.77
Izumo1r,0.282,65.86
Ltb,0.278,5.24
Gimap4,0.277,5.53
Arhgap9,0.277,5.63
Ctse,0.277,5.27
Nxpe3,0.271,5.07
Agap2,0.271,8.21
Acap1,0.271,5.40
Gimap7,0.269,5.07
Rhoh,0.268,3.87
Kif21b,0.267,5.44
Sash3,0.266,4.78
Arl4c,0.265,5.43
Ikbke,0.265,7.24
Selplg,0.264,6.56
Acpp,0.263,18.33
Tnfrsf18,0.263,13.43
Rassf5,0.262,5.54
Klhl6,0.262,4.86
Xlr4b,0.262,19.42
Atp8b4,0.261,6.67
Ikzf1,0.258,5.26
Ifi213,0.258,4.98
A430093F15Rik,0.257,26.70
Cytip,0.256,5.44
Rac2,0.254,4.56
Klhdc1,0.253,7.22
Limd2,0.252,4.82
Prf1,0.251,88.27
Gpr174,0.251,3.66
Sept6,0.250,6.26
Cracr2a,0.250,6.39
Pde11a,0.249,56.64
Def6,0.249,5.63
Gm36756,0.249,6.78
Cxcr6,0.248,69.43
Klk8,0.248,22.20
Raet1e,0.248,4.89
Il2rg,0.247,5.52
Gimap8,0.247,4.32
Gm12840,0.247,16.59
Mir142hg,0.246,4.90
Treml2,0.245,3.96
Pdk1,0.244,6.12
Ctla4,0.244,20.22
Ifi214,0.244,5.30
Rgs14,0.243,4.88
Apol7e,0.243,85.47
Arhgef18,0.243,5.12
B630019A10Rik,0.242,11.66
Gimap9,0.242,4.74
E030030I06Rik,0.241,3.98
Dennd1c,0.240,4.24
Nt5e,0.238,9.59
