gene,score,fold_change
Gm2682,0.417,6.45
Lck,0.410,7.86
Lef1,0.406,6.95
Bcl11b,0.383,6.82
Skap1,0.375,6.71
Cd6,0.351,6.78
Themis,0.347,5.50
Itk,0.338,5.00
Tcf7,0.336,5.87
Prkcq,0.329,6.03
Trat1,0.311,8.69
Dnah8,0.306,5.79
Cd5,0.302,6.03
Cd247,0.300,4.76
Txk,0.300,4.86
Cd3g,0.296,3.83
Cd3e,0.287,4.05
Camk4,0.285,4.36
Trac,0.284,4.87
Trbc1,0.279,4.60
Lat,0.278,4.56
Grap2,0.277,4.25
Nsg2,0.275,6.00
Jakmip1,0.269,6.44
Sidt1,0.267,3.52
Ms4a4b,0.266,3.71
Trbc2,0.265,3.28
Cd2,0.258,4.66
Scml4,0.253,4.97
Ubash3a,0.251,5.76
Itgal,0.248,6.06
Cd40lg,0.241,6.55
Cd4,0.240,5.21
Il27ra,0.238,4.25
Acpp,0.237,9.30
Slc14a1,0.237,6.39
Dgka,0.237,4.44
Cd96,0.236,4.94
Dennd2d,0.235,7.62
Tespa1,0.235,3.89
Satb1,0.234,3.79
Oprm1,0.234,6.58
Zfp831,0.232,4.04
Cd27,0.230,4.24
Rinl,0.229,5.39
Cd3d,0.228,2.75
Il7r,0.228,2.93
Kbtbd11,0.227,6.75
Rasgrp1,0.227,3.86
Ctla4,0.227,8.07
Tnik,0.226,5.46
Acap1,0.220,4.49
Ipcef1,0.217,3.81
Gm16158,0.212,6.79
Cd28,0.210,2.96
Cracr2a,0.209,5.91
Ptpn22,0.209,3.67
Itgb7,0.207,4.56
Gimap3,0.205,2.49
Ripor2,0.203,2.65
Cd8b1,0.203,4.26
Spn,0.200,5.15
Hsd11b1,0.199,3.92
Slamf6,0.197,3.05
Sell,0.197,3.03
Lcp2,0.197,4.23
Gata3,0.196,4.19
St8sia1,0.196,5.06
Fgf13,0.196,4.05
Ikbke,0.193,4.42
Zdhhc15,0.192,5.70
Traf3ip3,0.192,3.11
Arhgap15,0.191,3.22
Fam169b,0.185,2.86
Slfn1,0.183,3.68
Mgst2,0.182,4.77
Ccdc88c,0.181,4.81
Pglyrp2,0.181,3.84
Zap70,0.181,3.22
Il2rb,0.180,2.43
Ms4a6b,0.180,2.48
Sh2d2a,0.179,5.08
Arhgap45,0.176,3.11
Tbc1d10c,0.174,3.01
A630014C17Rik,0.174,8.14
Faah,0.174,4.40
Stat4,0.172,2.76
Dtx1,0.172,4.69
Rasal3,0.172,2.82
4930444A19Rik,0.170,6.26
Nlrc3,0.169,3.86
Taf1c,0.169,7.03
Tspan32,0.168,3.13
Ptprc,0.167,2.56
Abtb2,0.166,4.36
Galnt6,0.164,4.21
Gm2245,0.164,4.38
Ltb,0.163,2.39
Cd226,0.163,2.10
Inpp4b,0.162,3.03
Tnfsf8,0.162,4.43
Tmem154,0.161,4.73
Hcst,0.160,3.04
Hs3st3b1,0.160,3.98
Fam78a,0.157,3.23
Il2ra,0.157,5.15
Fyb,0.156,2.12
Icos,0.156,3.25
Kif21b,0.155,3.88
Acp5,0.154,2.82
Kcnab2,0.154,3.16
Ikzf1,0.154,2.28
Rhoh,0.151,2.30
Dock2,0.151,2.18
Nup210,0.151,4.03
Gimap4,0.150,2.37
Sla2,0.150,5.11
Def6,0.149,3.11
Ifi213,0.148,2.44
Znrf3,0.147,3.91
Pacsin1,0.147,2.77
2010016I18Rik,0.145,3.92
Rgs14,0.145,4.56
Cd69,0.145,2.50
Apbb1ip,0.145,2.50
S1pr4,0.144,3.20
Ift80,0.144,4.61
Bin2,0.143,2.68
A430093F15Rik,0.143,4.83
Gpr132,0.143,3.42
Gm26740,0.143,2.59
Ccnd3,0.143,3.32
Rbm38,0.143,4.27
Rsph3a,0.141,6.28
Aff3,0.141,1.85
Tmem71,0.141,2.96
Slain1,0.141,5.07
Agap2,0.140,3.34
Klhdc1,0.139,3.43
Slc17a9,0.139,3.17
Rab11fip4,0.139,4.75
Atp8b4,0.139,2.77
Il18r1,0.138,2.82
Lypd6b,0.138,4.28
Insyn2b,0.138,3.37
Cpne4,0.138,2.42
Dennd1c,0.136,2.95
Rhof,0.135,3.44
Prkch,0.135,2.09
Pik3cd,0.134,2.58
Adcy7,0.132,2.65
4930417O13Rik,0.132,5.27
Gm17545,0.132,10.08
Myo1g,0.131,3.21
Pde11a,0.131,4.66
Slc20a1,0.130,4.20
Kcnn4,0.130,3.89
AI504432,0.130,2.87
Tecpr1,0.129,3.13
1700097N02Rik,0.128,3.13
Tnfrsf18,0.128,3.63
Sema4d,0.128,2.72
Dock11,0.128,2.74
A630023P12Rik,0.128,4.20
Psd4,0.128,2.90
Slamf1,0.128,2.33
Ifi206,0.127,2.03
Nars2,0.127,3.47
Mirt1,0.127,3.83
Dok2,0.127,4.48
Cytip,0.126,2.19
Gm27201,0.126,4.72
Runx1,0.126,2.22
B630019A10Rik,0.126,3.16
Gm30054,0.126,2.47
Fyn,0.125,3.22
Traj18,0.125,10.70
Map4k1,0.125,3.24
Dapl1,0.125,2.16
5830428M24Rik,0.124,3.12
Selplg,0.124,2.85
St6gal1,0.124,2.54
Tmem156,0.123,4.00
Pced1b,0.123,3.36
Ubxn11,0.123,6.31
H2-T24,0.123,4.65
Emb,0.123,2.83
Bach2,0.123,1.81
Chd3,0.123,3.43
Arl5c,0.123,3.97
Rasa3,0.122,2.75
Arhgef18,0.122,2.19
Mir155hg,0.122,10.68
AI467606,0.121,3.13
Ppm1h,0.121,2.71
Abhd6,0.121,3.77
Sh3kbp1,0.121,1.98
Tnfrsf25,0.121,5.75
Rab3ip,0.121,3.02
Ets1,0.121,2.14
