gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Gm20629,0.661,69.45,0.67,0.58,0.01,0.01
Lrrc7,0.630,50.55,0.87,0.70,0.02,0.03
Amy2a1,0.618,42.64,1.30,0.80,0.03,0.03
Myo16,0.609,39.85,0.69,0.70,0.02,0.03
Nphs1,0.571,40.50,0.28,0.41,0.01,0.02
Gata4,0.560,29.69,0.36,0.56,0.01,0.02
Rbpjl,0.544,36.41,2.00,0.87,0.06,0.06
Fat3,0.539,31.60,0.77,0.65,0.02,0.04
Bmpr1b,0.531,35.16,0.39,0.51,0.01,0.02
Galnt6os,0.509,32.00,0.34,0.42,0.01,0.02
Mkx,0.497,38.77,0.16,0.31,0.00,0.01
Fgf14,0.496,39.95,0.98,0.68,0.02,0.04
Aldh1l2,0.495,22.85,0.21,0.36,0.01,0.02
1810053B23Rik,0.494,30.04,0.32,0.41,0.01,0.02
Edaradd,0.477,16.92,0.21,0.38,0.01,0.03
Myo5c,0.476,20.69,0.42,0.59,0.02,0.04
Gm41821,0.469,38.28,0.26,0.24,0.01,0.01
Col7a1,0.464,24.59,0.24,0.35,0.01,0.02
Homer2,0.452,18.05,0.27,0.46,0.01,0.03
Gm20275,0.451,35.55,2.52,0.93,0.07,0.12
Rgs11,0.441,21.29,0.13,0.26,0.01,0.02
5430419D17Rik,0.441,33.64,0.15,0.27,0.00,0.01
Ranbp3l,0.434,27.98,0.15,0.26,0.01,0.01
Amy2a5,0.426,14.06,0.41,0.51,0.03,0.05
Slc38a3,0.418,24.30,0.13,0.27,0.01,0.01
Arfgef3,0.418,20.47,0.30,0.46,0.01,0.03
Slc6a9,0.417,21.13,0.18,0.34,0.01,0.02
Slc12a8,0.415,18.09,0.23,0.39,0.01,0.03
Pik3c2g,0.412,25.88,0.37,0.52,0.01,0.03
Kcnd3,0.403,29.86,0.19,0.33,0.01,0.01
Tinag,0.395,23.42,0.11,0.22,0.00,0.01
Slc7a8,0.393,14.90,0.46,0.55,0.03,0.08
Gm11963,0.390,36.50,0.12,0.21,0.00,0.01
5330417C22Rik,0.390,20.70,0.67,0.68,0.03,0.06
