gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Rbpjl,0.285,6.57,0.82,0.58,0.12,0.08
Amy2a1,0.268,6.78,0.52,0.42,0.08,0.06
Galnt6os,0.266,7.79,0.17,0.21,0.02,0.03
Ggt1,0.251,6.31,0.17,0.24,0.03,0.05
Col7a1,0.240,7.72,0.13,0.16,0.02,0.03
Hnf1aos1,0.219,6.90,0.32,0.29,0.05,0.06
Myo16,0.218,5.17,0.23,0.28,0.04,0.06
Myo5c,0.215,5.81,0.19,0.26,0.03,0.06
Slc38a3,0.214,8.09,0.07,0.11,0.01,0.02
Fat3,0.209,4.80,0.26,0.28,0.05,0.06
Serpini2,0.202,5.21,0.39,0.37,0.07,0.10
Pdia2,0.200,4.54,0.33,0.35,0.07,0.09
Gm20629,0.199,5.09,0.19,0.20,0.04,0.03
Gm20275,0.193,3.55,0.62,0.51,0.18,0.15
Lrrc7,0.192,4.28,0.22,0.26,0.05,0.05
Chka,0.192,5.86,0.46,0.40,0.08,0.13
1810028F09Rik,0.189,4.14,0.22,0.25,0.05,0.08
Pycr1,0.189,7.16,0.06,0.09,0.01,0.02
D130043K22Rik,0.186,4.11,0.12,0.15,0.03,0.04
Cabp2,0.183,4.93,0.08,0.12,0.02,0.03
Pah,0.182,4.63,0.11,0.16,0.02,0.04
Slc39a5,0.182,6.24,0.05,0.09,0.01,0.02
Ctrc,0.181,4.45,1.96,0.66,0.44,0.23
Ranbp3l,0.181,5.49,0.06,0.09,0.01,0.02
Amy2a5,0.181,4.50,0.19,0.21,0.04,0.06
Taco1,0.181,6.59,0.79,0.49,0.12,0.19
Cpa2,0.178,4.44,1.37,0.63,0.31,0.20
P2rx1,0.177,5.36,0.07,0.11,0.01,0.03
Gp2,0.176,3.85,0.52,0.37,0.13,0.12
Tle6,0.176,5.50,0.07,0.12,0.01,0.03
Aldh1l2,0.174,4.59,0.08,0.11,0.02,0.03
Edaradd,0.173,4.20,0.08,0.12,0.02,0.04
1810053B23Rik,0.172,4.50,0.10,0.14,0.02,0.04
Slc7a11,0.172,4.71,0.07,0.10,0.01,0.02
Bhlha15,0.171,4.59,0.05,0.10,0.01,0.02
A1cf,0.171,8.83,0.07,0.10,0.01,0.02
Gcat,0.167,3.28,0.07,0.12,0.02,0.04
Mkx,0.167,5.45,0.05,0.10,0.01,0.02
Tff2,0.166,3.12,0.77,0.48,0.25,0.18
Cbs,0.166,4.61,0.15,0.18,0.03,0.06
Slc17a9,0.164,4.55,0.08,0.09,0.02,0.05
Slc6a9,0.163,5.73,0.08,0.11,0.01,0.03
Fam13a,0.162,4.82,0.08,0.12,0.02,0.03
Pla2g1b,0.161,3.11,0.52,0.42,0.17,0.15
Ifrd1,0.161,4.16,0.56,0.46,0.13,0.20
Fgf14,0.161,3.94,0.25,0.27,0.06,0.06
Tmem97,0.158,3.71,0.17,0.22,0.05,0.09
Herpud1,0.154,4.49,0.37,0.36,0.08,0.17
Sel1l,0.154,4.43,1.06,0.63,0.24,0.28
Bcat2,0.154,4.50,0.12,0.18,0.03,0.07
Homer2,0.153,4.04,0.10,0.15,0.02,0.05
Tent5c,0.152,3.94,0.13,0.18,0.03,0.08
Slc1a3,0.152,5.72,0.05,0.08,0.01,0.02
Echdc2,0.152,5.41,0.06,0.10,0.01,0.03
Arhgef26,0.150,4.46,0.18,0.23,0.04,0.07
Slc7a8,0.150,3.37,0.16,0.22,0.05,0.10
Arfgef3,0.148,4.35,0.11,0.16,0.03,0.05
Cel,0.148,3.26,2.25,0.78,0.69,0.32
Cela2a,0.146,3.40,0.99,0.54,0.29,0.21
Nphs1,0.146,4.22,0.08,0.10,0.02,0.03
Gls2,0.146,6.05,0.04,0.06,0.01,0.02
5330417C22Rik,0.145,4.24,0.24,0.28,0.06,0.08
