gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Gm2663,0.609,53.55,0.58,0.56,0.01,0.02
Reg3a,0.575,39.67,0.59,0.61,0.01,0.03
1810009J06Rik,0.479,40.50,0.24,0.35,0.01,0.01
Reg3d,0.446,19.19,0.26,0.46,0.01,0.03
Reg3g,0.446,17.97,1.20,0.77,0.07,0.08
Try10,0.442,29.36,1.48,0.71,0.05,0.07
Gm5771,0.398,47.16,0.24,0.23,0.01,0.01
Prss3,0.358,45.41,0.20,0.25,0.00,0.01
Klk1,0.340,11.00,1.57,0.84,0.14,0.14
Gkn3,0.312,13.48,0.21,0.24,0.02,0.02
Gm10334,0.308,18.16,0.14,0.21,0.01,0.02
Tmed6,0.306,7.95,0.11,0.32,0.01,0.03
Ang,0.305,8.71,0.14,0.31,0.02,0.04
Arhgdig,0.292,7.18,0.18,0.37,0.03,0.05
Spink1,0.273,12.17,3.17,0.94,0.26,0.25
Cuzd1,0.271,7.27,0.54,0.62,0.07,0.10
Reg2,0.268,48.93,12.45,0.96,0.25,0.25
Pnliprp2,0.257,5.92,1.25,0.84,0.21,0.19
Tspan1,0.254,8.09,0.05,0.18,0.01,0.01
Erp27,0.248,6.26,0.18,0.41,0.03,0.06
1110038B12Rik,0.235,5.97,0.12,0.27,0.02,0.07
Cela2a,0.234,5.71,1.67,0.87,0.29,0.21
Aqp12,0.233,5.96,0.09,0.27,0.02,0.03
Muc1,0.223,4.65,0.09,0.35,0.02,0.04
Smim22,0.220,6.14,0.07,0.21,0.01,0.03
Tmem97,0.213,4.50,0.21,0.45,0.05,0.09
Reg3b,0.210,23.53,16.22,1.00,0.69,0.37
Pcbd1,0.208,5.57,0.07,0.20,0.01,0.03
Krt18,0.207,4.97,0.62,0.58,0.12,0.13
Gm4744,0.199,16.75,0.03,0.14,0.00,0.01
Prss1,0.197,61.67,0.11,0.11,0.00,0.00
Tmem238,0.184,4.94,0.09,0.31,0.02,0.06
Fkbp11,0.179,4.14,0.10,0.23,0.02,0.05
Tmem147,0.177,3.96,0.11,0.30,0.03,0.09
Ctrl,0.176,4.00,2.78,0.90,0.69,0.31
Hsd17b13,0.174,4.72,0.05,0.16,0.01,0.02
Cela3b,0.174,7.27,8.66,0.99,1.19,0.43
Cldn3,0.171,4.06,0.13,0.35,0.03,0.06
Serpina10,0.171,4.69,0.04,0.16,0.01,0.02
Ggh,0.171,3.38,0.14,0.37,0.04,0.10
Gamt,0.170,4.36,0.14,0.32,0.03,0.07
Sycn,0.167,3.44,3.39,0.96,0.98,0.37
Try4,0.166,9.40,10.08,0.94,1.07,0.42
