gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Chrm2,0.690,162.84,0.28,0.42,0.00,0.00
Car4,0.655,47.44,0.21,0.38,0.00,0.00
Exoc3l2,0.652,57.00,0.34,0.63,0.01,0.01
Gm12002,0.635,82.94,0.21,0.42,0.00,0.00
Aplnr,0.621,33.24,0.21,0.41,0.01,0.01
Ccdc85a,0.605,72.00,0.64,0.72,0.01,0.01
Adgrl4,0.598,55.11,1.55,0.94,0.03,0.03
Emcn,0.582,52.38,1.17,0.92,0.02,0.03
Thrsp,0.580,36.80,0.17,0.39,0.00,0.01
Rgcc,0.572,34.69,0.70,0.71,0.02,0.03
Gpihbp1,0.570,47.53,0.54,0.65,0.01,0.01
Ramp3,0.555,40.63,0.14,0.35,0.00,0.01
Colgalt2,0.537,34.29,0.16,0.39,0.00,0.01
Cd300lg,0.531,37.46,0.51,0.74,0.01,0.02
Aqp1,0.518,40.65,0.59,0.65,0.01,0.02
Bdkrb2,0.491,43.76,0.14,0.36,0.00,0.01
Btnl9,0.488,35.28,0.54,0.62,0.02,0.02
Plvap,0.486,34.53,2.62,0.97,0.08,0.05
Fam167b,0.483,17.42,0.09,0.27,0.01,0.01
Plpp1,0.481,39.76,0.99,0.79,0.02,0.04
Hecw2,0.478,30.27,0.51,0.72,0.02,0.03
Clec14a,0.477,40.30,0.45,0.69,0.01,0.02
Tnfsf10,0.474,28.52,0.38,0.67,0.01,0.03
Mcf2l,0.472,28.16,0.54,0.73,0.02,0.04
Rsad2,0.471,26.85,0.13,0.27,0.01,0.01
Kctd12b,0.469,26.92,0.26,0.50,0.01,0.02
Flt1,0.461,33.49,3.50,0.99,0.10,0.06
Col13a1,0.460,29.86,0.29,0.49,0.01,0.01
Gm32688,0.451,49.63,0.07,0.19,0.00,0.00
Scarb1,0.449,21.43,0.50,0.68,0.02,0.07
Dysf,0.445,38.26,0.52,0.73,0.01,0.02
Rapgef3,0.442,25.96,0.19,0.48,0.01,0.02
Cyyr1,0.441,34.34,1.53,0.95,0.04,0.04
Pcdh12,0.440,32.98,0.09,0.25,0.00,0.01
Robo4,0.436,32.04,0.22,0.51,0.01,0.01
Ushbp1,0.436,37.62,0.33,0.65,0.01,0.01
Grrp1,0.425,23.72,0.14,0.38,0.01,0.01
Pcdh17,0.423,27.17,0.28,0.50,0.01,0.02
Kdr,0.420,29.03,1.57,0.94,0.05,0.04
Rhbdl2,0.414,39.06,0.06,0.18,0.00,0.00
Ephb1,0.413,41.37,0.19,0.40,0.00,0.01
Plscr2,0.409,27.22,0.38,0.64,0.01,0.02
Inhbb,0.408,28.35,0.09,0.22,0.00,0.01
Tmem204,0.407,22.39,0.22,0.50,0.01,0.02
Arhgef15,0.406,28.70,0.23,0.54,0.01,0.01
Ctla2a,0.404,15.14,0.46,0.61,0.03,0.04
Jam3,0.403,36.78,0.27,0.53,0.01,0.02
Ces2e,0.403,32.57,0.04,0.16,0.00,0.00
Hlx,0.398,15.40,0.12,0.31,0.01,0.03
Nostrin,0.398,18.71,0.21,0.47,0.01,0.03
Tmem88,0.397,29.27,0.12,0.35,0.00,0.01
Clic5,0.395,24.96,0.37,0.60,0.01,0.02
Ripply3,0.394,28.27,0.06,0.19,0.00,0.00
Fabp4,0.393,27.15,4.88,0.95,0.18,0.08
Meox1,0.393,21.90,0.14,0.38,0.01,0.01
2610203C22Rik,0.387,10.95,0.06,0.18,0.01,0.02
Shank3,0.386,34.49,0.47,0.73,0.01,0.02
Ly6c1,0.382,24.03,0.98,0.84,0.04,0.04
Myct1,0.382,31.96,0.22,0.52,0.01,0.01
Tcf15,0.378,24.81,0.10,0.25,0.00,0.01
Dok4,0.377,17.53,0.05,0.18,0.00,0.01
Prdm1,0.377,9.64,0.11,0.27,0.01,0.03
Kank3,0.374,27.17,0.19,0.48,0.01,0.02
Zfp366,0.371,24.49,0.38,0.64,0.02,0.02
Tmem252,0.371,27.74,0.06,0.19,0.00,0.00
Tnfrsf10b,0.370,15.86,0.06,0.19,0.00,0.01
Egfl7,0.365,25.22,0.98,0.92,0.04,0.04
Unc45b,0.362,15.38,0.11,0.32,0.01,0.01
Nova2,0.361,33.85,0.16,0.42,0.00,0.01
Esm1,0.361,23.26,0.14,0.20,0.01,0.01
Adgrl2,0.360,19.00,0.48,0.70,0.03,0.06
Arap3,0.359,18.79,0.24,0.54,0.01,0.04
Adgrf5,0.357,23.72,0.94,0.91,0.04,0.04
Chst15,0.357,11.44,0.14,0.36,0.01,0.03
Tek,0.356,22.32,0.56,0.76,0.02,0.04
Hmcn1,0.356,21.79,0.48,0.61,0.02,0.03
Jam2,0.354,25.95,0.34,0.61,0.01,0.02
9530082P21Rik,0.350,24.89,0.06,0.19,0.00,0.01
Lama3,0.348,30.31,0.42,0.66,0.01,0.02
Proser2,0.348,9.88,0.11,0.30,0.01,0.03
Tie1,0.346,26.07,0.34,0.65,0.01,0.02
Cdh5,0.344,27.80,0.82,0.87,0.03,0.03
Esam,0.343,20.68,0.38,0.69,0.02,0.03
Dipk2b,0.342,38.48,0.13,0.32,0.00,0.01
Igfbp3,0.341,23.89,1.09,0.65,0.05,0.04
Rasip1,0.341,20.71,0.32,0.64,0.02,0.02
Rbp7,0.339,24.67,0.44,0.44,0.02,0.01
Eng,0.338,20.23,1.11,0.92,0.05,0.09
Slc43a3,0.337,20.46,0.39,0.67,0.02,0.04
Ets2,0.337,10.70,0.31,0.60,0.03,0.07
Tspan12,0.336,18.73,0.19,0.47,0.01,0.03
Cd34,0.335,15.40,0.60,0.78,0.04,0.05
Pde2a,0.335,7.49,0.28,0.57,0.04,0.10
Ebf3,0.334,14.38,0.18,0.44,0.01,0.02
Plpp3,0.333,18.34,1.74,0.93,0.09,0.12
Abcg2,0.333,16.73,0.28,0.56,0.02,0.05
Fam43a,0.332,8.96,0.11,0.32,0.01,0.03
Col4a2,0.331,16.28,1.44,0.93,0.09,0.10
BC028528,0.329,8.37,0.15,0.40,0.02,0.05
Thbd,0.329,21.35,0.29,0.55,0.01,0.03
Lhx6,0.328,30.59,0.04,0.12,0.00,0.00
Tspan9,0.328,20.65,0.52,0.77,0.03,0.06
Iigp1,0.320,15.03,0.31,0.46,0.02,0.03
Podxl,0.320,24.41,0.76,0.81,0.03,0.04
Rai14,0.317,11.05,0.51,0.73,0.05,0.10
Ptprb,0.316,22.84,2.21,0.98,0.10,0.05
Rasgrp3,0.313,8.93,0.45,0.72,0.05,0.12
Sox18,0.312,18.43,0.30,0.59,0.02,0.02
Erg,0.311,17.05,0.31,0.59,0.02,0.03
Ntf3,0.311,12.59,0.08,0.21,0.01,0.01
B4galt4,0.310,11.87,0.12,0.34,0.01,0.03
Col15a1,0.309,9.97,0.52,0.69,0.05,0.06
Clec1a,0.309,22.22,0.19,0.43,0.01,0.02
Trib2,0.308,6.47,0.12,0.31,0.02,0.05
Ephb4,0.307,18.38,0.20,0.49,0.01,0.03
Ldb2,0.307,28.57,1.71,0.92,0.06,0.06
Foxf1,0.306,24.55,0.04,0.14,0.00,0.00
Fzd4,0.306,16.14,0.21,0.50,0.01,0.03
Id1,0.306,19.86,0.46,0.63,0.02,0.03
Dcbld1,0.305,9.94,0.21,0.44,0.02,0.05
Lmcd1,0.303,16.38,0.14,0.35,0.01,0.02
Bvht,0.302,14.56,0.06,0.20,0.00,0.01
Fgd5,0.302,19.76,0.45,0.75,0.02,0.04
6430548M08Rik,0.301,8.61,0.12,0.34,0.01,0.04
Fat4,0.301,19.56,0.17,0.41,0.01,0.02
C130074G19Rik,0.300,9.41,0.17,0.42,0.02,0.02
Vamp5,0.299,10.62,0.29,0.61,0.03,0.07
Rasal2,0.297,15.16,1.05,0.89,0.07,0.13
Mgll,0.297,17.23,0.98,0.85,0.06,0.08
Mmrn2,0.296,20.84,0.34,0.64,0.02,0.02
Arhgap27,0.296,6.92,0.09,0.26,0.01,0.05
Cd93,0.295,9.66,0.37,0.64,0.04,0.09
Lipe,0.295,7.79,0.11,0.33,0.01,0.05
Ramp2,0.294,22.76,0.29,0.57,0.01,0.03
Pecam1,0.293,12.75,2.02,0.97,0.16,0.21
Csgalnact1,0.293,17.82,0.51,0.72,0.03,0.06
Zfp423,0.292,17.07,0.20,0.43,0.01,0.03
Tead4,0.291,26.84,0.08,0.24,0.00,0.01
Adgrg1,0.291,10.11,0.11,0.34,0.01,0.03
Cmtm8,0.289,9.58,0.14,0.37,0.01,0.04
Col4a1,0.289,14.33,2.09,0.96,0.15,0.12
Lepr,0.288,12.30,0.13,0.31,0.01,0.02
Fmo1,0.287,11.73,0.11,0.30,0.01,0.02
Stc1,0.286,26.53,0.10,0.24,0.00,0.01
Calcrl,0.284,11.03,0.43,0.67,0.04,0.10
Rgl1,0.283,8.60,0.48,0.74,0.06,0.12
Cdh13,0.283,23.60,0.44,0.59,0.02,0.02
Tcim,0.282,7.80,0.21,0.46,0.03,0.05
Snai2,0.281,15.49,0.04,0.13,0.00,0.01
Lims2,0.281,20.52,0.23,0.52,0.01,0.02
Notch4,0.280,18.06,0.12,0.35,0.01,0.01
Pdgfb,0.279,12.06,0.31,0.59,0.03,0.06
Ifi44,0.279,17.20,0.08,0.23,0.00,0.01
Mapk12,0.279,12.58,0.06,0.20,0.00,0.01
Upp1,0.278,15.20,0.07,0.22,0.00,0.01
Dchs1,0.276,14.20,0.05,0.19,0.00,0.01
Id3,0.275,12.53,0.62,0.73,0.05,0.08
Caskin2,0.273,15.44,0.12,0.34,0.01,0.02
Thsd1,0.273,19.76,0.12,0.34,0.01,0.02
Plcb1,0.272,16.59,2.36,0.93,0.14,0.15
Rtl8a,0.272,9.99,0.07,0.22,0.01,0.02
Cd36,0.271,14.31,0.63,0.69,0.04,0.06
Ly6a,0.271,10.72,0.83,0.81,0.08,0.12
Piezo2,0.271,18.79,0.42,0.60,0.02,0.03
Ptprm,0.271,18.29,2.13,0.96,0.12,0.14
Gja1,0.269,12.88,0.19,0.41,0.01,0.03
Arhgap31,0.268,13.91,1.27,0.93,0.09,0.17
Gpr4,0.268,15.94,0.05,0.17,0.00,0.01
Fendrr,0.268,15.98,0.05,0.16,0.00,0.01
Snrk,0.267,11.25,0.60,0.78,0.05,0.14
Adcy4,0.267,19.57,0.11,0.30,0.01,0.01
Acer2,0.267,15.25,0.12,0.30,0.01,0.02
Icam2,0.266,9.18,0.11,0.31,0.01,0.04
Tinagl1,0.266,12.23,0.15,0.36,0.01,0.02
Ptprg,0.266,16.15,2.00,0.93,0.12,0.14
Hspa12b,0.266,15.85,0.14,0.36,0.01,0.02
Slco2a1,0.265,13.86,0.21,0.29,0.01,0.03
Galnt15,0.265,12.75,0.12,0.32,0.01,0.02
C1qtnf9,0.264,21.09,0.04,0.13,0.00,0.01
Samd12,0.263,18.20,0.37,0.57,0.02,0.03
Grasp,0.262,10.03,0.09,0.28,0.01,0.03
Acvrl1,0.261,12.79,0.24,0.53,0.02,0.05
Cdc42ep2,0.261,12.33,0.07,0.21,0.01,0.02
Fam57b,0.260,14.91,0.04,0.11,0.00,0.01
Myo6,0.259,11.03,0.47,0.73,0.04,0.09
Irx3,0.259,27.34,0.04,0.12,0.00,0.00
AW112010,0.258,5.01,0.35,0.59,0.07,0.13
Sema6b,0.258,13.35,0.04,0.13,0.00,0.01
Thbs1,0.258,5.60,0.33,0.47,0.06,0.09
Ptgs1,0.258,7.20,0.10,0.28,0.01,0.05
Chst2,0.257,6.01,0.14,0.34,0.02,0.04
Chst7,0.257,13.59,0.04,0.13,0.00,0.01
Slco2b1,0.254,6.13,0.17,0.37,0.03,0.07
Rnf220,0.254,10.65,0.37,0.58,0.03,0.11
Ccm2l,0.254,21.85,0.09,0.28,0.00,0.01
Dnm3,0.253,21.47,0.42,0.58,0.02,0.03
Pik3r3,0.252,15.13,0.20,0.40,0.01,0.03
Nxpe2,0.252,22.90,0.04,0.12,0.00,0.01
Sox7,0.252,17.41,0.06,0.20,0.00,0.01
Lpar6,0.251,5.03,0.08,0.22,0.02,0.06
