gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
C130074G19Rik,0.261,7.98,0.23,0.19,0.03,0.07
Fam167b,0.243,4.62,0.07,0.07,0.01,0.04
Fabp4,0.236,3.15,2.40,0.68,0.76,0.18
Aplnr,0.219,2.70,0.09,0.08,0.03,0.06
Unc45b,0.206,4.78,0.09,0.09,0.02,0.05
Car4,0.195,2.38,0.08,0.06,0.03,0.06
Ctla2a,0.194,3.18,0.26,0.19,0.08,0.12
Kdr,0.194,3.04,0.74,0.43,0.24,0.16
Btnl9,0.193,2.58,0.21,0.17,0.08,0.10
Rgcc,0.192,2.18,0.24,0.19,0.11,0.13
Rflnb,0.190,7.25,0.57,0.31,0.08,0.15
Esm1,0.184,4.33,0.09,0.06,0.02,0.03
Plvap,0.183,2.43,0.98,0.50,0.40,0.16
Gpihbp1,0.180,2.06,0.17,0.14,0.08,0.10
Erg,0.178,4.23,0.21,0.19,0.05,0.10
Igfbp3,0.177,2.59,0.46,0.28,0.18,0.12
Cd300lg,0.170,2.15,0.17,0.16,0.08,0.12
Aqp1,0.168,2.10,0.19,0.16,0.09,0.11
Adgrf5,0.166,2.96,0.45,0.34,0.15,0.15
Thrsp,0.164,2.67,0.07,0.06,0.03,0.06
Sox18,0.162,3.86,0.19,0.17,0.05,0.10
Ly6c1,0.161,2.56,0.41,0.30,0.16,0.15
Arhgef15,0.156,2.90,0.10,0.12,0.04,0.09
Flt1,0.155,2.25,1.23,0.62,0.55,0.17
Grrp1,0.154,3.37,0.07,0.07,0.02,0.06
Egfl7,0.153,2.57,0.41,0.33,0.16,0.16
Cyyr1,0.152,2.16,0.51,0.34,0.24,0.16
Clic5,0.150,2.95,0.17,0.14,0.06,0.10
Zfp979,0.149,5.26,0.05,0.05,0.01,0.03
Rsad2,0.147,2.34,0.05,0.05,0.02,0.04
Bvht,0.147,4.69,0.05,0.05,0.01,0.03
Exoc3l2,0.141,1.59,0.08,0.08,0.05,0.10
Cd34,0.141,2.53,0.28,0.23,0.11,0.15
Rbp7,0.140,2.66,0.19,0.12,0.07,0.07
Mgll,0.138,2.73,0.47,0.32,0.17,0.18
Prdm1,0.138,2.68,0.06,0.06,0.02,0.06
Rasip1,0.137,2.91,0.16,0.15,0.05,0.11
Tmem252,0.137,3.44,0.03,0.03,0.01,0.03
Ptprb,0.136,2.63,0.96,0.52,0.36,0.16
Emcn,0.136,1.45,0.26,0.23,0.18,0.15
Meox1,0.134,3.13,0.07,0.07,0.02,0.06
Ripply3,0.134,2.81,0.03,0.03,0.01,0.03
Adgrl4,0.134,1.42,0.34,0.26,0.24,0.15
Eng,0.133,2.34,0.45,0.33,0.19,0.20
Pcdh17,0.132,2.25,0.10,0.09,0.05,0.08
Ces2e,0.128,3.76,0.02,0.02,0.01,0.02
Col4a1,0.128,2.15,0.85,0.50,0.40,0.23
Tcf15,0.127,2.83,0.05,0.05,0.02,0.04
Iigp1,0.126,2.51,0.14,0.12,0.06,0.09
Slco2a1,0.126,2.64,0.10,0.09,0.04,0.06
Epas1,0.125,2.95,0.57,0.39,0.19,0.18
Robo4,0.125,2.55,0.09,0.08,0.03,0.08
Clec14a,0.125,1.69,0.12,0.12,0.07,0.11
Chst15,0.124,2.46,0.07,0.08,0.03,0.08
Col15a1,0.124,2.10,0.23,0.18,0.11,0.15
Mmrn2,0.123,2.94,0.17,0.15,0.06,0.11
Col4a2,0.122,1.86,0.50,0.36,0.27,0.21
Cxcl12,0.122,2.81,0.24,0.18,0.09,0.11
Tie1,0.122,2.48,0.14,0.14,0.06,0.11
Cdh5,0.120,2.16,0.29,0.24,0.13,0.15
Jcad,0.119,4.94,0.12,0.12,0.02,0.07
Plscr2,0.119,1.94,0.12,0.12,0.06,0.11
Pcdh12,0.118,2.23,0.03,0.03,0.01,0.04
Plpp3,0.117,1.61,0.51,0.36,0.32,0.23
Chst2,0.117,2.50,0.09,0.08,0.04,0.09
Pecam1,0.117,1.69,0.69,0.45,0.41,0.31
Slc9a3r2,0.117,3.11,0.23,0.19,0.07,0.12
Slfn5,0.117,2.86,0.33,0.26,0.12,0.22
Fam43a,0.116,3.09,0.07,0.06,0.02,0.07
Ly6a,0.115,2.13,0.37,0.28,0.17,0.21
Id1,0.114,2.24,0.18,0.16,0.08,0.11
Igfbp7,0.113,2.00,1.46,0.61,0.73,0.28
