gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Kcnmb2,0.675,187.74,1.13,0.67,0.01,0.01
Pcsk2,0.672,1117.66,3.46,0.78,0.00,0.01
Fam155a,0.663,458.52,2.16,0.74,0.00,0.01
Map3k15,0.637,107.57,0.38,0.52,0.00,0.01
Robo2,0.636,119.93,1.45,0.59,0.01,0.02
A230057D06Rik,0.616,480.00,1.17,0.70,0.00,0.01
Gnao1,0.613,133.09,0.54,0.70,0.00,0.01
Kcnma1,0.607,81.19,0.73,0.63,0.01,0.02
Peg3,0.604,65.45,0.81,0.67,0.01,0.03
Ksr2,0.598,58.69,0.22,0.48,0.00,0.01
Rims2,0.573,151.87,0.39,0.56,0.00,0.01
Agbl4,0.569,133.82,0.51,0.56,0.00,0.01
Hs6st3,0.566,462.32,1.71,0.74,0.00,0.00
Nell1,0.556,94.55,0.51,0.52,0.01,0.01
Fgf12,0.547,64.47,0.73,0.52,0.01,0.02
Ctnna2,0.538,52.90,0.40,0.52,0.01,0.01
Ptprt,0.527,58.62,0.46,0.48,0.01,0.01
Chic1,0.520,50.30,0.32,0.41,0.01,0.02
Nrg1,0.519,239.99,1.44,0.37,0.01,0.01
Iapp,0.512,178.93,2.76,0.44,0.02,0.02
Scg5,0.512,53.84,0.14,0.37,0.00,0.01
Cadps,0.511,972.43,0.94,0.70,0.00,0.00
Phactr1,0.506,158.50,2.93,0.63,0.02,0.04
Ddc,0.505,69.55,0.32,0.37,0.00,0.01
Nrxn1,0.504,74.76,0.80,0.59,0.01,0.01
Slc16a10,0.502,21.48,0.82,0.74,0.04,0.09
Ptprn2,0.492,47.07,2.70,0.74,0.06,0.06
Trpm3,0.487,107.08,0.67,0.33,0.01,0.01
Abcc8,0.487,671.05,0.63,0.59,0.00,0.00
Gck,0.484,36.43,0.24,0.48,0.01,0.01
Tmem178b,0.472,69.18,0.33,0.56,0.00,0.01
Cerkl,0.466,58.10,0.15,0.33,0.00,0.01
Klhl32,0.465,166.88,0.41,0.48,0.00,0.01
Kcnip1,0.463,46.70,0.65,0.41,0.01,0.03
Dpp10,0.459,151.33,0.59,0.37,0.00,0.01
Nalcn,0.457,110.53,0.33,0.48,0.00,0.01
Negr1,0.447,56.06,0.45,0.48,0.01,0.02
Cxxc4,0.442,15.78,0.11,0.41,0.01,0.02
Camk2b,0.441,25.44,0.16,0.33,0.01,0.02
Kcnip4,0.440,13.70,0.43,0.52,0.03,0.03
Chga,0.440,1519.45,2.10,0.56,0.00,0.00
Sphkap,0.438,577.02,0.56,0.56,0.00,0.00
Tenm2,0.434,18.64,0.50,0.63,0.03,0.04
Sdk2,0.430,69.22,0.19,0.33,0.00,0.01
Cntnap2,0.427,80.16,2.37,0.41,0.03,0.05
Esrrg,0.427,82.04,0.29,0.41,0.00,0.01
Unc5c,0.424,39.54,0.31,0.37,0.01,0.01
Scg3,0.423,557.63,0.55,0.52,0.00,0.00
Slc7a2,0.421,43.07,0.74,0.48,0.02,0.03
Hepacam2,0.417,67.57,0.15,0.37,0.00,0.01
Jade3,0.415,18.28,0.18,0.30,0.01,0.03
Rgs7,0.415,165.78,0.31,0.52,0.00,0.00
Tox3,0.415,17.97,0.29,0.44,0.02,0.04
Ctnnd2,0.414,24.70,0.68,0.67,0.03,0.04
Pacrg,0.411,24.50,0.18,0.44,0.01,0.02
Unc79,0.408,18.13,0.22,0.44,0.01,0.02
Slc7a14,0.404,369.43,0.31,0.56,0.00,0.00
St18,0.404,10.03,0.31,0.52,0.03,0.06
Gcg,0.394,151.40,2.70,0.30,0.02,0.04
Dach1,0.394,18.87,0.76,0.63,0.04,0.07
Glp1r,0.389,39.67,0.13,0.30,0.00,0.01
Scg2,0.388,340.54,0.51,0.44,0.00,0.00
A330076H08Rik,0.386,870.89,0.51,0.52,0.00,0.00
Nol4,0.384,711.42,0.51,0.59,0.00,0.00
Myt1l,0.380,490.02,0.37,0.52,0.00,0.00
Rimbp2,0.380,541.57,0.42,0.59,0.00,0.00
Unc80,0.379,1055.18,0.42,0.67,0.00,0.00
Sgcz,0.377,233.47,0.64,0.33,0.00,0.01
Meg3,0.376,48.69,2.05,0.70,0.04,0.05
Mdm1,0.374,14.29,0.08,0.26,0.01,0.02
Gstz1,0.374,17.66,0.23,0.52,0.01,0.04
Plag1,0.369,15.15,0.08,0.26,0.01,0.02
Xkr6,0.368,16.25,0.20,0.41,0.01,0.03
Wnt4,0.365,21.28,0.16,0.37,0.01,0.02
Aff2,0.362,23.62,0.14,0.22,0.01,0.01
Grip1,0.362,19.35,0.14,0.41,0.01,0.02
Rian,0.361,24.70,0.31,0.59,0.01,0.02
Zdhhc2,0.360,26.44,0.21,0.41,0.01,0.03
Cep70,0.360,11.43,0.15,0.37,0.01,0.05
Sobp,0.357,15.18,0.16,0.44,0.01,0.03
Osbpl6,0.354,15.71,0.12,0.33,0.01,0.02
Slc24a2,0.353,600.34,0.55,0.63,0.00,0.00
Eml5,0.351,10.38,0.24,0.48,0.02,0.06
Epb41l3,0.351,33.74,0.24,0.52,0.01,0.02
Spock2,0.350,42.91,0.15,0.33,0.00,0.01
Jazf1,0.349,14.59,0.29,0.44,0.02,0.05
Slc30a8,0.349,2739.72,1.18,0.56,0.00,0.00
Abat,0.348,18.65,0.13,0.37,0.01,0.02
Pclo,0.345,17.17,0.57,0.44,0.03,0.06
Fmn2,0.345,469.75,0.48,0.48,0.00,0.00
Bace2,0.343,12.45,0.13,0.26,0.01,0.03
Cacna1a,0.343,11.58,0.53,0.63,0.05,0.08
Dlg2,0.342,16.84,0.72,0.37,0.04,0.06
Kcnc3,0.340,29.34,0.07,0.26,0.00,0.01
Usp35,0.340,18.56,0.08,0.19,0.00,0.02
Rph3al,0.338,10.24,0.22,0.48,0.02,0.06
Etv1,0.336,13.74,0.20,0.44,0.01,0.05
Cux2,0.335,25.68,0.11,0.30,0.00,0.01
Castor2,0.332,9.93,0.12,0.30,0.01,0.04
Mlxipl,0.330,51.13,0.11,0.26,0.00,0.01
Cacna1d,0.330,9.84,0.67,0.67,0.07,0.13
Isl1,0.325,95.37,0.14,0.37,0.00,0.01
Cacna2d1,0.325,20.43,0.56,0.63,0.03,0.05
Ttr,0.323,14.29,0.24,0.33,0.02,0.03
Cpe,0.322,39.14,0.50,0.52,0.01,0.03
Gm10800,0.321,34.35,0.80,0.26,0.02,0.02
Abcb9,0.321,21.43,0.09,0.26,0.00,0.02
Lrp11,0.319,95.90,0.11,0.33,0.00,0.00
Cacna1c,0.319,17.38,0.59,0.44,0.03,0.03
Plch1,0.318,14.84,0.10,0.26,0.01,0.02
Ahi1,0.318,10.61,0.16,0.41,0.02,0.05
Pak3,0.315,36.08,0.13,0.33,0.00,0.01
Sgsm1,0.314,26.64,0.09,0.30,0.00,0.01
St6galnac5,0.311,39.78,0.16,0.19,0.00,0.01
Asic2,0.310,76.00,0.62,0.22,0.01,0.01
Papss2,0.308,9.37,0.15,0.26,0.02,0.04
Cacnb2,0.308,25.12,1.36,0.63,0.05,0.07
Tmem108,0.307,11.17,0.14,0.30,0.01,0.03
Prlr,0.307,54.07,0.20,0.26,0.00,0.01
Runx1t1,0.307,13.56,0.21,0.52,0.02,0.04
Zcchc18,0.303,35.96,0.09,0.19,0.00,0.01
Kcnip3,0.303,16.99,0.10,0.19,0.01,0.02
Stxbp5l,0.301,68.85,0.26,0.26,0.00,0.01
Kif21a,0.301,12.45,0.21,0.52,0.02,0.04
Otud7a,0.300,146.44,0.20,0.33,0.00,0.00
Pde10a,0.299,15.45,0.37,0.41,0.02,0.06
Tmem163,0.297,4.69,0.21,0.41,0.05,0.06
Entpd3,0.297,64.15,0.12,0.30,0.00,0.00
Vdr,0.297,24.72,0.06,0.19,0.00,0.01
Med12l,0.295,10.40,0.09,0.30,0.01,0.03
Cplx2,0.293,16.90,0.09,0.26,0.01,0.01
Mpped2,0.292,10.49,0.09,0.22,0.01,0.02
Rragb,0.291,10.57,0.07,0.26,0.01,0.02
Syt7,0.287,13.41,0.09,0.37,0.01,0.02
Nav3,0.287,10.82,0.25,0.30,0.02,0.04
Auts2,0.286,21.07,1.43,0.67,0.07,0.10
Il1r1,0.286,9.23,0.39,0.48,0.04,0.09
Tent5d,0.285,68.12,0.09,0.19,0.00,0.01
Syt13,0.284,532.64,0.25,0.44,0.00,0.00
Adgrv1,0.284,11.17,0.07,0.30,0.01,0.02
Gm609,0.284,11.43,0.12,0.19,0.01,0.02
Maob,0.284,34.06,0.12,0.30,0.00,0.01
Sntg1,0.284,17.60,0.32,0.33,0.02,0.02
Slc38a4,0.283,22.37,0.10,0.30,0.00,0.01
Zdbf2,0.283,99.64,0.16,0.33,0.00,0.00
Hap1,0.282,81.65,0.09,0.30,0.00,0.00
Adgrb3,0.282,212.91,0.28,0.44,0.00,0.00
Rps6ka2,0.281,9.91,0.21,0.30,0.02,0.06
Ccser1,0.281,11.86,0.94,0.63,0.08,0.11
Klhl7,0.280,7.50,0.17,0.48,0.02,0.07
Sfxn2,0.279,7.59,0.06,0.22,0.01,0.03
Map2,0.278,10.55,0.36,0.59,0.03,0.07
Kcnb1,0.278,5.53,0.07,0.30,0.01,0.03
Fhod3,0.278,34.24,0.14,0.30,0.00,0.01
