gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Adgre1,0.687,41.30,0.57,0.85,0.01,0.02
Fcrls,0.666,40.58,0.46,0.66,0.01,0.02
Ms4a7,0.666,39.52,0.82,0.84,0.02,0.03
Aoah,0.639,30.77,0.29,0.60,0.01,0.02
C3ar1,0.633,28.93,0.26,0.65,0.01,0.01
Ms4a6d,0.628,37.97,0.27,0.71,0.01,0.02
Hpgds,0.615,27.13,0.23,0.56,0.01,0.02
Ms4a4a,0.607,35.94,0.11,0.33,0.00,0.01
Ms4a14,0.607,36.85,0.10,0.34,0.00,0.00
Gm21188,0.604,43.37,0.12,0.40,0.00,0.01
Fcgr3,0.593,28.37,0.24,0.65,0.01,0.02
Fcgr1,0.586,37.34,0.16,0.55,0.00,0.01
Csf3r,0.583,13.64,0.11,0.41,0.01,0.01
F13a1,0.562,35.82,0.63,0.57,0.02,0.02
Tlr8,0.558,37.24,0.07,0.27,0.00,0.00
Tlr7,0.558,26.02,0.11,0.40,0.00,0.01
Apobec1,0.550,28.23,1.00,0.90,0.04,0.07
Lilr4b,0.543,20.25,0.13,0.40,0.01,0.01
Cx3cr1,0.539,32.35,0.27,0.53,0.01,0.02
C1qb,0.536,33.40,0.93,0.76,0.03,0.03
Trem2,0.535,26.83,0.38,0.68,0.01,0.02
Apoc2,0.532,26.83,0.11,0.32,0.00,0.01
Lilrb4a,0.529,21.43,0.23,0.64,0.01,0.02
Tlr13,0.528,32.34,0.06,0.27,0.00,0.00
Ptafr,0.524,28.12,0.11,0.39,0.00,0.01
Siglec1,0.520,37.52,0.06,0.26,0.00,0.00
Csf1r,0.518,31.17,0.59,0.88,0.02,0.04
C5ar1,0.513,19.79,0.10,0.37,0.01,0.01
Cd300c2,0.512,26.02,0.27,0.67,0.01,0.02
Folr2,0.509,24.95,0.08,0.27,0.00,0.01
P2ry12,0.506,28.04,0.11,0.38,0.00,0.01
Chil3,0.504,32.52,0.15,0.31,0.00,0.01
Tbxas1,0.502,26.79,0.33,0.71,0.01,0.02
Pstpip2,0.502,21.40,0.19,0.51,0.01,0.02
Pla2g7,0.490,26.78,0.27,0.64,0.01,0.02
Mrc1,0.489,34.53,0.97,0.76,0.03,0.04
Cd68,0.488,20.49,0.26,0.62,0.01,0.03
C1qc,0.485,21.58,0.45,0.65,0.02,0.03
Rnf180,0.478,24.02,0.20,0.56,0.01,0.02
Arhgap19,0.476,17.01,0.07,0.28,0.00,0.01
Cd300lb,0.473,21.51,0.07,0.29,0.00,0.01
Clec4a2,0.472,24.15,0.07,0.30,0.00,0.01
Aif1,0.471,16.80,0.19,0.52,0.01,0.02
Ccl6,0.470,23.11,0.15,0.39,0.01,0.02
C1qa,0.469,26.50,1.06,0.75,0.04,0.04
P2ry6,0.467,25.80,0.19,0.62,0.01,0.02
Arhgap22,0.463,21.43,0.34,0.69,0.02,0.03
Clec4a3,0.460,24.53,0.12,0.42,0.00,0.01
Ccr1,0.459,20.71,0.09,0.31,0.00,0.01
Clec12a,0.457,22.77,0.18,0.55,0.01,0.02
Gm5086,0.454,18.70,0.10,0.35,0.01,0.01
Ccr5,0.446,16.82,0.27,0.58,0.02,0.03
Msr1,0.444,25.06,0.14,0.43,0.01,0.01
Igsf6,0.441,15.45,0.10,0.42,0.01,0.01
Gpr160,0.440,19.34,0.06,0.24,0.00,0.01
Syngr1,0.436,14.86,0.09,0.33,0.01,0.01
Nxpe5,0.435,30.22,0.07,0.28,0.00,0.01
Lst1,0.435,16.95,0.28,0.64,0.02,0.04
Gpr34,0.434,16.22,0.06,0.24,0.00,0.01
Lrrc25,0.432,21.82,0.06,0.28,0.00,0.01
Rab3il1,0.429,12.06,0.14,0.52,0.01,0.03
Lacc1,0.426,20.15,0.14,0.49,0.01,0.02
Cd33,0.422,19.31,0.06,0.27,0.00,0.01
Lair1,0.419,15.04,0.11,0.40,0.01,0.01
Arl11,0.412,13.54,0.04,0.24,0.00,0.01
Slc37a2,0.412,19.24,0.08,0.31,0.00,0.01
Mpeg1,0.410,17.22,0.54,0.83,0.03,0.05
Pirb,0.405,15.18,0.15,0.53,0.01,0.03
Itgam,0.403,19.01,0.26,0.65,0.01,0.03
Slc11a1,0.401,18.57,0.06,0.28,0.00,0.01
Gm13710,0.398,24.03,0.05,0.19,0.00,0.01
Sh3bp2,0.398,9.21,0.11,0.45,0.01,0.04
Clec4a1,0.397,20.87,0.06,0.26,0.00,0.01
Pla2g15,0.396,11.64,0.09,0.40,0.01,0.02
Itgb5,0.395,15.48,0.51,0.78,0.03,0.08
Pilra,0.393,18.00,0.05,0.23,0.00,0.01
Mfsd12,0.390,12.60,0.05,0.22,0.00,0.01
Cd14,0.388,10.64,0.15,0.42,0.01,0.03
Cd300ld,0.388,11.47,0.05,0.23,0.00,0.01
F630028O10Rik,0.386,19.52,0.12,0.34,0.01,0.02
Ccl9,0.382,17.87,0.12,0.37,0.01,0.01
Ms4a6c,0.381,10.53,0.37,0.76,0.04,0.09
Ifi207,0.380,10.83,0.19,0.59,0.02,0.04
Slc15a3,0.380,11.99,0.12,0.41,0.01,0.03
