gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Fgf1,0.702,110.11,0.63,0.69,0.01,0.02
Wt1,0.653,117.61,0.44,0.62,0.00,0.01
Igfbp6,0.650,67.42,1.42,0.81,0.02,0.03
Adgrd1,0.643,69.01,0.45,0.67,0.01,0.01
Upk3b,0.640,2303.63,0.87,0.73,0.00,0.00
Gas1,0.580,54.24,0.54,0.63,0.01,0.02
Efemp1,0.570,37.51,0.57,0.65,0.02,0.02
Ildr2,0.569,45.41,0.35,0.60,0.01,0.02
Cfb,0.565,46.37,0.51,0.68,0.01,0.03
C2,0.563,66.19,0.31,0.58,0.00,0.02
Ptgis,0.562,39.65,0.35,0.66,0.01,0.02
Lrrn4,0.553,3286.43,0.36,0.62,0.00,0.00
Osr1,0.551,122.28,0.28,0.47,0.00,0.01
Gpm6a,0.541,192.91,0.96,0.69,0.00,0.01
Rspo1,0.535,523.90,0.34,0.56,0.00,0.00
Muc16,0.533,2054.36,0.84,0.60,0.00,0.00
Cldn15,0.530,62.70,0.15,0.41,0.00,0.01
C3,0.525,74.87,7.31,0.94,0.10,0.07
Pkhd1l1,0.521,199.24,0.62,0.66,0.00,0.01
Cdh11,0.502,26.61,0.43,0.59,0.02,0.03
Tmeff2,0.502,27.52,0.27,0.48,0.01,0.02
Fbln1,0.499,26.84,0.33,0.56,0.01,0.02
Slpi,0.493,54.19,0.51,0.34,0.01,0.01
Wt1os,0.491,138.19,0.20,0.47,0.00,0.00
Bnc2,0.491,24.01,0.58,0.65,0.02,0.03
Tmem119,0.489,18.52,0.14,0.35,0.01,0.03
Igfbp5,0.489,78.01,3.62,0.88,0.05,0.03
Gm12840,0.487,15.38,0.22,0.42,0.01,0.03
Bst1,0.487,24.80,0.13,0.31,0.01,0.02
Nkain4,0.484,382.01,0.27,0.52,0.00,0.00
Aebp1,0.483,34.81,1.15,0.84,0.03,0.06
Slc16a1,0.480,33.92,0.16,0.35,0.00,0.02
Stk26,0.475,11.93,0.19,0.50,0.02,0.05
Dcn,0.472,24.22,5.17,0.96,0.21,0.08
Cdon,0.469,21.09,0.48,0.67,0.02,0.06
Flrt2,0.467,32.40,0.95,0.72,0.03,0.06
Kcnd2,0.458,78.98,0.22,0.38,0.00,0.01
Nbl1,0.455,23.44,0.30,0.55,0.01,0.03
Msln,0.453,642.29,0.37,0.47,0.00,0.00
Podn,0.452,26.95,0.19,0.40,0.01,0.02
Col6a5,0.451,112.33,0.27,0.42,0.00,0.00
C1ra,0.451,25.73,0.22,0.50,0.01,0.02
Ppl,0.450,35.03,0.19,0.44,0.01,0.02
C1s1,0.450,23.63,0.51,0.69,0.02,0.04
Lgals7,0.442,236.94,0.27,0.38,0.00,0.00
Upk1b,0.436,5576.19,0.23,0.51,0.00,0.00
Sulf1,0.431,29.67,0.77,0.65,0.03,0.04
Serping1,0.429,29.64,1.40,0.80,0.05,0.05
Kank1,0.429,24.80,0.20,0.46,0.01,0.02
Ccdc80,0.418,18.75,0.62,0.64,0.03,0.05
Lvrn,0.414,29.40,0.22,0.46,0.01,0.01
Adamtsl1,0.401,32.88,1.00,0.73,0.03,0.05
Sntg1,0.400,55.36,0.64,0.43,0.01,0.01
Col6a6,0.398,17.11,0.21,0.44,0.01,0.02
Zbtb7c,0.396,28.05,0.24,0.50,0.01,0.02
Enpp2,0.391,28.72,0.74,0.47,0.03,0.05
Rbfox1,0.389,134.54,0.59,0.33,0.00,0.01
Efna5,0.383,24.37,0.69,0.69,0.03,0.04
Myrf,0.369,14.25,0.13,0.35,0.01,0.02
Cyp2s1,0.367,80.97,0.12,0.30,0.00,0.00
Pdpn,0.363,19.62,0.16,0.39,0.01,0.02
Lrp2,0.363,188.96,0.18,0.39,0.00,0.00
Greb1l,0.362,27.08,0.12,0.24,0.00,0.01
Col4a6,0.354,25.32,0.11,0.35,0.00,0.01
Wnt5a,0.352,23.86,0.12,0.30,0.01,0.01
Oasl2,0.352,10.17,0.13,0.34,0.01,0.04
Slc4a4,0.351,15.51,0.36,0.56,0.02,0.04
Slc39a8,0.351,19.42,0.14,0.23,0.01,0.02
Tmem151a,0.350,336.59,0.13,0.36,0.00,0.00
Boc,0.349,12.64,0.12,0.36,0.01,0.02
Zfp185,0.349,183.66,0.14,0.31,0.00,0.00
Arhgap28,0.343,12.42,0.25,0.54,0.02,0.05
Kcnab1,0.342,15.38,0.23,0.32,0.01,0.02
Mras,0.340,16.68,0.09,0.30,0.01,0.02
Rarres2,0.338,78.02,1.37,0.71,0.02,0.03
Ano1,0.337,16.79,0.45,0.57,0.03,0.05
Sema5a,0.335,11.65,0.59,0.73,0.05,0.07
Ptpn13,0.334,16.29,0.44,0.68,0.03,0.06
Tmem108,0.334,19.02,0.20,0.34,0.01,0.03
Neo1,0.334,14.39,0.36,0.62,0.03,0.07
Ogn,0.331,10.20,0.25,0.47,0.02,0.03
Hoxa5,0.331,23.33,0.08,0.24,0.00,0.01
Ninl,0.330,12.89,0.09,0.26,0.01,0.02
Colec12,0.328,11.80,0.49,0.58,0.04,0.08
Tmem98,0.326,21.78,0.08,0.21,0.00,0.01
Celf4,0.324,23.77,0.12,0.31,0.01,0.01
Twsg1,0.322,16.78,0.32,0.52,0.02,0.06
Smpd3,0.318,16.77,0.18,0.36,0.01,0.02
Gpc3,0.318,11.65,0.23,0.42,0.02,0.03
Espn,0.316,18.42,0.05,0.20,0.00,0.01
Csrp2,0.315,12.31,0.77,0.75,0.06,0.12
Hspb8,0.315,19.07,0.08,0.23,0.00,0.01
Mpp6,0.315,11.84,0.52,0.66,0.04,0.12
Abcb1b,0.314,9.57,0.10,0.21,0.01,0.04
1010001N08Rik,0.311,11.89,0.14,0.33,0.01,0.03
Flrt1,0.311,25.15,0.10,0.31,0.00,0.01
Aldh1a2,0.309,10.20,0.19,0.43,0.02,0.03
Ap4e1,0.309,9.83,0.20,0.40,0.02,0.07
Ifi205,0.308,15.43,0.12,0.31,0.01,0.02
Dkk3,0.307,17.63,0.08,0.23,0.00,0.01
Krt19,0.305,9.22,0.32,0.49,0.03,0.06
Mettl7a1,0.304,10.56,0.09,0.28,0.01,0.03
Clec3b,0.303,9.48,0.20,0.33,0.02,0.02
Cdh12,0.302,44.16,0.12,0.25,0.00,0.01
Ahnak2,0.301,13.62,0.13,0.33,0.01,0.03
Il16,0.300,7.67,0.22,0.49,0.03,0.10
Bnc1,0.300,1098.47,0.12,0.37,0.00,0.00
Plxna4,0.298,12.41,0.68,0.67,0.05,0.10
Bicd1,0.296,23.99,0.53,0.60,0.02,0.05
Gm49708,0.295,33.18,0.08,0.22,0.00,0.01
Gbp2,0.294,7.53,0.16,0.37,0.02,0.06
Gm765,0.294,9.24,0.10,0.28,0.01,0.02
Mmp23,0.292,14.07,0.08,0.26,0.01,0.01
Mpzl2,0.292,23.76,0.06,0.18,0.00,0.01
Gpr39,0.291,10.69,0.19,0.38,0.02,0.03
Col4a5,0.291,9.68,0.16,0.43,0.02,0.04
Cldn10,0.291,9.52,0.08,0.27,0.01,0.02
Zfpm2,0.291,14.00,0.75,0.64,0.05,0.07
Lrrc1,0.288,10.12,0.20,0.47,0.02,0.06
Wdr17,0.285,41.25,0.13,0.31,0.00,0.01
Sulf2,0.285,8.93,0.15,0.36,0.02,0.05
Prlr,0.284,69.72,0.17,0.32,0.00,0.00
Vit,0.281,10.97,0.10,0.29,0.01,0.02
Gsta4,0.281,18.95,0.07,0.19,0.00,0.01
Nkd1,0.278,17.48,0.08,0.25,0.00,0.01
Isoc1,0.277,6.23,0.10,0.31,0.02,0.06
Il17re,0.276,13.43,0.05,0.20,0.00,0.01
Tiparp,0.276,6.26,0.13,0.34,0.02,0.07
Wfdc1,0.273,55.00,0.09,0.23,0.00,0.01
Il1rapl1,0.270,33.26,0.52,0.54,0.02,0.03
Fmod,0.270,16.70,0.10,0.24,0.01,0.01
P3h4,0.270,11.64,0.07,0.21,0.01,0.02
Lratd2,0.270,6.65,0.06,0.21,0.01,0.03
Zfhx4,0.269,16.75,0.29,0.49,0.02,0.03
Il18,0.268,9.69,0.06,0.16,0.01,0.02
Dhrs9,0.268,29.49,0.06,0.22,0.00,0.01
Nlgn1,0.263,61.57,0.34,0.36,0.01,0.01
Npr1,0.263,7.25,0.12,0.37,0.02,0.05
Pdzrn3,0.262,8.53,0.42,0.59,0.05,0.07
Rgma,0.262,12.58,0.10,0.26,0.01,0.02
Krt7,0.261,10.65,0.08,0.21,0.01,0.02
Ldhb,0.261,13.57,0.10,0.29,0.01,0.03
Grem2,0.261,36.75,0.09,0.23,0.00,0.00
Ar,0.260,6.75,0.30,0.56,0.04,0.09
Mmp19,0.260,7.68,0.04,0.14,0.01,0.02
Trf,0.258,6.20,0.28,0.47,0.05,0.11
Gsta3,0.257,14.65,0.07,0.17,0.00,0.01
Myo5b,0.257,7.16,0.16,0.36,0.02,0.04
Plekhh2,0.255,13.96,0.12,0.34,0.01,0.02
Fras1,0.254,17.94,0.14,0.26,0.01,0.02
Dpp4,0.254,8.05,0.40,0.56,0.05,0.11
Slc9a3r1,0.253,6.35,0.17,0.42,0.03,0.09
Ifi204,0.252,4.40,0.08,0.26,0.02,0.06
Ptgs1,0.251,3.59,0.09,0.29,0.03,0.08
Smo,0.250,9.27,0.12,0.36,0.01,0.04
Cyp2d22,0.250,7.16,0.16,0.41,0.02,0.07
Adgrg2,0.249,55.77,0.07,0.20,0.00,0.00
Gas6,0.249,8.01,0.88,0.78,0.11,0.19
Bend7,0.248,8.54,0.12,0.36,0.01,0.04
Mmp16,0.248,11.34,0.08,0.19,0.01,0.01
Cobl,0.247,8.09,0.19,0.43,0.02,0.04
Fndc1,0.246,21.70,0.37,0.42,0.02,0.02
Tkfc,0.246,9.61,0.03,0.15,0.00,0.01
Abi3bp,0.246,12.35,0.26,0.49,0.02,0.03
Gata6,0.245,9.19,0.18,0.43,0.02,0.04
Cybrd1,0.244,112.69,0.10,0.25,0.00,0.00
H6pd,0.244,7.38,0.09,0.23,0.01,0.04
Sbsn,0.243,13.89,0.05,0.14,0.00,0.01
Ncoa4,0.243,5.63,0.11,0.31,0.02,0.07
Col4a4,0.242,16.50,0.08,0.19,0.00,0.01
Pkdcc,0.242,10.44,0.08,0.19,0.01,0.02
Bmp4,0.242,11.76,0.06,0.19,0.00,0.01
Medag,0.241,8.26,0.14,0.33,0.02,0.03
Il18r1,0.239,2.97,0.07,0.19,0.02,0.04
Saa3,0.239,5.28,0.07,0.13,0.01,0.01
Fhl1,0.238,11.53,0.11,0.31,0.01,0.02
Zfp804b,0.238,101.58,0.24,0.27,0.00,0.00
Spock2,0.237,43.93,0.11,0.23,0.00,0.01
Nrxn2,0.237,30.89,0.07,0.24,0.00,0.01
Mgst1,0.235,5.89,0.17,0.39,0.03,0.08
Fgf9,0.234,36.86,0.05,0.16,0.00,0.01
Ezr,0.234,4.82,0.34,0.60,0.07,0.18
Tmem132d,0.233,27.61,0.07,0.18,0.00,0.01
Smim1,0.232,9.41,0.09,0.22,0.01,0.02
Loxl1,0.232,6.02,0.12,0.37,0.02,0.03
Usp53,0.232,4.92,0.11,0.33,0.02,0.07
Htra1,0.231,10.73,0.15,0.42,0.01,0.03
Alad,0.231,6.47,0.13,0.27,0.02,0.06
Bcam,0.230,6.98,0.17,0.33,0.02,0.06
Il33,0.229,15.55,0.13,0.26,0.01,0.01
Rnase4,0.228,6.25,0.45,0.69,0.07,0.16
Serpinb6b,0.228,5.66,0.11,0.25,0.02,0.04
Kcnd3,0.227,8.21,0.12,0.23,0.01,0.03
Ptprd,0.226,7.67,0.27,0.49,0.04,0.06
Sh3tc2,0.225,7.45,0.07,0.26,0.01,0.03
Tmem255a,0.225,87.42,0.08,0.19,0.00,0.00
Cfh,0.223,6.22,0.45,0.61,0.07,0.10
Ccdc171,0.223,4.61,0.13,0.36,0.03,0.08
Olfml1,0.222,18.90,0.05,0.16,0.00,0.01
Rcn1,0.221,5.38,0.09,0.30,0.02,0.05
