gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Cd3d,0.650,80.00,0.29,0.60,0.00,0.01
Cd3e,0.611,68.13,0.27,0.59,0.00,0.01
Trbc2,0.605,60.68,0.55,0.69,0.01,0.02
Ms4a4b,0.596,53.66,0.57,0.70,0.01,0.02
Cd3g,0.590,58.55,0.36,0.64,0.01,0.01
Itk,0.583,62.01,0.48,0.75,0.01,0.01
Cd226,0.582,61.19,0.29,0.47,0.00,0.01
Cd28,0.566,42.55,0.15,0.38,0.00,0.01
Trac,0.561,54.03,0.19,0.49,0.00,0.01
Txk,0.552,52.09,0.20,0.47,0.00,0.01
Themis,0.542,52.51,0.67,0.69,0.01,0.01
Cd247,0.537,60.25,0.56,0.74,0.01,0.01
Cd5,0.528,47.51,0.15,0.37,0.00,0.01
Hcst,0.527,19.23,0.17,0.46,0.01,0.03
Il7r,0.524,43.08,0.43,0.56,0.01,0.02
Tcf7,0.521,38.76,0.37,0.63,0.01,0.02
Gm2682,0.520,53.47,1.54,0.83,0.03,0.02
Lat,0.520,46.95,0.10,0.34,0.00,0.00
Zap70,0.517,41.43,0.08,0.28,0.00,0.00
Trbc1,0.517,60.65,0.30,0.39,0.00,0.01
Il2rb,0.516,116.11,0.11,0.24,0.00,0.00
Bcl11b,0.513,51.72,0.58,0.75,0.01,0.01
Lef1,0.512,44.64,1.05,0.76,0.02,0.02
Cd27,0.509,31.51,0.13,0.38,0.00,0.01
Camk4,0.503,37.25,0.38,0.61,0.01,0.02
Lck,0.500,32.98,0.34,0.66,0.01,0.02
Gimap3,0.495,15.72,0.29,0.62,0.02,0.05
Slfn1,0.485,22.48,0.08,0.27,0.00,0.01
Cd6,0.485,51.31,0.14,0.34,0.00,0.00
Skap1,0.482,44.35,1.72,0.94,0.04,0.03
Cd96,0.482,54.10,0.12,0.33,0.00,0.00
Spn,0.481,25.24,0.11,0.34,0.00,0.01
Sidt1,0.481,25.68,0.35,0.47,0.01,0.03
Nsg2,0.470,53.43,0.09,0.26,0.00,0.00
Ctsw,0.464,54.94,0.07,0.20,0.00,0.00
Sh2d1a,0.464,91.00,0.05,0.19,0.00,0.00
Ubash3a,0.462,41.89,0.09,0.28,0.00,0.00
Prkcq,0.460,43.23,0.80,0.85,0.02,0.02
Nkg7,0.457,146.81,0.10,0.18,0.00,0.00
Fam78a,0.445,17.06,0.09,0.30,0.01,0.02
Rinl,0.445,16.70,0.17,0.48,0.01,0.03
Il27ra,0.443,15.09,0.15,0.43,0.01,0.03
Icos,0.438,63.99,0.07,0.19,0.00,0.00
Dapl1,0.436,88.84,0.09,0.18,0.00,0.00
Grap2,0.432,17.39,0.79,0.82,0.05,0.08
Cd2,0.429,13.41,0.16,0.45,0.01,0.03
Rasgrp1,0.425,11.26,0.19,0.47,0.02,0.05
Ipcef1,0.424,21.83,0.28,0.55,0.01,0.03
2010016I18Rik,0.421,29.61,0.06,0.20,0.00,0.00
Tmem71,0.413,11.56,0.11,0.32,0.01,0.03
Cd4,0.404,30.54,0.11,0.30,0.00,0.01
Il18r1,0.402,45.66,0.16,0.28,0.00,0.01
Nlrc3,0.388,11.81,0.08,0.25,0.01,0.02
Trat1,0.380,38.21,0.07,0.21,0.00,0.00
Runx3,0.376,11.25,0.15,0.34,0.01,0.05
Rasal3,0.372,8.34,0.13,0.40,0.02,0.05
Dnah8,0.366,11.51,0.23,0.47,0.02,0.04
Cd8b1,0.365,35.63,0.09,0.19,0.00,0.00
Pglyrp2,0.365,17.75,0.05,0.18,0.00,0.01
Oprm1,0.363,26.30,0.06,0.18,0.00,0.01
Satb1,0.361,11.30,0.72,0.73,0.06,0.10
Cd40lg,0.360,55.55,0.06,0.17,0.00,0.00
Ptpn22,0.359,10.80,0.25,0.54,0.02,0.06
Art2b,0.357,109.76,0.04,0.14,0.00,0.00
Gata3,0.352,67.42,0.05,0.16,0.00,0.00
Sept1,0.352,8.96,0.18,0.50,0.02,0.06
Gm44174,0.350,65.61,0.07,0.14,0.00,0.00
Kbtbd11,0.347,18.61,0.11,0.35,0.01,0.02
Itgal,0.345,9.96,0.16,0.42,0.02,0.04
Tespa1,0.344,8.06,0.17,0.43,0.02,0.05
Fam169b,0.344,8.69,0.21,0.43,0.02,0.05
Tbc1d10c,0.344,7.58,0.12,0.37,0.02,0.04
Sh2d2a,0.343,20.12,0.04,0.16,0.00,0.00
Ptpn7,0.342,7.80,0.06,0.20,0.01,0.03
Tnfsf8,0.340,22.20,0.07,0.21,0.00,0.01
Stat4,0.340,8.29,0.24,0.49,0.03,0.07
A630023P12Rik,0.338,38.94,0.06,0.17,0.00,0.00
Bicdl1,0.338,28.21,0.08,0.23,0.00,0.01
Fam189b,0.337,13.81,0.06,0.22,0.00,0.02
Dgka,0.336,12.48,0.46,0.67,0.04,0.10
Jakmip1,0.335,8.60,0.08,0.28,0.01,0.02
Sla2,0.335,28.82,0.04,0.15,0.00,0.00
Ccr7,0.334,8.29,0.08,0.28,0.01,0.02
Ptprcap,0.334,5.84,0.22,0.55,0.04,0.08
Ifi206,0.331,7.55,0.06,0.20,0.01,0.02
Scml4,0.330,11.24,0.34,0.57,0.03,0.06
Mgst2,0.319,13.95,0.04,0.16,0.00,0.01
1700097N02Rik,0.319,20.14,0.03,0.14,0.00,0.01
Kcnab2,0.317,7.23,0.08,0.24,0.01,0.04
Ms4a6b,0.317,6.63,0.33,0.62,0.05,0.13
St8sia1,0.313,18.57,0.13,0.30,0.01,0.02
Hsd11b1,0.312,9.70,0.18,0.41,0.02,0.03
A630014C17Rik,0.312,37.16,0.04,0.15,0.00,0.00
Lcp2,0.310,6.60,0.26,0.58,0.04,0.10
Tspan32,0.307,5.31,0.11,0.32,0.02,0.06
Cd8a,0.307,24.46,0.06,0.15,0.00,0.00
Slamf6,0.305,7.34,0.16,0.37,0.02,0.06
Traf3ip3,0.301,5.96,0.18,0.48,0.03,0.08
Itgb7,0.300,10.04,0.21,0.52,0.02,0.05
Sell,0.297,6.37,0.23,0.46,0.04,0.07
Acp5,0.297,6.11,0.11,0.36,0.02,0.06
Ifi208,0.296,25.37,0.03,0.12,0.00,0.00
Zfp831,0.294,6.24,0.14,0.35,0.02,0.05
Tnik,0.293,15.55,0.53,0.76,0.03,0.07
Fgf13,0.292,13.36,0.32,0.38,0.02,0.04
Ripor2,0.291,5.55,0.99,0.85,0.18,0.19
Galnt6,0.291,9.27,0.13,0.36,0.01,0.04
Bin2,0.290,6.21,0.18,0.50,0.03,0.09
Faah,0.290,11.19,0.07,0.22,0.01,0.02
Gpr132,0.288,8.91,0.09,0.28,0.01,0.03
Zdhhc15,0.285,17.34,0.06,0.19,0.00,0.01
Emb,0.283,9.77,0.28,0.56,0.03,0.08
Izumo1r,0.282,65.86,0.04,0.11,0.00,0.00
Ltb,0.278,5.24,0.42,0.66,0.08,0.12
Gimap4,0.277,5.53,0.24,0.53,0.04,0.11
Arhgap9,0.277,5.63,0.08,0.27,0.01,0.05
Ctse,0.277,5.27,0.09,0.30,0.02,0.05
Nxpe3,0.271,5.07,0.11,0.31,0.02,0.06
Agap2,0.271,8.21,0.05,0.18,0.01,0.02
Acap1,0.271,5.40,0.11,0.34,0.02,0.05
Gimap7,0.269,5.07,0.04,0.16,0.01,0.03
Rhoh,0.268,3.87,0.20,0.47,0.05,0.11
Kif21b,0.267,5.44,0.12,0.38,0.02,0.07
Sash3,0.266,4.78,0.08,0.29,0.02,0.07
Arl4c,0.265,5.43,0.16,0.43,0.03,0.09
Ikbke,0.265,7.24,0.11,0.30,0.01,0.05
Selplg,0.264,6.56,0.19,0.50,0.03,0.09
Acpp,0.263,18.33,0.05,0.16,0.00,0.01
Tnfrsf18,0.263,13.43,0.03,0.12,0.00,0.01
Rassf5,0.262,5.54,0.09,0.32,0.02,0.06
Klhl6,0.262,4.86,0.21,0.48,0.04,0.13
Xlr4b,0.262,19.42,0.02,0.10,0.00,0.01
Atp8b4,0.261,6.67,0.18,0.37,0.03,0.07
Ikzf1,0.258,5.26,0.85,0.85,0.16,0.24
Ifi213,0.258,4.98,0.06,0.18,0.01,0.03
A430093F15Rik,0.257,26.70,0.04,0.11,0.00,0.00
Cytip,0.256,5.44,0.28,0.59,0.05,0.11
Rac2,0.254,4.56,0.26,0.60,0.06,0.15
Klhdc1,0.253,7.22,0.06,0.20,0.01,0.03
Limd2,0.252,4.82,0.20,0.54,0.04,0.12
Prf1,0.251,88.27,0.03,0.10,0.00,0.00
Gpr174,0.251,3.66,0.07,0.23,0.02,0.05
Sept6,0.250,6.26,0.17,0.48,0.03,0.08
Cracr2a,0.250,6.39,0.07,0.22,0.01,0.03
Pde11a,0.249,56.64,0.04,0.11,0.00,0.00
Def6,0.249,5.63,0.10,0.33,0.02,0.06
Gm36756,0.249,6.78,0.03,0.13,0.00,0.02
Cxcr6,0.248,69.43,0.05,0.11,0.00,0.00
Klk8,0.248,22.20,0.04,0.17,0.00,0.01
Raet1e,0.248,4.89,0.05,0.18,0.01,0.04
Il2rg,0.247,5.52,0.13,0.41,0.02,0.08
Gimap8,0.247,4.32,0.21,0.52,0.05,0.12
Gm12840,0.247,16.59,0.09,0.21,0.01,0.01
Mir142hg,0.246,4.90,0.60,0.78,0.12,0.20
Treml2,0.245,3.96,0.04,0.18,0.01,0.04
Pdk1,0.244,6.12,0.11,0.30,0.02,0.05
Ctla4,0.244,20.22,0.08,0.10,0.00,0.01
Ifi214,0.244,5.30,0.04,0.12,0.01,0.02
Rgs14,0.243,4.88,0.03,0.13,0.01,0.02
Apol7e,0.243,85.47,0.03,0.10,0.00,0.00
Arhgef18,0.243,5.12,0.42,0.68,0.08,0.16
B630019A10Rik,0.242,11.66,0.03,0.10,0.00,0.01
Gimap9,0.242,4.74,0.09,0.30,0.02,0.06
E030030I06Rik,0.241,3.98,0.04,0.16,0.01,0.04
Dennd1c,0.240,4.24,0.09,0.29,0.02,0.07
Nt5e,0.238,9.59,0.05,0.11,0.01,0.01
Psd4,0.237,4.25,0.08,0.27,0.02,0.06
Lax1,0.237,3.88,0.07,0.21,0.02,0.04
Kcnn4,0.237,8.24,0.10,0.33,0.01,0.04
Nlrc5,0.237,5.14,0.15,0.39,0.03,0.09
Arhgap15,0.236,5.62,2.86,0.97,0.51,0.32
Cd69,0.236,5.01,0.04,0.13,0.01,0.02
Pacsin1,0.236,6.57,0.08,0.24,0.01,0.03
Il2ra,0.235,25.41,0.06,0.11,0.00,0.00
Fyb,0.234,4.09,0.66,0.81,0.16,0.18
4930417O13Rik,0.234,43.76,0.03,0.10,0.00,0.00
Gm26740,0.233,4.12,0.34,0.64,0.08,0.17
Arhgap45,0.232,4.89,0.56,0.80,0.12,0.23
Usp28,0.232,4.68,0.08,0.25,0.02,0.06
Dennd2d,0.232,6.89,0.07,0.23,0.01,0.03
Il18rap,0.231,11.70,0.04,0.11,0.00,0.01
Tmc8,0.230,5.77,0.04,0.14,0.01,0.02
Arhgap4,0.230,3.68,0.11,0.34,0.03,0.10
Gm8369,0.230,3.26,0.06,0.20,0.02,0.05
D16Ertd472e,0.230,6.03,0.06,0.21,0.01,0.03
Rbm38,0.229,5.18,0.05,0.19,0.01,0.03
Inpp4b,0.228,6.73,1.48,0.83,0.22,0.23
Dok2,0.227,7.50,0.02,0.09,0.00,0.01
Rhof,0.226,4.73,0.04,0.18,0.01,0.03
Armc7,0.226,4.60,0.04,0.14,0.01,0.03
Tnfrsf26,0.225,6.53,0.04,0.12,0.01,0.02
Tox,0.225,12.93,0.59,0.62,0.05,0.07
Lypd6b,0.225,25.46,0.03,0.11,0.00,0.00
Ptprc,0.223,4.37,1.57,0.92,0.36,0.30
Rab3ip,0.223,5.81,0.15,0.38,0.03,0.08
Slc14a1,0.222,6.64,0.03,0.12,0.01,0.02
Ifi209,0.222,3.46,0.10,0.32,0.03,0.08
Gm30054,0.221,4.00,0.04,0.14,0.01,0.03
Gm15472,0.221,15.69,0.02,0.09,0.00,0.01
Gm19585,0.221,7.53,0.02,0.10,0.00,0.01
