gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Gm2682,0.417,6.45,1.26,0.64,0.19,0.11
Lck,0.410,7.86,0.35,0.34,0.05,0.09
Lef1,0.406,6.95,0.94,0.46,0.13,0.10
Bcl11b,0.383,6.82,0.50,0.39,0.07,0.10
Skap1,0.375,6.71,1.49,0.64,0.22,0.13
Cd6,0.351,6.78,0.12,0.14,0.02,0.04
Themis,0.347,5.50,0.48,0.32,0.09,0.09
Itk,0.338,5.00,0.30,0.28,0.06,0.10
Tcf7,0.336,5.87,0.29,0.28,0.05,0.09
Prkcq,0.329,6.03,0.63,0.47,0.10,0.12
Trat1,0.311,8.69,0.08,0.09,0.01,0.03
Dnah8,0.306,5.79,0.24,0.24,0.04,0.09
Cd5,0.302,6.03,0.12,0.13,0.02,0.05
Cd247,0.300,4.76,0.34,0.31,0.07,0.10
Txk,0.300,4.86,0.13,0.15,0.03,0.06
Cd3g,0.296,3.83,0.18,0.21,0.05,0.08
Cd3e,0.287,4.05,0.14,0.16,0.03,0.08
Camk4,0.285,4.36,0.23,0.23,0.05,0.09
Trac,0.284,4.87,0.12,0.14,0.02,0.06
Trbc1,0.279,4.60,0.18,0.15,0.04,0.05
Lat,0.278,4.56,0.06,0.11,0.01,0.04
Grap2,0.277,4.25,0.55,0.41,0.13,0.17
Nsg2,0.275,6.00,0.07,0.09,0.01,0.03
Jakmip1,0.269,6.44,0.11,0.11,0.02,0.05
Sidt1,0.267,3.52,0.18,0.20,0.05,0.08
Ms4a4b,0.266,3.71,0.28,0.26,0.07,0.10
Trbc2,0.265,3.28,0.24,0.24,0.07,0.10
Cd2,0.258,4.66,0.13,0.15,0.03,0.08
Scml4,0.253,4.97,0.32,0.28,0.06,0.12
Ubash3a,0.251,5.76,0.07,0.08,0.01,0.04
Itgal,0.248,6.06,0.19,0.17,0.03,0.09
Cd40lg,0.241,6.55,0.05,0.07,0.01,0.02
Cd4,0.240,5.21,0.08,0.11,0.02,0.04
Il27ra,0.238,4.25,0.11,0.14,0.03,0.08
Acpp,0.237,9.30,0.07,0.09,0.01,0.02
Slc14a1,0.237,6.39,0.05,0.07,0.01,0.03
Dgka,0.237,4.44,0.37,0.37,0.08,0.16
Cd96,0.236,4.94,0.07,0.10,0.02,0.04
Dennd2d,0.235,7.62,0.11,0.13,0.01,0.05
Tespa1,0.235,3.89,0.14,0.17,0.04,0.09
Satb1,0.234,3.79,0.52,0.38,0.14,0.17
Oprm1,0.234,6.58,0.05,0.07,0.01,0.03
Zfp831,0.232,4.04,0.14,0.14,0.03,0.08
Cd27,0.230,4.24,0.08,0.11,0.02,0.06
Rinl,0.229,5.39,0.15,0.16,0.03,0.08
Cd3d,0.228,2.75,0.10,0.14,0.04,0.08
Il7r,0.228,2.93,0.17,0.19,0.06,0.08
Kbtbd11,0.227,6.75,0.11,0.13,0.02,0.06
Rasgrp1,0.227,3.86,0.14,0.16,0.04,0.10
Ctla4,0.227,8.07,0.09,0.07,0.01,0.02
Tnik,0.226,5.46,0.48,0.42,0.09,0.15
Acap1,0.220,4.49,0.13,0.14,0.03,0.09
Ipcef1,0.217,3.81,0.17,0.19,0.04,0.09
Gm16158,0.212,6.79,0.04,0.06,0.01,0.02
Cd28,0.210,2.96,0.06,0.09,0.02,0.05
Cracr2a,0.209,5.91,0.09,0.10,0.02,0.05
Ptpn22,0.209,3.67,0.18,0.21,0.05,0.12
Itgb7,0.207,4.56,0.19,0.21,0.04,0.11
Gimap3,0.205,2.49,0.13,0.18,0.05,0.12
Ripor2,0.203,2.65,0.71,0.53,0.27,0.27
Cd8b1,0.203,4.26,0.05,0.07,0.01,0.03
Spn,0.200,5.15,0.09,0.09,0.02,0.05
Hsd11b1,0.199,3.92,0.14,0.14,0.04,0.08
Slamf6,0.197,3.05,0.11,0.16,0.04,0.09
Sell,0.197,3.03,0.17,0.19,0.06,0.11
Lcp2,0.197,4.23,0.27,0.23,0.06,0.16
Gata3,0.196,4.19,0.03,0.05,0.01,0.02
St8sia1,0.196,5.06,0.11,0.11,0.02,0.05
Fgf13,0.196,4.05,0.23,0.18,0.06,0.08
Ikbke,0.193,4.42,0.11,0.13,0.02,0.08
Zdhhc15,0.192,5.70,0.06,0.08,0.01,0.03
Traf3ip3,0.192,3.11,0.14,0.18,0.05,0.13
Arhgap15,0.191,3.22,2.47,0.77,0.77,0.39
Fam169b,0.185,2.86,0.13,0.14,0.05,0.10
Slfn1,0.183,3.68,0.05,0.05,0.01,0.04
Mgst2,0.182,4.77,0.03,0.05,0.01,0.03
Ccdc88c,0.181,4.81,0.34,0.31,0.07,0.18
Pglyrp2,0.181,3.84,0.03,0.05,0.01,0.03
Zap70,0.181,3.22,0.04,0.05,0.01,0.04
Il2rb,0.180,2.43,0.04,0.06,0.01,0.03
Ms4a6b,0.180,2.48,0.20,0.26,0.08,0.19
Sh2d2a,0.179,5.08,0.03,0.04,0.01,0.02
Arhgap45,0.176,3.11,0.51,0.45,0.16,0.29
Tbc1d10c,0.174,3.01,0.08,0.10,0.03,0.08
A630014C17Rik,0.174,8.14,0.04,0.04,0.01,0.02
Faah,0.174,4.40,0.06,0.07,0.01,0.04
Stat4,0.172,2.76,0.15,0.16,0.05,0.12
Dtx1,0.172,4.69,0.13,0.15,0.03,0.07
Rasal3,0.172,2.82,0.08,0.11,0.03,0.09
4930444A19Rik,0.170,6.26,0.09,0.07,0.01,0.05
Nlrc3,0.169,3.86,0.06,0.06,0.01,0.05
Taf1c,0.169,7.03,0.04,0.05,0.01,0.02
Tspan32,0.168,3.13,0.10,0.11,0.03,0.09
Ptprc,0.167,2.56,1.26,0.69,0.49,0.37
Abtb2,0.166,4.36,0.21,0.21,0.05,0.11
Galnt6,0.164,4.21,0.11,0.13,0.03,0.08
Gm2245,0.164,4.38,0.04,0.05,0.01,0.03
Ltb,0.163,2.39,0.29,0.27,0.12,0.18
Cd226,0.163,2.10,0.08,0.09,0.04,0.06
Inpp4b,0.162,3.03,1.10,0.52,0.36,0.30
Tnfsf8,0.162,4.43,0.05,0.06,0.01,0.03
Tmem154,0.161,4.73,0.07,0.07,0.01,0.05
Hcst,0.160,3.04,0.08,0.09,0.03,0.08
Hs3st3b1,0.160,3.98,0.06,0.07,0.01,0.04
Fam78a,0.157,3.23,0.05,0.07,0.02,0.05
Il2ra,0.157,5.15,0.05,0.04,0.01,0.02
Fyb,0.156,2.12,0.47,0.41,0.22,0.26
Icos,0.156,3.25,0.03,0.04,0.01,0.03
Kif21b,0.155,3.88,0.13,0.13,0.03,0.11
Acp5,0.154,2.82,0.08,0.11,0.03,0.09
Kcnab2,0.154,3.16,0.06,0.07,0.02,0.06
Ikzf1,0.154,2.28,0.55,0.43,0.24,0.31
Rhoh,0.151,2.30,0.16,0.16,0.07,0.15
Dock2,0.151,2.18,1.02,0.64,0.47,0.38
Nup210,0.151,4.03,0.13,0.14,0.03,0.10
Gimap4,0.150,2.37,0.16,0.18,0.07,0.16
Sla2,0.150,5.11,0.03,0.03,0.01,0.02
Def6,0.149,3.11,0.09,0.11,0.03,0.09
Ifi213,0.148,2.44,0.04,0.05,0.02,0.05
Znrf3,0.147,3.91,0.28,0.26,0.07,0.17
Pacsin1,0.147,2.77,0.06,0.09,0.02,0.06
2010016I18Rik,0.145,3.92,0.03,0.04,0.01,0.03
Rgs14,0.145,4.56,0.04,0.04,0.01,0.04
Cd69,0.145,2.50,0.03,0.04,0.01,0.03
Apbb1ip,0.145,2.50,0.36,0.36,0.14,0.28
S1pr4,0.144,3.20,0.03,0.05,0.01,0.04
Ift80,0.144,4.61,0.10,0.10,0.02,0.06
Bin2,0.143,2.68,0.12,0.16,0.05,0.14
A430093F15Rik,0.143,4.83,0.03,0.03,0.01,0.02
Gpr132,0.143,3.42,0.06,0.09,0.02,0.06
Gm26740,0.143,2.59,0.29,0.24,0.11,0.23
Ccnd3,0.143,3.32,1.02,0.56,0.31,0.39
Rbm38,0.143,4.27,0.06,0.07,0.01,0.05
Rsph3a,0.141,6.28,0.03,0.05,0.00,0.02
Aff3,0.141,1.85,0.50,0.38,0.27,0.22
Tmem71,0.141,2.96,0.06,0.07,0.02,0.06
Slain1,0.141,5.07,0.06,0.07,0.01,0.04
Agap2,0.140,3.34,0.03,0.05,0.01,0.04
Klhdc1,0.139,3.43,0.05,0.06,0.02,0.05
Slc17a9,0.139,3.17,0.06,0.08,0.02,0.05
Rab11fip4,0.139,4.75,0.03,0.03,0.01,0.02
Atp8b4,0.139,2.77,0.12,0.13,0.04,0.11
Il18r1,0.138,2.82,0.06,0.06,0.02,0.04
Lypd6b,0.138,4.28,0.02,0.03,0.01,0.02
Insyn2b,0.138,3.37,0.07,0.08,0.02,0.07
Cpne4,0.138,2.42,0.02,0.03,0.01,0.02
Dennd1c,0.136,2.95,0.08,0.09,0.03,0.10
Rhof,0.135,3.44,0.05,0.05,0.01,0.05
Prkch,0.135,2.09,0.56,0.45,0.27,0.33
Pik3cd,0.134,2.58,0.23,0.23,0.09,0.22
Adcy7,0.132,2.65,0.17,0.20,0.06,0.18
