gene,score,fold_change
Ftl1-ps1,0.979,93.04
Gm10260,0.878,19.93
Gm11361,0.867,6.74
Nupr1,0.778,4.02
Gm8797,0.774,12.66
Slfn9,0.771,7.35
Clu,0.759,3.44
1700027J07Rik,0.740,2.65
Krt18,0.735,3.86
Rapgef4,0.735,2.92
Gm19585,0.711,4.06
Prelid2,0.709,5.86
Krt8,0.699,3.46
Hcst,0.698,2.96
Cpne4,0.698,2.96
Nosip,0.694,2.14
Hist1h4d,0.687,2.33
Reg3g,0.684,2.68
Rpl29,0.671,2.25
Cdk8,0.670,1.67
Ppp1r21,0.668,1.94
Spp1,0.665,2.10
AC149090.1,0.664,2.01
Bex3,0.663,2.29
Sh3pxd2a,0.662,1.89
Ap1ar,0.660,1.85
Snrnp27,0.659,1.98
Abhd2,0.659,1.87
Ccndbp1,0.657,1.89
Chst10,0.653,1.68
Clns1a,0.653,1.86
Srp68,0.652,1.87
Mgmt,0.650,2.23
C1qa,0.649,3.26
Mlf2,0.648,1.89
Plpp3,0.648,2.09
Ino80e,0.647,2.18
Osgep,0.646,1.63
Atg12,0.645,1.77
Ecd,0.644,2.35
Gm47782,0.643,1.51
Ube2j1,0.642,1.83
Spryd3,0.642,2.50
Ppan,0.641,1.91
Mphosph10,0.640,1.63
Snx17,0.640,1.61
Tuba1c,0.639,2.98
Oser1,0.638,2.05
Snapc1,0.638,1.93
H2-D1,0.638,1.90
Fam129c,0.638,2.19
Preb,0.638,1.46
Chuk,0.638,1.79
Lin7c,0.638,1.62
Crls1,0.638,2.27
Zfp260,0.637,1.94
Emc2,0.637,1.65
Eif2s3y,0.636,1.60
Gm8369,0.636,1.90
Smagp,0.635,3.01
Mettl23,0.635,1.67
Ggct,0.635,1.60
Pmvk,0.635,2.24
Crbn,0.635,1.68
Dusp12,0.634,2.14
Mtg2,0.634,1.83
Gusb,0.634,2.06
Dcps,0.634,2.33
Rab11fip2,0.633,1.91
Mvp,0.633,1.80
Pigs,0.632,2.01
Prkag2,0.632,2.01
2010309G21Rik,0.632,1.74
Znrd2,0.632,1.96
Gm20513,0.631,1.78
Brms1l,0.631,1.92
Topors,0.631,1.88
Cog6,0.630,2.02
Pih1d1,0.630,1.60
Crebzf,0.630,1.50
Lrrc59,0.630,1.88
Dctn1,0.630,1.63
Crim1,0.630,2.01
Pld3,0.629,1.60
Srek1ip1,0.629,1.79
Bud23,0.629,1.72
Uba1,0.629,1.61
Ppargc1b,0.628,1.86
2310011J03Rik,0.628,1.69
Vps29,0.628,1.72
Snrnp25,0.627,2.97
Rbm4b,0.627,2.29
Gm16158,0.627,1.78
Kdm1b,0.626,2.80
Tomm22,0.626,1.47
Zswim8,0.625,1.68
Inpp5k,0.625,1.65
Thbs1,0.625,4.35
Aga,0.624,2.17
Zfp386,0.624,1.73
Stau2,0.624,1.92
Vps11,0.624,1.61
Kcnab2,0.624,1.86
Raet1e,0.624,1.59
Map3k7,0.624,1.80
Zbtb41,0.623,2.37
Fam50a,0.623,1.69
Mrpl11,0.623,1.84
Ap2a1,0.623,1.67
Nxt1,0.622,1.62
Capn15,0.622,1.85
Erap1,0.621,1.55
Rnaset2a,0.621,1.43
Lnx2,0.621,1.69
BE692007,0.621,1.71
Cmss1,0.621,1.40
Tsg101,0.620,1.86
Dedd,0.620,2.12
Ndufa12,0.620,1.53
Txndc15,0.619,1.89
Anxa2,0.619,1.87
Gm26740,0.619,1.78
Bicd1,0.619,3.54
Secisbp2l,0.618,1.74
Sf3b4,0.618,1.63
Anxa5,0.617,1.52
Dap3,0.617,1.42
Mafk,0.617,1.75
Hs6st1,0.617,1.69
D5Ertd579e,0.617,1.73
Ciao2a,0.617,1.53
Rnaseh2c,0.616,1.54
Smarcd1,0.615,1.64
Mettl26,0.615,1.50
Cdc26,0.615,1.53
Clec2g,0.615,1.85
Isca1,0.615,2.05
Gtf3c6,0.614,1.46
Timm8b,0.614,1.47
Cbll1,0.614,1.63
Ccnk,0.614,1.44
Arpp19,0.614,1.55
Tinf2,0.614,1.91
Sclt1,0.613,1.63
Gps2,0.613,1.64
Asna1,0.613,1.89
Oxsr1,0.613,2.09
