gene,score,fold_change
Trim12a,0.980,Inf
Ftl1,0.976,55.73
H2-Eb1,0.922,12.77
Trim5,0.910,Inf
Xist,0.897,12.46
Trim34a,0.881,9.81
Vars,0.860,7.05
Cpb1,0.844,6.68
Gpr132,0.834,30.20
Trim30d,0.827,Inf
Mfhas1,0.795,4.44
Whrn,0.784,13.63
Gcg,0.782,22.28
Ifi206,0.774,5.57
Cel,0.771,7.02
Mid1,0.763,4.12
Cela1,0.761,4.95
Try4,0.746,3.75
Rnase1,0.717,2.74
Ms4a6b,0.716,2.48
Trim30b,0.715,2.96
Eif2ak2,0.715,4.50
Rnf122,0.710,3.27
2210010C04Rik,0.707,2.97
Pnliprp1,0.705,3.02
Zdhhc21,0.690,2.62
Map7,0.687,6.52
Clps,0.684,2.62
Gvin1,0.680,4.00
Hdac9,0.680,2.40
Anxa6,0.679,2.12
Cela3b,0.679,2.97
Ifi213,0.678,3.00
Fgf13,0.678,2.38
Cpa1,0.678,2.62
Ms4a6c,0.676,2.01
Ctrl,0.671,3.84
Prag1,0.670,2.49
Gm43305,0.668,2.33
Cpq,0.665,7.88
4933406I18Rik,0.657,2.38
Dhx40,0.656,2.17
Ifi214,0.654,2.55
Cpt1a,0.653,2.27
Hira,0.651,2.22
Casp9,0.650,3.48
Plcl1,0.649,2.30
Rps18,0.649,1.74
H2-Eb2,0.647,1.98
Rpl26,0.646,1.72
Fbxo4,0.646,2.55
St7l,0.645,3.04
Pde3b,0.644,2.06
Slc35b2,0.644,8.05
Nipsnap3b,0.642,3.07
Mndal,0.642,1.99
Zfp771,0.642,2.51
Il4ra,0.641,2.08
Pnlip,0.641,2.93
Zg16,0.640,2.66
Ankrd33b,0.638,2.59
Mta1,0.637,2.41
Fam120c,0.637,2.16
Oasl1,0.637,3.91
Wdr3,0.636,2.09
Il21r,0.635,1.68
Zfp282,0.635,2.14
E130307A14Rik,0.634,1.94
Ms4a4b,0.634,2.86
Cpa2,0.633,4.60
Ifi209,0.633,1.85
Arhgef12,0.633,1.65
Tmem163,0.633,1.90
Nr4a1,0.633,2.02
Gm49980,0.632,1.70
Cox11,0.631,2.90
Gm15848,0.630,1.86
Pym1,0.630,1.99
Slc39a11,0.630,3.43
Lgmn,0.630,1.94
Pacsin1,0.630,1.90
Ins1,0.629,1.31
Tob2,0.629,1.98
Ppard,0.629,1.92
Fryl,0.629,1.69
Fiz1,0.629,2.58
Jhy,0.628,2.09
Cemip2,0.628,1.94
Trmt6,0.627,1.67
Ermp1,0.626,3.00
Fam207a,0.626,1.88
Cpm,0.625,2.08
Cmas,0.624,1.81
Zbtb10,0.624,2.35
Rint1,0.624,1.81
Aktip,0.622,4.70
Pex19,0.622,2.07
Plac8,0.621,1.58
Snx12,0.619,1.60
Zfp934,0.619,1.97
Edc3,0.618,2.01
Nr3c2,0.618,2.70
Klhl18,0.618,2.27
Setbp1,0.617,1.66
Rpgrip1,0.617,1.82
Cask,0.617,1.97
Unc5cl,0.616,10.03
Aldh9a1,0.616,2.11
Lclat1,0.616,1.92
E130308A19Rik,0.615,1.94
Kirrel3,0.615,11.89
Agfg1,0.615,1.72
Ap2b1,0.615,1.57
Atp6v1a,0.615,1.22
Mtmr2,0.614,1.97
Cyp20a1,0.614,1.61
Parp11,0.614,1.73
Plek,0.614,1.62
Arhgap18,0.613,1.94
Cckar,0.613,4.38
Cxcr4,0.613,1.80
Ptbp2,0.613,1.64
Plekho2,0.612,1.61
Sparc,0.611,1.69
Gm44899,0.611,3.78
Prss2,0.611,1.85
Trerf1,0.610,3.05
2810403D21Rik,0.610,2.52
Ifi203,0.610,1.75
Zer1,0.610,1.86
Arhgap31,0.610,2.11
Pigu,0.610,1.69
Tmem108,0.610,1.83
Paf1,0.610,1.84
Tesk2,0.610,2.65
Traf2,0.610,1.85
Tgfbr1,0.609,1.76
Samd8,0.609,1.85
Dcaf11,0.609,2.03
Ddx3x,0.608,1.66
Try10,0.608,3.57
Cela2a,0.607,4.88
Stx18,0.607,1.64
Cryl1,0.607,2.12
Abcc4,0.607,1.89
Dnajb12,0.607,1.78
Armh3,0.607,1.78
Fam160a2,0.607,1.92
Rabggta,0.607,4.48
Pnliprp2,0.606,2.25
Dennd4a,0.606,1.76
Klhl9,0.606,2.99
Cwf19l1,0.606,2.24
Cuzd1,0.606,2.89
Fbxo28,0.605,1.90
Gtf2e2,0.605,1.99
Vps33a,0.605,1.96
Trdmt1,0.604,5.00
