Leiden clusters,Chrm2_mean,Chrm2_perc,C130074G19Rik_mean,C130074G19Rik_perc,Sema3g_mean,Sema3g_perc,Lyve1_mean,Lyve1_perc,Cd3d_mean,Cd3d_perc,Gm2682_mean,Gm2682_perc,Adgre1_mean,Adgre1_perc,Cd300ld_mean,Cd300ld_perc,Rbpjl_mean,Rbpjl_perc,Gm20629_mean,Gm20629_perc,Cd79a_mean,Cd79a_perc,Gcat_mean,Gcat_perc,Svep1_mean,Svep1_perc,Dcdc2a_mean,Dcdc2a_perc,Cxcl14_mean,Cxcl14_perc,Rgs5_mean,Rgs5_perc,Flt3_mean,Flt3_perc,Gm2663_mean,Gm2663_perc,Fgf1_mean,Fgf1_perc,Kcnmb2_mean,Kcnmb2_perc,Csmd1_mean,Csmd1_perc
Endothelial (Emcn),0.020818798913334637,41.59695817490494,0.012280920599083334,41.59695817490494,0.003461755774132956,11.55893536121673,0.00006236379069706312,0.1520912547528517,0.000032207425543396946,0.22813688212927757,0.00018916151812020863,0.6083650190114068,0.00004651135585919922,0.38022813688212925,0.00006178656348280844,0.3041825095057034,0.000822814311688931,3.041825095057034,0.00004697314179059384,0.1520912547528517,0.000011297531868160666,0.07604562737642585,0.00047614581947075593,2.2053231939163496,0.00007294216988150641,0.38022813688212925,0.00006625764128910148,0.38022813688212925,0.00008250390909182881,0.45627376425855515,0.0015599040766192422,2.5095057034220534,0.000015713175086620248,0.1520912547528517,0.00014092992276459524,0.8365019011406843,0.0014141962938398764,5.779467680608365,0.00002342739331566414,0.1520912547528517,0.0001450777801934461,0.6844106463878328
Endothelial (Fam167b),0.0014967048612261908,2.8503562945368173,0.01725583232353391,19.002375296912113,0.00526158657205163,7.1258907363420425,0,0,0.0004884137301772712,0.23752969121140144,0.00030087674371752674,0.4750593824228029,0,0,0.0002259071258442676,0.23752969121140144,0.0014669873618088176,2.6128266033254155,0.00007041970012221631,0.23752969121140144,0.00019690553536426026,0.23752969121140144,0.0014121649346477707,2.375296912114014,0.0009683991427533346,1.187648456057007,0.001079186868732744,1.187648456057007,0.00019047071394712758,0.23752969121140144,0.0010719372515365477,1.4251781472684086,0,0,0.0010146201784388582,1.4251781472684086,0.00035998660249927976,0.4750593824228029,0,0,0.00009856376291063309,0.23752969121140144
Endothelial (Sema3g),0.0011075095546402107,3.4090909090909087,0.011533055771351204,43.18181818181818,0.05500953233834592,90.9090909090909,0,0,0,0,0,0,0,0,0,0,0.0003813734064902647,3.4090909090909087,0,0,0,0,0.00017843609550704403,1.1363636363636365,0.00021570614124214086,1.1363636363636365,0,0,0.00024665123692028213,2.272727272727273,0.0097446527704188,3.4090909090909087,0,0,0.0002243575989376936,2.272727272727273,0.00012528207514408003,1.1363636363636365,0,0,0.00012487063975772836,1.1363636363636365
(Lyve1),0,0,0.0012198242203029807,8.955223880597014,0,0,0.11763873195114555,64.17910447761194,0.0003004779490413023,1.4925373134328357,0.001051672821644558,1.4925373134328357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016549143254549208,1.4925373134328357,0.0004489978016630658,1.4925373134328357,0,0,0.00369697218005991,5.970149253731343
T cell (Cd3d-Cd3e),0.00001363789875332236,0.08726003490401396,0.00018237925101282157,0.6980802792321117,0,0,0.0000644333076547437,0.2617801047120419,0.0214850105203049,60.20942408376963,0.11317088350323375,82.98429319371728,0.00035333674672384063,1.1343804537521813,0.000050489897741544634,0.2617801047120419,0.0006592088874277242,2.7050610820244327,0.00003331647145174886,0.2617801047120419,0.00008561547149970663,0.6108202443280977,0.0004999763989493597,1.9197207678883073,0.00013053964544222567,0.6980802792321117,0.00010320771260995865,0.2617801047120419,0.00017010414485271093,0.9598603839441536,0.000599924219509943,1.1343804537521813,0.00000995112364494939,0.08726003490401396,0.00018192214650263766,1.1343804537521813,0.000009064987740353982,0.08726003490401396,0.00010445011180024939,0.34904013961605584,0.0002463417487839145,0.4363001745200698
T cell (Gm2682),0,0,0,0,0,0,0,0,0.007601391669566596,13.815789473684212,0.09250733129979692,64.47368421052632,0.00007268412816344182,0.6578947368421052,0,0,0.0029526530662992998,4.605263157894736,0,0,0.0003522140697840094,0.6578947368421052,0,0,0.0002322754656848983,0.6578947368421052,0,0,0,0,0.0011587807727123942,1.3157894736842104,0,0,0.0025690585225986934,3.9473684210526314,0,0,0,0,0.0006283984511114744,1.3157894736842104
Macrophage (Adgre-Fcrls),0.00006789730159997625,0.36900369003690037,0.000015573287818667315,0.18450184501845018,0.000029132746578230035,0.09225092250922509,0.0013141952390112344,3.5977859778597785,0.000027892714512803446,0.18450184501845018,0.00016434504739112516,0.8302583025830259,0.04169397475111788,85.33210332103322,0.00392734579210438,23.43173431734317,0.00026884242713817513,1.6605166051660518,0.000019800516559517542,0.18450184501845018,0.00001201706463879919,0.09225092250922509,0.0002524754084190235,1.1992619926199262,0.00013830720474231818,0.46125461254612543,0.0000354267362180692,0.27675276752767525,0.0031179199812732187,17.15867158671587,0.00017568009737985098,1.014760147601476,0.000997480913745728,4.981549815498155,0.0001350471700306408,1.014760147601476,0.0002295096687743558,1.014760147601476,0.000049098663490824975,0.46125461254612543,0.00006909383770058728,0.6457564575645757
Macrophage(Cd300ld),0,0,0.0002149816905408598,0.2178649237472767,0,0,0.0009307942997793117,1.3071895424836601,0.0007644428194059054,1.3071895424836601,0.0015219491487989492,2.178649237472767,0.012518693903566098,18.51851851851852,0.003849415805138039,7.18954248366013,0.0015795663918355188,1.9607843137254901,0,0,0.0009611345478596707,1.5250544662309369,0.0005649453136634383,1.0893246187363834,0,0,0,0,0.0020289431421414163,3.9215686274509802,0.0006814591024258352,1.0893246187363834,0.002225121466059193,4.139433551198257,0.0013764310447094803,2.6143790849673203,0,0,0.000015546368858422006,0.2178649237472767,0.000813758905565495,1.0893246187363834
Acinar cells,0,0,0.0013306178510329406,1.098901098901099,0,0,0.00010198325960895355,0.27472527472527475,0,0,0.000023128179758068944,0.27472527472527475,0.0000680460308898233,0.27472527472527475,0,0,0.060365094233138974,57.96703296703297,0.013673984570354661,19.505494505494507,0.0002787695394020091,0.5494505494505495,0.005168090730250612,11.813186813186812,0.00006736602391890568,0.27472527472527475,0.0006871421280990233,1.098901098901099,0.00013313548637561217,0.27472527472527475,0.0004583904473002506,0.8241758241758242,0.0003493592907200637,0.5494505494505495,0.00033376655740201776,2.197802197802198,0,0,0.0021328344589963094,4.670329670329671,0.000770063435564227,1.098901098901099
Acinar cells (Amy2a1-Gm20629),0.000030207831906448247,0.2136752136752137,0,0,0,0,0.000051638929985842413,0.2136752136752137,0.00018983360674185208,0.4273504273504274,0.0006464463602717062,1.4957264957264957,0.00006617744377980452,0.4273504273504274,0,0,0.14746320414087416,87.3931623931624,0.04912601570584883,58.119658119658126,0.00008782366316966834,0.2136752136752137,0.00317060227113906,9.82905982905983,0.00013154679687125176,0.641025641025641,0.0004381891028649948,1.282051282051282,0.00014393382442454136,0.4273504273504274,0.0016118689364060933,1.7094017094017095,0,0,0.0010394765834780219,3.8461538461538463,0,0,0.005344594735894152,13.675213675213676,0.0002524437492854238,0.4273504273504274
